,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj Varidnaviria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts Varidnaviria,gene_countsUnclassified
0,K00003,,,0.615,,,,,,4.1355,,,
1,K00012,,,0.654308588745289,,,,,,18.404600000000002,,,
2,K00031,,,0.6160403817856493,,,,,,21.6779,,,
3,K00033,,,0.6421897227848858,,,,,,42.0387,,,
4,K00036,,,0.563740101113652,,,,,,11.627500000000001,,,
5,K00038,,,0.655,,,,,,14.6958,,,
6,K00053,,,0.662001584094668,,,,,,47.6583,,,
7,K00059,,,0.545,,,,,,10.6556,,,
8,K00060,,,0.6085148794305945,,,,,,12.349,,,
9,K00067,,,0.6368664332389969,,,,,,8.1675,,,
10,K00075,,,0.6788579170883453,,,,,,24.7078,,,
11,K00077,,,0.6094790841075277,,,,,,60.96079999999999,,,
12,K00088,,,0.6930215129638726,,,,,,13.8071,,,
13,K00099,,,0.5985576828254692,,,,,,20.3724,,,
14,K00111,,,0.6591966103992128,,,,,,28.8186,,,
15,K00116,,,0.589,,,,,,3.6227,,,
16,K00122,,,0.6434465709372312,,,,,,22.3904,,,
17,K00124,,,0.6082349057419991,,,,,,35.1824,,,
18,K00126,,,0.6779999999999999,,,,,,4.0365,,,
19,K00127,,,0.6421640762919286,,,,,,6.9635,,,
20,K00134,,,0.524,,,,,,5.2393,,,
21,K00145,,,0.6100134770906711,,,,,,11.3239,,,
22,K00163,,,0.6400201874761493,,,,,,188.44699999999995,,,
23,K00166,,,0.667,,,,,,5.3008,,,
24,K00174,,,0.607,,,,,,3.4909,,,
25,K00175,,,0.6499152372391271,,,,,,21.6683,,,
26,K00208,,,0.5865991039273522,,,,,,12.4221,,,
27,K00215,,,0.6555368608474006,,,,,,10.073,,,
28,K00227,,,0.513,,,,,,2.819,,,
29,K00228,,,0.6301267492459427,,,,,,8.8288,,,
30,K00231,,,0.642,,,,,,2.7351,,,
31,K00240,,,0.6312606141415708,,,,,,61.8615,,,
32,K00241,,,0.5875230484055803,,,,,,10.0713,,,
33,K00242,,,0.6748526907700123,,,,,,11.1934,,,
34,K00245,,,0.63,,,,,,3.6038,,,
35,K00246,,,0.6609999999999999,,,,,,2.6008,,,
36,K00254,,,0.6803943731983012,,,,,,7.1952,,,
37,K00275,,,0.6355765572596578,,,,,,13.0173,,,
38,K00282,,,0.6940000000000001,,,,,,3.4061,,,
39,K00286,,,0.6497025446287192,,,0.581,,,17.906,,,4.4597
40,K00287,,,0.6734847674830323,,,,,,6.8992,,,
41,K00297,,,0.565,,,,,,8.4037,,,
42,K00305,,,0.669,,,,,,3.1802,,,
43,K00311,,,0.6367733387969499,,,,,,13.6265,,,
44,K00316,,,0.584,,,,,,3.7748,,,
45,K00320,,,0.6890000000000001,,,,,,2.3034,,,
46,K00330,,,0.5515717258034623,,,,,,45.407900000000005,,,
47,K00331,,,0.6088698711133976,,,,,,23.678600000000003,,,
48,K00332,,,0.6351046892365012,,,,,,24.2107,,,
49,K00338,,,0.6047139647178078,,,,,,49.91799999999999,,,
50,K00339,,,0.5702302835998181,,,,,,5.7357,,,
51,K00340,,,0.603310764428705,,,,,,30.305,,,
52,K00343,,,,0.226,,,,,,4.8375,,
53,K00344,,,0.5938249011557778,,,,,,34.465,,,
54,K00384,,,0.593,,,,,,3.5129,,,
55,K00389,,,0.733,,,,,,3.335,,,
56,K00390,,,0.6742165039016794,,,,,,8.2728,,,
57,K00411,,,0.6570817519721825,,,,,,14.456999999999999,,,
58,K00412,,,0.5730000000000001,,,,,,7.3261,,,
59,K00413,,,0.6539290115674202,,,,,,7.5572,,,
60,K00424,,,0.629,,,,,,5.9602,,,
61,K00425,,,0.6127470846593159,,,,,,107.32139999999998,,,
62,K00426,,,0.6088305031334785,,,,,,63.93890000000001,,,
63,K00428,,,0.6311699243631951,,,,,,5.8375,,,
64,K00432,,,0.5944669540300745,,,,,,5.7745999999999995,,,
65,K00433,,,0.6140909240731015,,,,,,8.2959,,,
66,K00448,,,0.608,,,,,,2.2946,,,
67,K00450,,,0.75,,,,,,4.7373,,,
68,K00451,,,0.6382837473634264,,,,,,43.309900000000006,,,
69,K00453,,,0.5474598647048039,,,,,,18.31,,,
70,K00456,,,0.5848562975597117,,,,,,6.1081,,,
71,K00457,,,0.6045572877592726,,,,,,50.840599999999995,,,
72,K00459,,,0.635168812086022,,,,,,87.15659999999998,,,
73,K00481,,,0.659,,,,,,2.4343,,,
74,K00507,,,0.6396365788790049,,,,,,42.6107,,,
75,K00518,,,0.612,,,,,,3.1208,,,
76,K00525,,0.534,0.6193997967808723,,,,,3.4263,41.01049999999999,,,
77,K00526,,,0.612,,,,,,7.0455,,,
78,K00544,,,0.6779377356850613,,,,,,9.496500000000001,,,
79,K00548,,,0.6654163726162776,,,,,,40.56420000000001,,,
80,K00549,,,0.6455648215396382,,,,,,150.21959999999999,,,
81,K00554,,,0.6222685487544731,,,,,,12.346,,,
82,K00560,,,0.6165067841451828,,,,,,30.2096,,,
83,K00566,,,0.675,,,,,,4.5604,,,
84,K00567,,,0.638,,,,,,3.2207,,,
85,K00571,,,0.604,,,,,,4.3734,,,
86,K00573,,,0.649954572515247,,,,,,42.7759,,,
87,K00574,,,0.6640846053393311,,,,,,21.7633,,,
88,K00588,,,0.389,,,,,,3.7268,,,
89,K00598,,,0.726,,,,,,2.6733,,,
90,K00600,,,0.6365087325722008,,,,,,94.44859999999998,,,
91,K00602,,,0.6358325329801098,,,,,,43.2697,,,
92,K00606,,,0.6554046601092675,,,,,,58.4362,,,
93,K00609,,,0.6656246098378036,,,,,,10.9985,,,
94,K00611,,,0.638,,,,,,3.1561,,,
95,K00613,,,0.5214314334069812,,,,,,6.6403,,,
96,K00615,,,0.6290646179730491,,,,,,8.7805,,,
97,K00619,,,0.589,,,,,,3.2282,,,
98,K00620,,,0.6712761280687358,,,,,,5.987500000000001,,,
99,K00626,,,0.6353020257480824,,,,,,50.5783,,,
100,K00635,,,0.6643707944669,,,,,,21.405800000000003,,,
101,K00640,,,0.6344227611946334,,,,,,20.273,,,
102,K00641,,,0.646433466699644,,,,,,64.31840000000001,,,
103,K00645,,,0.7020000000000001,,,,,,6.6399,,,
