,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts unclassified viruses,gene_countsUnclassified
0,K00012,,,0.5922474228456188,,,,,,18.3206,,,
1,K00014,,,0.6509999999999999,,,,,,8.1574,,,
2,K00018,,,0.575868966910836,,,,,,7.172700000000001,,,
3,K00020,,,0.573,,,,,,8.0493,,,
4,K00022,,,0.5529999999999999,,,,,,6.3172,,,
5,K00029,,,0.5845002686787479,,,,,,40.850899999999996,,,
6,K00031,,,0.645294894047984,,,,,,45.0708,,,
7,K00033,,,0.6449799417110702,0.664,,,,,67.6212,5.4657,,
8,K00038,,,0.66,,,,,,11.6775,,,
9,K00053,,,0.6368613911352933,,,,,,135.9617,,,
10,K00057,,,0.6495388270136573,,,,,,13.141200000000001,,,
11,K00058,,,0.611,,,,,,4.457,,,
12,K00059,,,0.6119442257636207,,,,,,56.4706,,,
13,K00060,,,0.6002397187788375,,,,,,21.428,,,
14,K00064,,,0.6422274219726803,,,,,,8.0662,,,
15,K00065,,,0.5714483336942962,,,,,,10.0572,,,
16,K00067,,,0.6145219778083255,,,,,,12.1815,,,
17,K00074,,,0.5529999999999999,,,,,,6.3172,,,
18,K00075,,,0.605213191331517,,,,,,40.7336,,,
19,K00077,,,0.6427174832080601,,,0.5333185957835865,,,188.5905,,,11.791699999999999
20,K00088,,,0.6243346045382273,,,,,,42.791799999999995,,,
21,K00091,,,0.608,,,,,,6.0106,,,
22,K00099,,,0.6345948975512425,,,,,,38.198899999999995,,,
23,K00111,,,0.6581142427863494,,,,,,60.8932,,,
24,K00116,,,0.5595853687718095,,,,,,49.737199999999994,,,
25,K00121,,,0.628,,,,,,7.264,,,
26,K00122,,,0.6007613285932608,,,,,,10.496300000000002,,,
27,K00124,,,0.62492950173188,,,0.56,,,68.4896,,,3.3441
28,K00127,,,0.5647155887251157,,,0.562,,,39.0922,,,4.6122
29,K00133,,,0.605366955703937,,,,,,28.3265,,,
30,K00134,,,0.568,,,,,,8.9869,,,
31,K00135,,,0.565,,,,,,5.3299,,,
32,K00145,,0.7280000000000001,0.5882032667711101,,,,,1.7066,42.561699999999995,,,
33,K00148,,,0.612,,,,,,5.8473,,,
34,K00156,,,0.5670000000000001,,,,,,10.2454,,,
35,K00163,,,0.6161841038391271,,,,,,357.4583,,,
36,K00174,,,0.6095762473458664,,,,,,26.723999999999997,,,
37,K00175,,,0.6012679031675081,,,,,,44.4643,,,
38,K00176,,,0.634,,,,,,3.0893,,,
39,K00208,,,0.5867208621569099,,,,,,12.059000000000001,,,
40,K00215,,,0.6535997252913092,,,,,,50.6014,,,
41,K00217,,,0.588,,,,,,3.8067,,,
42,K00228,,,0.6470756678650121,,,,,,7.8773,,,
43,K00231,,,0.5853399067518199,0.624,,,,,42.917,7.919,,
44,K00232,,,0.656810886659077,,,,,,11.016,,,
45,K00240,,,0.6247799985977688,,,,,,108.66180000000001,,,
46,K00241,,,0.5768351502431487,,,,,,68.2068,,,
47,K00242,,,0.6499267238995552,,,,,,23.653100000000002,,,
48,K00249,,,0.5832751850243816,,,,,,33.9998,,,
49,K00254,,,0.652,,,,,,3.8516,,,
50,K00261,,,0.607,,,,,,7.2397,,,
51,K00273,,,0.69,,,,,,5.1588,,,
52,K00275,,,0.685797174520362,,,0.58,,,52.17759999999999,,,2.6645
53,K00286,,,0.6236340267837137,,,,,,48.29,,,
54,K00287,,,0.545,,,,,,2.9841,,,
55,K00297,,,0.700167996815693,,,,,,25.0088,,,
56,K00299,,,0.6869660121762712,,,,,,33.7416,,,
57,K00304,,,0.6963900074669654,,,,,,7.5401,,,
58,K00311,,,0.5714630758270666,,,,,,27.3529,,,
59,K00316,,,0.6218694472859378,,,,,,10.8675,,,
60,K00322,,,0.563,,,,,,3.5537,,,
61,K00330,,,0.5645903450798253,,,,,,103.7196,,,
62,K00331,,,0.6021234009823665,,,,,,73.9001,,,
63,K00332,,,0.6274856370833891,,,,,,32.6118,,,
64,K00334,,,0.5861799582730589,,,,,,44.8609,,,
65,K00337,,,0.652,,,,,,14.653,,,
66,K00338,,,0.6015580875250526,,,,,,56.831599999999995,,,
67,K00339,,,0.5968347962472214,,,,,,34.9163,,,
68,K00340,,,0.578877850193982,,,,,,98.10759999999999,,,
69,K00343,,,0.564,0.214,,,,,4.9873,8.7587,,
70,K00344,,,0.587152596840806,,,,,,33.7275,,,
71,K00363,,,0.555,,,,,,3.4455,,,
72,K00375,,,0.619,,,,,,7.8672,,,
73,K00384,,,0.5768685912608105,,,,,,20.537,,,
74,K00389,,,0.5794681004363271,,,,,,36.6985,,,
75,K00390,,,0.6050684203459438,,,,,,54.4509,,,
76,K00406,,,0.5842240025979732,,,,,,7.5115,,,
77,K00411,,,0.6559072493394621,,,,,,15.128599999999999,,,
78,K00412,,,0.615,,,,,,12.0997,,,
79,K00413,,,0.5892522096841665,,,,,,17.0027,,,
80,K00425,,,0.6174918916099856,,,,,,237.8186,,,
81,K00426,,,0.6101500555886595,,,,,,131.9669,,,
