,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00003,,,0.605,,,,,4.4206,,
1,K00012,,,0.615120949069532,,,,,13.907499999999999,,
2,K00014,,,0.639,,,,,5.2817,,
3,K00024,,,0.617,,,,,8.4072,,
4,K00029,,,0.6632545858586978,,,,,12.2584,,
5,K00031,,,0.633849557184,,,,,76.6379,,
6,K00033,,,0.6468601402034044,,,,,154.6379,,
7,K00034,,,0.6339549946476166,,,,,13.1239,,
8,K00036,,,0.6442825373397886,,,,,22.293599999999998,,
9,K00039,,,0.639,,,,,4.555,,
10,K00053,,,0.6591763938997718,,,,,136.7293,,
11,K00057,,,0.7229437914059348,,,,,27.5097,,
12,K00058,,,0.6665369905608772,,,,,15.2613,,
13,K00059,,,0.6310847711736502,,,,,33.090500000000006,,
14,K00060,,,0.606,,,,,8.4877,,
15,K00067,,,0.6564318661522057,,,,,31.9896,,
16,K00074,,,0.612,,,,,5.517,,
17,K00075,,,0.6507091899173157,,,,,33.8667,,
18,K00077,,,0.6506024577895549,,,,,89.48339999999999,,
19,K00088,,,0.6195205144822181,,,,,10.956,,
20,K00096,,0.429,0.7240000000000001,,,,3.355,10.0611,,
21,K00097,,,0.679,,,,,5.5758,,
22,K00099,,,0.6650340032938296,,,,,72.1685,,
23,K00104,,,0.6519187275809805,,,,,13.2279,,
24,K00111,,,0.6779241880363389,,,,,32.3698,,
25,K00113,,,0.614,,,,,6.7344,,
26,K00116,,,0.7164141133310437,,,,,17.947400000000002,,
27,K00122,,,0.575,,,,,2.1123,,
28,K00124,,,0.6535123856251543,,,,,34.7619,,
29,K00126,,,0.6970000000000001,,,,,6.5072,,
30,K00127,,,0.6211337675516164,,,,,20.105599999999995,,
31,K00133,,,0.6195982672230322,,,,,12.515799999999999,,
32,K00134,,,0.585,,,,,2.9063,,
33,K00140,,,0.62,,,,,8.9887,,
