,KEGG,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_countsUnclassified
0,K00031,,0.6168190246901049,,,,,34.415800000000004,,,
1,K00033,,0.57,,,,,3.9557,,,
2,K00053,,0.721,,,,,2.412,,,
3,K00054,,0.449,,,,,2.873,,,
4,K00067,,0.669,,,,,4.2907,,,
5,K00077,,0.677,,,,,4.9362,,,
6,K00099,,0.565,,,,,3.4806,,,
7,K00116,,0.5503196209556019,,,,,7.1145,,,
8,K00124,,0.677,,,,,8.1691,,,
9,K00127,,0.6639999999999999,,,,,8.1423,,,
10,K00145,,0.441,,,,,4.1726,,,
11,K00163,,0.6492859561314094,,,,,22.2743,,,
12,K00175,,0.659,,,,,26.5526,,,
13,K00209,,0.381,,,,,2.5581,,,
14,K00228,,0.5652203049906559,,,,,11.0221,,,
15,K00232,,0.403,,,,,2.747,,,
16,K00241,,0.664,,,,,2.0466,,,
17,K00254,,0.382,,,,,3.0296,,,
18,K00286,,0.6929395044281071,,,,,7.328,,,
19,K00297,,0.623,,,,,1.8988,,,
20,K00311,,0.589,,,,,4.2171,,,
21,K00318,,0.375,,,,,4.825,,,
22,K00326,,0.5579999999999999,,,,,3.665,,,
23,K00338,,0.639,,,,,15.4342,,,
24,K00339,,0.5660000000000001,,,,,8.8456,,,
25,K00389,,0.68,,,,,2.7091,,,
26,K00426,,0.636295806891752,,,,,7.1804,,,
27,K00428,,0.43799999999999994,,,,,1.6581,,,
28,K00433,,0.669,,,,,8.2402,,,
29,K00452,,0.419,,,,,2.9863,,,
30,K00457,,0.412,,,,,2.7178,,,
31,K00459,,0.653,,,,,5.3094,,,
32,K00507,,0.624613566441171,,,,,4.8332,,,
33,K00525,,0.416,,,,,5.2161,,,
34,K00526,,0.581,,,,,23.8615,,,
35,K00549,,0.6203069409122849,,,,,29.528799999999997,,,
36,K00588,,0.57,,,,,2.4068,,,
37,K00602,,0.5820000000000001,,,,,2.8877,,,
38,K00606,,0.595,,,,,3.1562,,,
39,K00626,,0.6809999999999999,,,,,5.0637,,,
40,K00674,,0.633,,,,,11.5839,,,
41,K00688,,0.536,,,,,2.98,,,
42,K00703,,0.7170000000000001,,,,,7.1892,,,
43,K00764,,0.669,,,,,2.7017,,,
44,K00766,,0.5579999999999999,,,,,3.927,,,
45,K00789,,0.39,,,,,4.2581,,,
46,K00794,,0.585,,,,,3.995,,,
47,K00797,,0.655,,,,,3.2953,,,
48,K00798,,0.507150562818989,,,,,5.2885,,,
49,K00873,,0.6056841875090037,,,,,15.637,,,
50,K00891,,0.619,,,,,3.3099,,,
51,K00919,,0.5870000000000001,,,,,2.7968,,,
52,K00927,,0.407,,,,,2.5504,,,
53,K00936,,0.386,,,,,2.7521,,,
54,K00940,,0.584,,,,,5.0195,,,
55,K00943,,0.654,,,,,2.8198,,,
56,K00948,,0.6147792513742648,,,,,18.7928,,,
57,K00954,,0.583,,,,,5.1488,,,
58,K00971,,0.396,,,,,2.0725,,,
59,K00979,,0.391,,,,,3.2163,,,
60,K00981,,0.662,,,,,1.3796,,,
61,K00986,,0.6496349184521558,,,,,11.042300000000001,,,
62,K00990,,0.65,,,,,3.2733,,,
63,K01000,,0.647,,,,,12.434,,,
64,K01008,,0.655,,,,,1.7131,,,
65,K01051,,0.5589999999999999,,,,,2.2146,,,
66,K01058,,0.415,,,,,3.5982,,,
67,K01077,,0.517653031722651,,,,,9.4581,,,
68,K01079,0.386,,,,,2.5292,,,,
69,K01113,,0.588,,,,,2.3262,,,
70,K01129,,0.43400000000000005,,,,,2.8289,,,
71,K01159,,0.685,,,,,6.4013,,,
72,K01160,,0.7070000000000002,,,,,7.0559,,,
73,K01167,,0.531,,,,,4.4021,,,
74,K01174,,0.5181015596126052,,,,,5.308999999999999,,,
75,K01179,,0.672,,,,,2.9127,,,
76,K01209,,0.649,,,,,5.4604,,,
77,K01241,,0.619,,,,,3.2165,,,
78,K01246,,0.6990000000000001,,,,,2.4074,,,
79,K01251,,0.6065871421904856,,,,,78.4665,,,
80,K01259,,0.644,,,,,3.6315,,,
81,K01266,,0.6486477362654358,,,0.5379999999999999,,7.0107,,,1.3084
82,K01273,,0.6139688750807853,,,,,9.6042,,,
83,K01283,,0.628,,,,,6.4105,,,
84,K01358,,0.5712230539804435,,,,,17.3836,,,
85,K01406,,0.591,,,,,3.7419,,,
86,K01419,,0.6509999999999999,,,,,7.1479,,,
87,K01447,,,0.7000000000000001,,,,,10.7986,,
88,K01448,,0.6669999999999999,,,,,3.4251,,,
89,K01462,,0.45500000000000007,,,,,3.0638,,,
90,K01463,,0.6859999999999999,,,,,4.2355,,,
