,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj environmental samples,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts environmental samples,gene_counts unclassified viruses,gene_countsUnclassified
0,K00021,,,0.695,,,,,,,,5.6497,,,,,
1,K00024,,,0.6609999999999999,,,,,,,,14.5737,,,,,
2,K00029,,,0.6004840524501126,,,,,,,,10.277899999999999,,,,,
3,K00031,,,0.6387437612840823,,,,,,,,45.1432,,,,,
4,K00033,,,0.6986171607384093,,,,,,,,8.8838,,,,,
5,K00053,,,0.6602455289448439,,,,,,,,47.7775,,,,,
6,K00067,,,0.637,,,,,,,,2.2257,,,,,
7,K00075,,,0.713,,,,,,,,2.4179,,,,,
8,K00077,,,0.6617143471323906,,,,,,,,14.0819,,,,,
9,K00099,,,0.6924663065417819,,,,,,,,8.100999999999999,,,,,
10,K00122,,,0.642,,,,,,,,5.5861,,,,,
11,K00124,,,0.652,,,,,,,,2.6401,,,,,
12,K00127,,,0.602,,,,,,,,1.8663,,,,,
13,K00145,,,0.5429999999999999,,,,,,,,2.4948,,,,,
14,K00153,,,0.721,,,,,,,,4.3856,,,,,
15,K00163,,,0.6603261190248043,,,,,,,,81.00089999999999,,,,,
16,K00175,,,0.6697617192772521,,,,,,,,33.8194,,,,,
17,K00180,,,0.6859999999999999,,,,,,,,2.5208,,,,,
18,K00215,,,0.711,,,,,,,,1.7327,,,,,
19,K00240,,,0.666278837609098,,,,,,,,9.7243,,,,,
20,K00241,,,0.672,,,,,,,,1.5,,,,,
21,K00242,,,0.6890000000000001,,,,,,,,4.2459,,,,,
22,K00249,,,0.7020000000000001,,,,,,,,2.2687,,,,,
23,K00254,,,0.695,,,,,,,,1.7016,,,,,
24,K00275,,,0.6455308302922724,,,,,,,,7.526999999999999,,,,,
25,K00286,,,0.6832950119084569,,,,,,,,7.9998000000000005,,,,,
26,K00311,,,0.685,,,,,,,,3.6823,,,,,
27,K00331,,,0.665,,,,,,,,8.747,,,,,
28,K00334,,,0.63,,,,,,,,6.3857,,,,,
29,K00338,,,0.6729090515101982,,,,,,,,17.9059,,,,,
30,K00340,,,0.589850448297516,,,,,,,,10.1661,,,,,
31,K00344,,,0.711,,,,,,,,3.494,,,,,
32,K00389,,,0.654,,,,,0.6809999999999999,,,2.6284,,,,,1.6846
33,K00390,,,0.6864484706623402,,,,,,,,8.3066,,,,,
34,K00411,,,0.628,,,,,,,,9.4372,,,,,
35,K00412,,,0.638,,,,,,,,9.2453,,,,,
36,K00413,,,0.6609999999999999,,,,,,,,2.3579,,,,,
37,K00424,,,0.6779999999999999,,,,,,,,1.1108,,,,,
38,K00425,,,0.6094653727831584,,,,,,,,14.674299999999999,,,,,
39,K00426,,,0.640098186787394,,,,,,,,13.8943,,,,,
40,K00432,,,0.6423693841883417,,,,,,,,8.4023,,,,,
41,K00433,,,0.6202784416506347,,,,,,,,11.9338,,,,,
42,K00448,,,0.708,,,,,,,,3.5313,,,,,
43,K00449,,,0.6941499231500003,,,,,,,,12.0704,,,,,
44,K00450,,,0.672,,,,,,,,8.8941,,,,,
45,K00451,,,0.6676561722568852,,,,,,,,21.8411,,,,,
46,K00452,,,0.6383389319479651,,,,,,,,5.3141,,,,,
47,K00453,,,0.7020000000000001,,,,,,,,1.4889,,,,,
48,K00457,,,0.6650230977634026,,,,,,,,9.5084,,,,,
49,K00459,,,0.652,,,,,,,,3.6847,,,,,
50,K00496,,,0.6729999999999999,,,,,,,,3.0924,,,,,
51,K00507,,,0.6512780496449656,,,,,,,,18.2347,,,,,
52,K00525,,,0.6497515089826638,,,,,,,,30.327399999999997,,,,,
53,K00540,,,0.680025255106485,,,,,,,,19.646200000000004,,,,,
54,K00548,,,0.6378821331634418,,,,,,,,43.9804,,,,,
55,K00549,,,0.650910542410857,,,,,,,,52.482899999999994,,,,,
56,K00554,,,0.6909183439240068,,,,,,,,4.9907,,,,,
57,K00560,,,0.5969056230455798,,,,,,,,13.2508,,,,,
58,K00570,,,0.6493349713163048,,,,,,,,7.9947,,,,,
59,K00571,,,0.645,,,,,,,,5.5522,,,,,
60,K00574,,,0.6723466360996984,,,,,,,,16.4756,,,,,
61,K00588,,,0.7040000000000001,,,,,,,,3.0547,,,,,
62,K00598,,,0.6946200796107918,,,,,,,,4.7247,,,,,
63,K00600,,,0.6545401512614143,,,,,,,,40.7533,,,,,
64,K00602,,,0.6948942554503412,,,,,,,,8.996500000000001,,,,,
65,K00606,,,0.65,,,,,,,,2.435,,,,,
66,K00609,,,0.6888301132974707,,,,,,,,16.6154,,,,,
67,K00613,,,0.537,,,,,,,,5.5996,,,,,
68,K00615,,,0.644,,,,,,,,9.2429,,,,,
69,K00616,,,0.64,,,,,,,,3.9263,,,,,
70,K00620,,,0.6612252198655663,,,,,,,,13.499600000000001,,,,,
