,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00012,,,0.64,,,,,8.2304,,
1,K00031,,,0.65,,,,,20.1569,,
2,K00033,,,0.6643915628812521,,,,,44.390899999999995,,
3,K00053,,,0.669,,,,,5.6239,,
4,K00067,,,0.6577065852905628,,,,,18.619999999999997,,
5,K00077,,,0.6803694731152087,,,,,29.459600000000005,,
6,K00088,,,0.6829999999999999,,,,,12.8333,,
7,K00091,,,0.642,,,,,6.1987,,
8,K00096,,,0.728,,,,,6.8944,,
9,K00099,,,0.722,,,,,13.1146,,
10,K00111,,,0.612,,,,,3.023,,
11,K00122,,,0.639,,,,,10.6959,,
12,K00124,,,0.6658946314258305,,,,,20.4085,,
13,K00126,,,0.713,,,,,5.2248,,
14,K00133,,,0.628,,,,,9.6643,,
15,K00140,,,0.6940000000000001,,,,,11.2266,,
16,K00145,,,0.6817579785091208,,,,,18.509900000000002,,
17,K00163,,,0.6801388857959819,,,,,140.65460000000002,,
18,K00174,,,0.6911868785438644,,,,,23.1154,,
19,K00175,,,0.6539999999999999,,,,,4.66,,
20,K00215,,,0.562,,,,,2.4306,,
21,K00228,,,0.6920000000000001,,,,,4.0438,,
22,K00240,,,0.6546334471369376,,,,,25.508699999999997,,
23,K00249,,,0.6509999999999999,,,,,11.2212,,
24,K00253,,,0.6509999999999999,,,,,11.2212,,
25,K00275,,,0.6970000000000001,,,,,6.1822,,
26,K00286,,,0.589,,,,,3.3744,,
27,K00299,,,0.7070000000000001,,,,,12.1236,,
28,K00311,,,0.6719813621075102,,,,,14.7207,,
29,K00330,,,0.5834424245215346,,,,,32.1881,,
30,K00332,,,0.6679999999999998,,,,,9.2007,,
31,K00334,,,0.6408932026432841,,,,,25.857300000000002,,
32,K00338,,,0.6485959603890197,,,,,52.8258,,
33,K00339,,,0.6392974836825416,,,,,9.7249,,
34,K00340,,,0.5855760537133332,,,,,13.542,,
35,K00365,,,0.696,,,,,7.3832,,
36,K00371,,,0.6785204835335369,,,,,15.332799999999999,,
37,K00389,,,,,0.7190000000000001,,,,,4.12
38,K00413,,,0.6755906734616235,,,,,16.8313,,
39,K00424,,,0.614,,,,,6.8198,,
40,K00425,,,0.6398740861508662,,,,,104.49260000000002,,
41,K00426,,,0.621558458174625,,,,,39.9841,,
42,K00428,,,0.667,,,,,4.5756,,
43,K00432,,,0.624,,,,,3.1657,,
44,K00433,,,0.6073903163774992,,,,,38.577200000000005,,
45,K00448,,,0.72,,,,,7.3408,,
46,K00451,,,0.6445533966593953,,,,,34.6137,,
47,K00452,,,0.6629999999999999,,,,,7.4338,,
48,K00453,,,0.6345710116731517,,,,,13.706800000000001,,
49,K00457,,,0.5670000000000001,,,,,4.9379,,
50,K00459,,,0.6515275773587722,,,,,33.9211,,
51,K00507,,,0.6455613206087917,,,,,57.6284,,
52,K00525,,,0.653,,,,,12.153,,
53,K00540,,,0.64881048713804,,,,,30.4164,,
54,K00548,,,0.6816649693087186,,,,,35.2501,,
55,K00549,,,0.6679628010414143,,,,,69.13740000000001,,
56,K00554,,,0.6907314303770181,,,,,30.540399999999995,,
57,K00560,,,0.624,,,,,12.3671,,
58,K00564,,,0.718,,,,,5.4623,,
59,K00567,,,0.708,,,,,5.1601,,
60,K00570,,,0.664,,,,,3.4539,,
61,K00573,,,0.6369128358383147,,,,,17.1917,,
62,K00574,,,0.6563361741214623,,,,,10.0855,,
63,K00588,,,0.669,,,,,9.3653,,
64,K00598,,,0.6859999999999999,,,,,10.8182,,
65,K00600,,,0.662014980948455,,,,,12.873099999999999,,
66,K00602,,,0.6649309086553669,,,,,60.6088,,
67,K00606,,,0.6890985925202047,,,,,33.771300000000004,,
68,K00609,,,0.72,,,,,6.1638,,
69,K00615,,,0.68,,,,,9.2773,,
70,K00616,,,0.583,,,,,5.3256,,
71,K00620,,,0.6412128660792795,,,,,14.2334,,
72,K00626,,,0.6619453997422239,,,,,73.902,,
73,K00635,,,0.7122087749390605,,0.657,,,50.17699999999999,,2.9047
74,K00640,,,0.6467156971070175,,,,,5.1398,,
75,K00641,,,0.656788052628619,,,,,57.6418,,
76,K00648,,,0.6809999999999999,,,,,6.2947,,
77,K00655,,,0.685909284162702,,,,,30.3629,,
78,K00657,,,0.6779999999999999,,,,,10.099,,
79,K00674,,,0.669,,,,,8.6079,,
80,K00677,,,0.5620464717176802,,,,,7.59,,
81,K00684,,,0.6970295355487076,,,,,16.7803,,
82,K00688,,,0.6129729083227679,,,,,25.069599999999998,,
83,K00700,,,0.584,,,,,15.1293,,
84,K00703,,,0.6691387383270168,,,,,31.121,,
