,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj Varidnaviria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts Varidnaviria,gene_countsUnclassified
0,K00003,,,0.585896585106697,,,,,,,10.387599999999999,,,,
1,K00010,,,0.643,,,,,,,6.1503,,,,
2,K00012,,,0.653,,,,,,,5.4604,,,,
3,K00014,,,0.6488222479739313,,,,,,,26.4459,,,,
4,K00020,,,0.574,,,,,,,3.6729,,,,
5,K00024,,,0.596,,,,,,,5.1439,,,,
6,K00029,,,0.6278881238414096,,,,,,,43.908500000000004,,,,
7,K00033,,,0.6484678199842796,,,,,,,110.65339999999999,,,,
8,K00036,,,0.555,,,,,,,15.8919,,,,
9,K00038,,,0.675,,,,,,,19.6076,,,,
10,K00046,,,0.639,,,,,,,5.6403,,,,
11,K00053,,,0.6303837896438474,,,,,,,82.80890000000001,,,,
12,K00057,,,0.6806578220649501,,,,,,,24.2222,,,,
13,K00058,,,0.57,,,,,,,2.7351,,,,
14,K00059,,,0.604117060557907,,,,,,,33.179300000000005,,,,
15,K00060,,,0.574,,,,,,,4.733,,,,
16,K00065,,,0.6034826020842745,,,,,,,10.3391,,,,
17,K00067,,,0.6267724466117688,,,,,,,38.489,,,,
18,K00075,,,0.6337677278876029,,,,,,,69.2133,,,,
19,K00077,,,0.6411344662783799,,,,0.6341150200625465,,,204.4377,,,,15.185500000000001
20,K00088,,,0.574,,,,,,,4.4223,,,,
21,K00096,,,0.575,,,,,,,2.8358,,,,
22,K00099,,,0.6485580964194196,,,,,,,81.63690000000003,,,,
23,K00111,,,0.6694434789752338,,,,,,,57.65970000000001,,,,
24,K00116,,,0.5853370072038264,,,,,,,34.0077,,,,
25,K00122,,,0.5775152824726045,,,,,,,10.6933,,,,
26,K00124,,,0.6373944839373852,,,,,,,66.9853,,,,
27,K00126,,,0.601,,,,,,,2.4388,,,,
28,K00127,,,0.5717792359958888,,,,,,,19.0255,,,,
29,K00133,,,0.6342793734624225,,,,,,,36.0802,,,,
30,K00134,,,0.558839623467124,,,,,,,17.1295,,,,
31,K00145,,,0.6491106025276656,,,,,,,28.064899999999998,,,,
32,K00163,,,0.6442643256901467,,,,,,,378.9782,,,,
33,K00174,,,0.61097631071979,,,,,,,29.7832,,,,
34,K00175,,,0.6473832028191737,,,,,,,27.690600000000003,,,,
35,K00176,,,0.579,,,,,,,2.6147,,,,
36,K00208,,,0.607421588629734,,,,,,,39.852000000000004,,,,
37,K00215,,,0.6682614269900584,,,,,,,42.463300000000004,,,,
38,K00228,,,0.6443270262908766,,,,,,,14.457500000000001,,,,
39,K00231,,,0.6775373198137842,,,,,,,17.5533,,,,
40,K00240,,,0.6329154419396338,,,,,,,70.8349,,,,
41,K00241,,,0.6027139416533323,,,,0.555,,,39.00979999999999,,,,3.6845
42,K00242,,,0.6075138122609266,,,,,,,21.5623,,,,
43,K00249,,,0.6023427170836133,,,,,,,32.7005,,,,
44,K00253,,,0.625,,,,,,,9.1004,,,,
45,K00254,,,0.6682081285717965,,,,,,,30.6373,,,,
46,K00257,,,0.675,,,,,,,6.8449,,,,
47,K00259,,,0.6257805662135114,,,,,,,13.299800000000001,,,,
48,K00263,,,0.574,,,,,,,4.6805,,,,
49,K00273,,,0.7055527092021123,,,,,,,21.5643,,,,
50,K00275,,,0.6848015935436755,,,,0.7211187995777742,,,75.26249999999999,,,,9.812
51,K00282,,,0.617,,,,,,,4.3859,,,,
52,K00286,,,0.6769992129898272,,,,,,,104.7047,,,,
53,K00287,,,0.6771496674493022,,,,,,,10.5884,,,,
54,K00297,,,0.6806048531888363,,,,,,,19.631,,,,
55,K00299,,,0.67958653393965,,,,,,,15.1769,,,,
56,K00304,,,0.6189280068120097,,,,,,,8.9768,,,,
57,K00311,,,0.6074116275368281,,,,,,,32.6338,,,,
58,K00320,,,0.693,,,,,,,4.7035,,,,
59,K00326,,,,,0.507,,,,,,,2.3768,,
60,K00330,,,0.5783622366912933,,,,,,,96.20230000000002,,,,
61,K00331,,,0.578,,,,,,,6.5192,,,,
62,K00332,,,0.6168028429225539,,,,,,,19.1286,,,,
63,K00334,,,0.6302576621548847,,,,,,,47.479699999999994,,,,
64,K00337,,,0.55,,0.266,,,,,10.5861,,7.5702,,
65,K00338,,,0.6025795319808468,,,,,,,57.87520000000001,,,,
66,K00339,,,0.608314911700806,,,,,,,29.068199999999997,,,,
67,K00340,,,0.5822125523133554,,,,,,,88.9929,,,,
68,K00341,,,,,0.2656896646333861,,,,,,,17.7101,,
69,K00343,,,0.5855122246796134,,0.2278769085167332,,,,,6.9697,,16.3838,,
70,K00344,,,0.5867371321648878,,,,,,,10.9363,,,,
71,K00355,,,0.5762085107842276,,,,,,,16.4326,,,,
72,K00375,,,0.544,,,,,,,9.236,,,,
73,K00382,,,0.551,,,,,,,5.1098,,,,
74,K00384,,,0.586,,,,,,,12.6147,,,,
75,K00386,,,0.621,,,,,,,3.0714,,,,
76,K00389,,,0.6305712233711397,,,,0.6799785077669023,,,54.38,,,,6.4966
77,K00390,,,0.6472408956183254,,,,,,,76.7519,,,,
78,K00406,,,0.6350294776198011,,,,,,,23.9015,,,,
79,K00407,,,0.5910220579470361,,,,,,,15.029300000000001,,,,
80,K00411,,,0.6447129469704953,,,,,,,47.783,,,,
81,K00412,,,0.5404406322607526,,0.28822577870555405,,,,,10.9829,,16.7053,,
82,K00413,,,0.6066453831548096,,,,,,,62.2928,,,,
83,K00425,,,0.6128118713962942,,,,,,,443.2263,,,,
84,K00426,,,0.6192002104653721,,,,0.6226361091477876,,,325.87949999999995,,,,18.9559
85,K00428,,,0.6102206362634248,,,,,,,102.08570000000002,,,,
86,K00432,,,0.6489736159367018,,,,,,,83.7019,,,,
87,K00433,,,0.6016189742347666,,,,,,,185.06520000000003,,,,
88,K00446,,,0.657331250857554,,,,,,,16.1873,,,,
89,K00448,,,0.6834135728626841,,,,,,,14.973799999999999,,,,
90,K00449,,,0.6436027459828619,,,,,,,36.239399999999996,,,,
91,K00450,,,0.6737442104874123,,,,,,,34.303200000000004,,,,
92,K00451,,,0.6422913398543619,,0.56,,,,,203.15289999999996,,2.0592,,
93,K00452,,,0.611063183794822,,,,,,,27.2997,,,,
94,K00453,,,0.5766153957093261,,,,,,,47.7699,,,,
95,K00456,,,0.5658350506393931,,,,,,,11.6121,,,,
96,K00457,,,0.6339833177419776,,,,,,,97.1177,,,,
97,K00459,,,0.6538709273251956,,,,,,,206.48980000000003,,,,
98,K00463,,,0.643,,,,,,,2.8365,,,,
99,K00467,,,0.603,,,,,,,2.8945,,,,
100,K00469,,,0.568337886474505,,,,,,,12.1658,,,,
101,K00479,,,0.5529999999999999,,,,,,,4.582,,,,
102,K00481,,,0.5983642464002934,,,,,,,14.3472,,,,
103,K00496,,,0.606,,,,,,,3.315,,,,
104,K00500,,,0.636,,,,,,,4.9712,,,,
105,K00507,,,0.6230195319421767,,,,0.639,,,186.95090000000002,,,,3.4078
106,K00518,,,0.6370000000000001,,,,,,,46.3591,,,,
107,K00525,,,0.604645302033478,,,,,,,85.25840000000001,,,,
108,K00526,,,0.5660000000000001,,,,,,,5.0621,,,,
109,K00528,,,0.5973074793929327,,,,,,,16.98,,,,
110,K00537,,,0.609,,,,,,,3.6015,,,,
111,K00540,,,0.6648653004660667,,,,0.643,,,124.089,,,,2.0163
112,K00544,,,0.6908624237466402,,,,,,,14.4969,,,,
113,K00545,,,0.6459920562720369,,,,,,,9.573,,,,
114,K00548,,,0.6250209648173929,,,,,,,110.2509,,,,
115,K00549,,,0.6542075753658911,,,,,,,665.9736,,,,
116,K00554,,,0.6575323637517366,,,,,,,54.9621,,,,
117,K00558,,,0.452,,,,,,,3.9484,,,,
118,K00560,,,0.6153187448225047,,,,,,,47.565,,,,
119,K00563,,,,,,,0.701,,,,,,,2.5755
120,K00564,,,0.7438829882734662,,,,,,,12.945799999999998,,,,
121,K00566,,,0.593,,,,,,,3.9497,,,,
122,K00567,,,0.6635712650616606,,,,,,,17.768800000000002,,,,
123,K00570,,,0.6527155204635323,,,,,,,32.1369,,,,
124,K00573,,,0.6451468439048704,,,,,,,122.20310000000002,,,,
125,K00574,,,0.6503406967531167,,0.5720000000000001,,,,,150.6404,,3.1364,,
126,K00588,,,0.6397957338101684,,,,,,,48.0477,,,,
127,K00596,,,0.685,,,,,,,7.9379,,,,
128,K00598,,,0.663621852898109,,,,,,,32.8023,,,,
129,K00600,,,0.6457120091996111,,,,,,,301.722,,,,
130,K00602,,,0.6518297446616081,,,,,,,167.1565,,,,
131,K00604,,,0.7328699419185876,,,,,,,11.1165,,,,
132,K00606,,,0.6841902128691038,,,,,,,139.70369999999997,,,,
133,K00609,,,0.6621441970952511,,,,,,,55.6063,,,,
134,K00611,,,0.629907032716997,,,,,,,23.7001,,,,
135,K00612,,,0.5596991620195901,,,,,,,10.2433,,,,
136,K00613,,,0.629,,,,,,,3.1934,,,,
137,K00615,,,0.6114717037387638,,,,,,,37.3602,,,,
138,K00616,,,0.5936972373454924,,,,,,,25.0518,,,,
139,K00619,,,0.6106428004269362,,,,,,,27.351999999999997,,,,
140,K00620,,,0.6616450621361508,,,,,,,29.5729,,,,
141,K00626,,,0.6536127555556576,,,,,,,190.36010000000002,,,,
142,K00635,,,0.6553042508364111,,,,0.636,,,369.5194000000001,,,,3.0568
143,K00640,,,0.6306460206215879,,,,,,,59.56099999999999,,,,
144,K00641,,,0.6165547040309558,,0.53,,,,,234.4297,,2.6376,,
145,K00643,,,0.629,,,,,,,5.2441,,,,
146,K00645,,,0.6305868253164071,,,,,,,11.9753,,,,
147,K00646,,,0.583,,,,,,,5.3822,,,,
148,K00648,,,0.6006311632384652,,,,,,,14.9145,,,,
149,K00655,,,0.6421427346759989,,,,,,,64.15109999999999,,,,
150,K00657,,,0.6158628235968372,,,,,,,14.8597,,,,
151,K00661,,,0.6340141104077518,,,,,,,6.2554,,,,
152,K00662,,,0.6337865140190929,,,,,,,6.8062000000000005,,,,
153,K00663,,,0.6414994263609541,,,,,,,22.5336,,,,
154,K00672,,,0.642,,,,,,,1.9882,,,,
155,K00674,,,0.6761674916894813,,,,,,,97.2927,,,,
156,K00677,,,0.5967545733282,,,,,,,35.1573,,,,
157,K00682,,,0.685167515804364,,,,,,,16.482799999999997,,,,
158,K00683,,,0.5507774361282041,,0.49,,,,,13.9286,,2.2407,,
159,K00684,,,0.6514527171678627,,,,,,,8.323,,,,
160,K00688,0.609,,0.6104365989645796,,0.522,,,6.1121,,399.8546,,2.1913,,
161,K00694,,,0.5979832582169501,,,,,,,10.4459,,,,
162,K00700,,,0.6114234997350387,,,,,,,70.37189999999998,,,,
163,K00703,,,0.6027310943552396,,,,,,,84.62819999999999,,,,
164,K00705,,,0.757,,,,,,,7.331,,,,
165,K00720,,,0.5837393683866448,,,,,,,63.5454,,,,
166,K00721,,,0.6933033155084009,,,,,,,30.2772,,,,
167,K00728,,,0.6772809099642024,,,,,,,26.671400000000002,,,,
168,K00748,,,0.6137176204886361,,,,,,,16.854200000000002,,,,
169,K00759,,,0.6139176530514102,,,,,,,47.2292,,,,
170,K00760,,,0.6037467631401838,,,,,,,83.03960000000001,,,,
171,K00762,,,0.6574483369415468,,,,,,,45.28569999999999,,,,
172,K00763,,,0.6732416487381631,,,,,,,57.2603,,,,
173,K00764,,,0.645921446695532,,,,,,,170.9675,,,,
174,K00765,,,0.6425205871983596,,,,,,,33.0432,,,,
175,K00766,0.649,,0.6855645351647367,,,,,2.3333,,89.70210000000002,,,,
176,K00767,,,0.578,,,,,,,4.2612,,,,
177,K00768,,,0.6976040417535806,,,,,,,46.0984,,,,
178,K00769,,,0.662,,,,,,,8.1962,,,,
179,K00772,,,0.5636260858505343,,,,,,,10.3162,,,,
180,K00773,,,0.6044351632345263,,,,,,,15.474599999999999,,,,
181,K00782,,,0.7067008363196111,,,,,,,19.336799999999997,,,,
182,K00783,,,0.6188726678244096,,,,,,,28.3792,,,,
183,K00784,,,0.6508871715181853,,,,,,,47.0125,,,,
184,K00788,,,0.689971435516415,,,,,,,16.3242,,,,
185,K00789,,,0.6426241470881187,,,,,,,414.10649999999987,,,,
186,K00790,,,0.6709977841947401,,,,,,,90.09309999999999,,,,
187,K00791,,,0.689399263359043,,,,,,,12.428,,,,
188,K00793,,,0.6482629391287086,,,,,,,70.2696,,,,
189,K00794,,,0.6568415849898624,,,,,,,76.7804,,,,
190,K00795,,,0.6431156279220238,,,,,,,13.996500000000001,,,,
191,K00796,,,0.601,,,,,,,2.5224,,,,
192,K00797,,,0.6241549144967404,,,,,,,13.2238,,,,
193,K00798,,,0.6700545132613444,,,,,,,49.01630000000001,,,,
194,K00799,,,0.6102923092932655,,,,,,,363.92849999999993,,,,
195,K00800,,,0.6798191964007562,,,,,,,76.8198,,,,
196,K00803,,,0.583,,,,,,,2.346,,,,
197,K00806,,,0.648,,,,,,,6.5126,,,,
198,K00808,,,0.6368732025141024,,,,,,,16.927100000000003,,,,
199,K00820,,,0.6225848970545005,,,,,,,133.9626,,,,
200,K00824,,,0.635,,,,,,,4.8441,,,,
201,K00826,,,0.67015909832667,,,,,,,33.8166,,,,
202,K00831,,,0.6867269034820291,,,,,,,14.9653,,,,
203,K00844,,,,,0.505,,,,,,,1.4426,,
204,K00851,,,0.6448637604685169,,,,,,,110.4063,,,,
205,K00852,,,0.601,,,,,,,5.8476,,,,
206,K00855,,,0.6274730151588842,,,,,,,5.9615,,,,
207,K00856,,,0.6970000000000001,,,,,,,14.5631,,,,
208,K00857,,,0.5742455635714154,,,,,,,18.8338,,,,
209,K00858,,,0.679379689902179,,,,,,,119.1275,,,,
210,K00859,,,0.6314528945838382,,,,,,,58.50100000000001,,,,
211,K00865,,,0.6867189938133067,,,,,,,11.0829,,,,
212,K00867,,,0.629295685500577,,,,,,,18.3216,,,,
213,K00872,,,0.765,,,,,,,7.7986,,,,
214,K00873,,,0.6567353949443038,,,,,,,188.03549999999998,,,,
215,K00878,,,0.611,,,,,,,3.1008,,,,
216,K00883,,,0.6744332632455039,,,,,,,8.087900000000001,,,,
217,K00886,,,0.6795642999360978,,,,,,,39.35690000000001,,,,
