,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00012,,,0.5037221099587993,,,,,24.5817,,
1,K00014,,,0.562,,,,,13.1715,,
2,K00021,,,0.6932632592591215,0.49600000000000005,,,,9.747399999999999,2.0673,
3,K00031,,,0.634,,,,,18.3496,,
4,K00033,,,0.5674311597800034,,,,,47.360099999999996,,
5,K00036,,,0.557,,,,,12.6232,,
6,K00053,,,0.6107435338140358,,,,,41.2223,,
7,K00054,,,0.65,,,,,1.4232,,
8,K00057,,,0.556,,,,,14.9729,,
9,K00058,,,0.575,,,,,10.7924,,
10,K00059,,,0.5480164269533385,,,,,41.0822,,
11,K00066,,,0.493,,,,,9.6483,,
12,K00067,,,0.6068780320340237,,,,,38.1676,,
13,K00075,,,0.601366489462689,,,,,39.5296,,
14,K00076,,,0.529,,,,,9.4675,,
15,K00077,,,0.6767770806888888,,,,,31.501000000000005,,
16,K00088,,,0.7140000000000002,,,,,7.9597,,
17,K00096,,,0.732,,,,,6.1442,,
18,K00099,,,0.6045034655976078,,,,,29.411599999999996,,
19,K00111,,,0.7033276588440637,,,,,41.058099999999996,,
20,K00122,,,0.6777502599445349,,,,,8.168099999999999,,
21,K00124,,,0.6274411095955492,,,,,30.0989,,
22,K00127,,,0.6859999999999999,,,,,4.4875,,
23,K00128,,,0.586,,,,,9.2379,,
24,K00133,,,0.545,,,,,10.0227,,
25,K00134,,,0.6052167996304175,,,,,23.2571,,
26,K00135,,,0.547,,,,,10.7026,,
27,K00145,,,0.5670000000000001,,,,,3.4224,,
28,K00146,,,0.586,,,,,9.2379,,
29,K00156,,,0.54,,,,,7.2602,,
30,K00161,,,0.6142734390780252,,,,,22.613100000000003,,
31,K00162,,,0.6940000000000001,,,,,6.0145,,
32,K00163,,,0.690406480939818,,,,,127.3665,,
33,K00174,,,0.5786622342737123,,,,,20.645200000000003,,
34,K00175,,,0.6273153734802989,,,,,76.0723,,
35,K00208,,,0.5551004547369219,,,,,20.6064,,
36,K00215,,,0.5411919700847214,,,,,10.2059,,
37,K00226,,,0.5310589067563568,,,,,21.253500000000003,,
38,K00230,,,0.698,,,,,4.0442,,
39,K00240,,,0.5678370055298858,,,,,38.5139,,
40,K00241,,,0.515094837023203,,0.593,,,18.0216,,2.4822
41,K00247,,,0.64,,,,,2.8709,,
42,K00249,,,0.6034931562960071,,,,,20.0678,,
43,K00254,,,0.5725914063301839,,,,,12.8899,,
44,K00259,,,0.6018313258660627,,,,,20.4127,,
45,K00262,,,0.55,,,,,11.4535,,
46,K00273,,,0.7067410848855585,,,,,12.945,,
47,K00275,,,0.6203637173207524,,,,,69.4819,,
48,K00278,,,0.547,,,,,11.5136,,
49,K00286,,,0.6426001533307435,,0.708,,,29.021099999999997,,2.9223
50,K00287,,,0.49600000000000005,,,,,3.8155,,
51,K00297,,,0.5588474534154075,,,,,19.5879,,
52,K00299,,,0.7196008303195783,,,,,10.9789,,
53,K00306,,,0.5489999999999999,,,,,11.8908,,
