,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.667,,,,,,,7.0624,,,,
1,K00014,,,0.55,,,,,,,5.9297,,,,
2,K00018,,,0.575,,,,,,,5.5636,,,,
3,K00021,,,0.521,,,,,,,2.6852,,,,
4,K00029,,,0.617,,,,,,,6.8557,,,,
5,K00031,,,0.6246967607015924,,,,,,,55.5041,,,,
6,K00033,,,0.6279031084763245,,,,,,,72.9657,,,,
7,K00036,,,0.5720831321627559,,,,,,,12.9409,,,,
8,K00039,,,0.608,,,,,,,4.6276,,,,
9,K00052,,,0.622,,,,,,,5.8109,,,,
10,K00053,,,0.6062529175962315,,,,,,,63.3757,,,,
11,K00058,,,0.617,,,,,,,2.2238,,,,
12,K00059,,,0.5520235271003416,,,,,,,61.282500000000006,,,,
13,K00067,,,0.6153987183692651,,,,,,,9.6324,,,,
14,K00075,,,0.6415799255280926,,,,,,,41.8229,,,,
15,K00077,,,0.629426724357971,,,,,,,138.1704,,,,
16,K00096,,,0.735,,,,,,,3.9319,,,,
17,K00099,,,0.6407297800007168,,,,,,,26.178700000000003,,,,
18,K00108,,,0.6083746996028667,,,,,,,6.9199,,,,
19,K00109,,,0.6809999999999999,,,,,,,6.8634,,,,
20,K00111,,,0.6464997795953097,,,,,,,32.762699999999995,,,,
21,K00122,,,0.6373221162012042,,,,,,,22.4185,,,,
22,K00124,,,0.6081144590613082,,,,,,,61.48980000000001,,,,
23,K00127,,,0.5957068100682207,,,,,,,42.9304,,,,
24,K00133,,,0.6164749001563009,,,,,,,9.6924,,,,
25,K00134,,,0.5941645129362819,,,,,,,22.2592,,,,
26,K00135,,,0.55,,,,,,,6.1835,,,,
27,K00145,,,0.6312720799680892,,,,,,,18.8337,,,,
28,K00161,,,0.617,,,,,,,12.836,,,,
29,K00163,,,0.6377125396755485,,,,,,,196.91089999999994,,,,
30,K00174,,0.5539999999999999,0.638949116526145,,,,,,3.447,34.1949,,,,
31,K00175,,,0.626440582855489,,,,,,,38.2621,,,,
32,K00202,,,0.6524276935444301,,,,,,,6.9670000000000005,,,,
33,K00208,,,0.6092306494315951,,,,,,,29.863,,,,
34,K00209,,,0.581,,,,,,,3.5597,,,,
35,K00215,,,0.6663461521519074,,,,,,,14.0703,,,,
36,K00227,,,0.626,,,,,,,2.6132,,,,
37,K00228,,,0.6344708708420672,,,,,,,20.7791,,,,
38,K00231,,,0.564,,,,,,,2.8048,,,,
39,K00240,,,0.6021356358654021,,,,,,,113.8144,,,,
40,K00241,,,0.5755025221055098,,,,,,,38.366499999999995,,,,
41,K00242,,,0.583006318915778,,,,,,,15.844100000000001,,,,
42,K00247,,,0.544,,,,,,,2.8352,,,,
43,K00254,,,0.536,,,,,,,4.219,,,,
44,K00259,,,0.609,,,,,,,6.0394,,,,
45,K00275,,,0.6162959790314114,,,,,,,34.3307,,,,
46,K00285,,,0.622,,,,,,,6.4885,,,,
47,K00286,,,0.6554146854079265,,,,,,,15.1289,,,,
48,K00287,,,0.636,,,,,,,4.963,,,,
49,K00297,,,0.6787757427312981,,,,,,,22.4722,,,,
50,K00311,,,0.6269804882501903,,,,,,,17.637999999999998,,,,
51,K00324,,,0.682,,,,,,,5.2223,,,,
52,K00330,,,0.5588000284947591,,,,,,,43.1783,,,,
53,K00331,,,0.6009337855448144,,,,,,,48.8581,,,,
54,K00332,,,0.6648554514640805,,,,,,,7.4924,,,,
55,K00334,,,0.6157439375566296,,,,,,,34.2073,,,,
