,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00020,,,0.624,,,,,8.8657,,
1,K00033,,,0.6424542643521229,,,,,32.3331,,
2,K00053,,,0.5829012069944292,,,,,16.2097,,
3,K00059,,,0.62,,,,,9.3486,,
4,K00065,,,0.59,,,,,5.1145,,
5,K00067,,,0.5789609978609592,,,,,11.6395,,
6,K00075,,,0.6341521545507635,,,,,10.0205,,
7,K00077,,,0.6142651797837051,,,,,30.1015,,
8,K00099,,,0.5970658228371326,,,,,21.1525,,
9,K00111,,,0.620649873786984,,,,,17.2061,,
10,K00116,,,0.6125463307994237,,,,,16.5666,,
11,K00122,,,0.6139119837539543,,,,,13.2456,,
12,K00124,,,0.612,,,,,9.3587,,
13,K00126,,,0.5710000000000001,,,,,3.5012,,
14,K00127,,,0.553975917325876,,,,,7.9945,,
15,K00134,,,0.675,,,,,7.7918,,
16,K00163,,,0.6537226526147601,,,,,95.0496,,
17,K00175,,,0.6712298074074073,,,,,23.705199999999998,,
18,K00215,,,0.6003131085580528,,,,,10.4714,,
19,K00232,,,0.635,,,,,5.8128,,
20,K00241,,,0.5811376255049227,,,,,13.702100000000002,,
21,K00242,,,0.635,,,,,7.6644,,
22,K00261,,,0.579,,,,,10.6598,,
23,K00273,,,0.684,,,,,4.757,,
24,K00274,,,0.7070000000000002,,,,,8.0227,,
25,K00275,,,0.721,,,,,5.8556,,
26,K00286,,,0.6585532472345379,,,,,17.6826,,
27,K00311,,,0.621,,,,,9.1351,,
28,K00330,,,0.5580752106103272,,,,,15.8519,,
29,K00338,,,0.5848136267027324,,,,,19.4521,,
30,K00389,,,0.631,,,,,5.4013,,
31,K00412,,,0.593,0.292,,,,17.2841,8.8558,
32,K00413,,,0.603,,,,,3.9906,,
33,K00425,,,0.6177192751759089,,,,,31.5815,,
34,K00426,,,0.6671196969910288,,,,,7.2211,,
35,K00428,,,0.563,,,,,6.0443,,
36,K00432,,,0.6268431938252563,,,,,29.631,,
37,K00433,,,0.6049251973111144,0.59,,,,53.3836,4.8466,
38,K00435,,,0.664,,,,,8.5634,,
39,K00448,,,0.579,,,,,7.8773,,
40,K00449,,,0.5920000000000001,,,,,4.0297,,
41,K00451,,,0.6409999999999999,,,,,8.8405,,
42,K00452,,,0.556,,,,,8.8288,,
43,K00453,,,0.5924015999166405,,,,,26.260699999999996,,
44,K00456,,,0.5479999999999999,,,,,10.6725,,
