,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.6579999999999999,,,,,,14.92,,,
1,K00012,,,0.6526283224329047,,,,,,29.769399999999997,,,
2,K00014,,,0.7112190368102181,,,,,,12.6432,,,
3,K00020,,,0.6643931427615658,,,,,,29.288400000000003,,,
4,K00024,,,0.667,,,,,,10.3331,,,
5,K00029,,,0.5915114474913049,,,,,,33.1517,,,
6,K00030,,,0.536,,,,,,6.4258,,,
7,K00031,,,0.6027319922576743,,,,,,53.7924,,,
8,K00033,,,0.6390674270268183,,,,,,119.6457,,,
9,K00036,,,0.6348228979927815,,,,,,76.4106,,,
10,K00038,,,0.6455200265196905,,,,,,29.0997,,,
11,K00042,,,0.7120000000000001,,,,,,5.1438,,,
12,K00045,,,0.643,,,,,,12.6322,,,
13,K00052,,,0.623,,,,,,6.7204,,,
14,K00053,,,0.635676484674919,,,,,,86.4146,,,
15,K00055,,,0.6694826043102667,,,,,,13.748999999999999,,,
16,K00057,,,0.6540586690939004,,,,,,28.955900000000003,,,
17,K00058,,,0.6761756369651236,,,,,,25.0585,,,
18,K00059,,,0.6447677044127111,,,,,,174.42539999999997,,,
19,K00064,,,0.6500000000000001,,,,,,4.342,,,
20,K00067,,,0.6493036017558049,,,,,,33.863,,,
21,K00075,,,0.6752965416403076,,,,,,48.0175,,,
22,K00076,,,0.6776779046110749,,,,,,20.424,,,
23,K00077,,,0.6677363014362242,0.622,,0.7140000000000001,,,113.81770000000002,6.5998,,3.0631
24,K00082,,,0.693,,,,,,9.8868,,,
25,K00088,,,0.65651833832374,,,,,,66.9651,,,
26,K00091,,,0.643060451939199,,,,,,21.692700000000002,,,
27,K00099,,,0.6588873803381616,,,,,,67.699,,,
28,K00108,,,0.6363025695957839,,,,,,15.0989,,,
29,K00111,,,0.6693795726334798,,,,,,114.7663,,,
30,K00113,,,0.5770000000000001,,,,,,3.9765,,,
31,K00116,,,0.6102548052890745,,,,,,74.2683,,,
32,K00122,,,0.6434289162691557,,,,,,54.949200000000005,,,
