,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj Varidnaviria,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts Varidnaviria,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.670416757886667,,,,,,,,48.7591,,,,,
1,K00010,,,0.6159958469200115,,,,,,,,13.8895,,,,,
2,K00012,,,0.6172474129055808,,,,,,,,51.0153,,,,,
3,K00013,,,0.7449999999999999,,,,,,,,5.2562,,,,,
4,K00014,,,0.6578061323383604,,,,,,,,57.2052,,,,,
5,K00015,,,0.6393032903347523,,,,,,,,16.2919,,,,,
6,K00016,,,0.556,,,,,,,,3.6202,,,,,
7,K00019,,,0.621,,,,,,,,8.692,,,,,
8,K00020,,,0.6621130210403814,,,,,,,,79.7453,,,,,
9,K00022,,,0.579,,,,,,,,7.2221,,,,,
10,K00023,,,0.6205363199058244,,,,,,,,35.778099999999995,,,,,
11,K00024,,,0.6469290110838927,,,,,,,,62.316,,,,,
12,K00029,,,0.6274837977281338,,,,,,,,46.592999999999996,,,,,
13,K00030,,,0.567686332452369,,,,,,,,19.886499999999998,,,,,
14,K00031,,,0.6350382402096023,,,,,,,,77.86,,,,,
15,K00033,,,0.6341355308641189,,,,,,,,294.35960000000006,,,,,
16,K00034,,,0.6235852576219968,,,,,,,,17.7021,,,,,
17,K00036,,,0.5794662338280323,,,,,,,,89.8684,,,,,
18,K00038,,,0.664,,,,,,,,5.6018,,,,,
19,K00042,,,0.659,,,,,,,,9.7774,,,,,
20,K00052,,,0.6947156542503213,,,,,,,,33.8613,,,,,
21,K00053,,,0.6460436107449815,,,,,,,,157.135,,,,,
22,K00054,,,0.733,,,,,,,,4.1356,,,,,
23,K00055,,,0.672,,,,,,,,4.5672,,,,,
24,K00057,,,0.6733620479419469,,,,,,,,60.6922,,,,,
25,K00058,,,0.6499175920526896,,,,,,,,109.6011,,,,,
26,K00059,,,0.6376371966256864,,,,,,,,280.4065,,,,,
27,K00060,,,0.633710446296021,,,,,,,,29.643900000000002,,,,,
28,K00064,,,0.6036925345245049,,,,,,,,8.054400000000001,,,,,
29,K00065,,,0.614,,,,,,,,3.6562,,,,,
30,K00066,,,0.5720000000000001,,,,,,,,6.1839,,,,,
31,K00067,,0.583,0.6178491225128915,,,,,,,2.6417,106.46149999999999,,,,,
32,K00074,,,0.6178552636441006,,,,,,,,26.811600000000002,,,,,
33,K00075,,,0.6505500747216011,,,,,,,,140.0616,,,,,
34,K00077,,,0.6537438028127837,,,,,,,,479.5943,,,,,
35,K00088,,,0.6627036965917608,,,,,,,,77.0207,,,,,
36,K00091,,,0.643603975248621,,,,,,,,45.6445,,,,,
37,K00099,,,0.6355305186010934,,,,,,,,184.95010000000002,,,,,
38,K00104,,,0.6937790751495543,,,,,,,,27.3194,,,,,
39,K00108,,,0.6736163106963616,,,,,,,,53.7165,,,,,
40,K00111,,,0.6737146173791537,,,,,,,,166.1362,,,,,
41,K00112,,,0.71,,,,,,,,3.3434,,,,,
42,K00113,,,0.6572954333456565,,,,,,,,19.3856,,,,,
43,K00116,,,0.6304507382301237,,,,,,,,23.4501,,,,,
44,K00121,,,0.644,,,,,,,,21.4269,,,,,
45,K00122,,,0.628,,,,,,,,10.5135,,,,,
46,K00124,,,0.6187776051127194,,,,,,,,123.0505,,,,,
47,K00126,,,0.6779999999999999,,,,,,,,22.3658,,,,,
48,K00127,,,0.5943124585846411,,,,,0.607,,,83.48950000000002,,,,,8.2565
49,K00128,,,0.5988646874901316,,,,,,,,19.9078,,,,,
50,K00130,,,0.68,,,,,,,,19.564,,,,,
51,K00133,,,0.6554262538439903,,,,,,,,90.1332,,,,,
52,K00134,,,0.6356726641928243,,,,,,,,79.44460000000001,,,,,
53,K00135,,,0.7015182720031795,,,,,,,,25.8411,,,,,
54,K00137,,,0.6844184394707795,,,,,,,,26.9456,,,,,
55,K00140,,,0.7120000000000001,,,,,,,,23.1884,,,,,
56,K00145,,,0.657152731278991,,,,,,,,106.3424,,,,,
57,K00146,,,0.5988646874901316,,,,,,,,19.9078,,,,,
58,K00147,,,0.7020655213151883,,,,,,,,29.4755,,,,,
59,K00148,,,0.621,,,,,,,,4.2539,,,,,
60,K00161,,0.55,0.6083023113421179,,,,,,,4.3882,12.518699999999999,,,,,
61,K00162,,,0.637,,,,,,,,6.7297,,,,,
62,K00163,,,0.6269576567361962,,,,,,,,412.5951,,,,,
63,K00164,,,0.6679999999999999,,,,,,,,23.1703,,,,,
64,K00166,,,0.6686353900573272,,,,,,,,28.0042,,,,,
65,K00169,,,0.598,,,,,,,,13.9767,,,,,
66,K00174,,,0.6360346628377089,,,,,,,,99.2468,,,,,
67,K00175,,,0.5993775259288529,,,,,,,,75.0907,,,,,
68,K00177,,,0.606,,,,,,,,4.043,,,,,
69,K00179,,,0.665,,,,,,,,8.4008,,,,,
70,K00180,,,0.6917385917399886,,,,,,,,15.0091,,,,,
71,K00200,,,0.6447658810058624,,,,,,,,22.3575,,,,,
72,K00201,,,0.693,,,,,,,,2.4774,,,,,
73,K00202,,,0.655918731159412,,,,,,,,7.0659,,,,,
74,K00208,,,0.6262982524197835,,,,,,,,55.6186,,,,,
75,K00209,,,0.6053716383405774,,,,,,,,16.2685,,,,,
76,K00215,,,0.6902041833930119,,,,,,,,71.70930000000001,,,,,
77,K00217,,,0.6231829522775664,,,,,,,,11.0579,,,,,
78,K00227,,,0.5540563241168491,,,,,,,,10.6161,,,,,
79,K00228,,,0.6593955121284483,,,,,,,,43.0432,,,,,
80,K00230,,,0.6523836561324005,,,,,,,,4.6408000000000005,,,,,
81,K00231,,,0.6496469558872082,,,,,,,,68.7824,,,,,
82,K00240,,,0.6246899784113973,,,,,,,,220.79370000000003,,,,,
83,K00241,,,0.6118353768711323,,,,,,,,119.16340000000002,,,,,
84,K00242,,,0.637008666625746,,,,,,,,57.29169999999999,,,,,
