,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj Varidnaviria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts Varidnaviria,gene_countsUnclassified
0,K00014,,,0.674,,,,,,2.783,,,
1,K00016,,,0.585,,,,,,3.254,,,
2,K00024,,,0.71,,,,,,12.3052,,,
3,K00031,,,0.42100000000000004,,,,,,4.8815,,,
4,K00033,,,0.6440342560785624,,,,,,27.5423,,,
5,K00036,,,0.6092593119337818,,,,,,9.7162,,,
6,K00053,,,0.6595617899320899,,,,,,94.75319999999999,,,
7,K00057,,,0.7087369998864027,,,,,,9.5581,,,
8,K00059,,,0.6682269661994487,,,,,,9.6157,,,
9,K00067,,,0.6417896095778589,,,,,,26.644200000000005,,,
10,K00075,,,0.6677018914336658,,,,,,40.7803,,,
11,K00077,,,0.6434188842113635,,,,,,98.35069999999997,,,
12,K00088,,0.39699999999999996,,,,,,2.1671,,,,
13,K00091,,,0.703,,,,,,2.6826,,,
14,K00099,,,0.6475189502424088,,,,,,23.6394,,,
15,K00111,,,0.6633361192226962,,,,,,66.4345,,,
16,K00122,,,0.5952493031239385,,,,,,25.507199999999997,,,
17,K00124,,,0.6383558044390124,,,,,,12.023,,,
18,K00126,,,0.519,,,,,,4.2322,,,
19,K00127,,,0.594,,,,,,6.2044,,,
20,K00133,,,0.5953568338025291,,,,,,12.3025,,,
21,K00134,,,0.542,,,,,,4.0476,,,
22,K00145,,,0.6176835627167024,,,,,,19.950499999999998,,,
23,K00163,,,0.6543300692532626,,,,,,299.5956,,,
24,K00175,,,0.6658685380206203,,,,,,26.588900000000002,,,
25,K00176,,,0.477,,,,,,3.1002,,,
26,K00180,,,0.6729999999999999,,,,,,6.1324,,,
27,K00200,,,0.584,,,,,,3.966,,,
28,K00202,,,0.6509999999999999,,,,,,2.3815,,,
29,K00208,,,0.625671900129346,,,,,,29.9547,,,
30,K00215,,,0.6959349248417581,,,,,,15.296999999999999,,,
31,K00228,,,0.6099989292572751,,,,,,45.180899999999994,,,
32,K00231,,,0.7110900025048666,,,,,,6.9277,,,
33,K00232,,,0.706,,,,,,5.3471,,,
34,K00240,,,0.6287286127905455,,,,,,101.1401,,,
35,K00241,,,0.6085784423976821,,,,,,7.8161000000000005,,,
36,K00242,,,0.6021826134351608,,,,,,15.5605,,,
37,K00247,,,0.614,,,,,,2.8652,,,
38,K00249,,,0.555,,,,,,4.4614,,,
39,K00254,,,0.6618176902799031,,,,,,22.8354,,,
40,K00275,,,0.6421697263038115,,,,,,21.133499999999998,,,
41,K00286,,,0.6748997597641084,,,,,,31.2006,,,
42,K00287,,,0.6189236312117946,,,0.705,,,17.3188,,,1.7881
43,K00297,,,0.670347516907063,,,,,,35.917500000000004,,,
44,K00299,,,0.7150953014115253,,,,,,8.9231,,,
45,K00304,,,0.631,,,,,,3.1675,,,
46,K00311,,,0.6186570886367577,,,,,,17.2957,,,
47,K00330,,,0.5851881110956169,,,,,,48.9877,,,
48,K00331,,,0.6657694713184698,,,,,,19.6935,,,
49,K00334,,,0.5883399892597632,,,,,,37.34380000000001,,,
50,K00338,,,0.6745279254913162,,,,,,41.627900000000004,,,
51,K00339,,,0.603889307054463,,,,,,25.9476,,,
52,K00340,,,0.6035646396824214,,,,,,60.7339,,,
