,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj Monodnaviria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts Monodnaviria,gene_countsUnclassified
0,K00003,,0.546,0.6582155049807343,,,,,12.7382,35.0274,,,
1,K00009,,,0.7131043465825586,,,,,,72.4623,,,
2,K00010,,,0.7104257703681637,,,,,,15.2482,,,
3,K00012,,,0.6205348143019639,,,,,,26.1199,,,
4,K00013,,,0.8009999999999999,,,,,,15.4899,,,
5,K00014,,0.539,0.7364858626729984,,,,,13.6457,14.136600000000001,,,
6,K00015,,0.535,,,,,,11.1783,,,,
7,K00016,,,0.736,,,,,,11.5149,,,
8,K00020,,,0.671864167746848,,,,,,51.257600000000004,,,
9,K00021,,,0.6761389163405042,,,,,,18.4366,,,
10,K00023,,,0.643,,,,,,10.1541,,,
11,K00024,,0.524,0.6759999999999999,,,,,12.9907,6.5338,,,
12,K00029,,0.45100000000000007,,,,,,8.7938,,,,
13,K00033,,0.49682612142385696,0.7135908262624425,,,,,17.0636,299.0642,,,
14,K00034,,0.4320000000000001,,,,,,13.0768,,,,
15,K00036,,,0.6793516817719992,,,,,,77.9428,,,
16,K00038,,,0.705,,,,,,10.1914,,,
17,K00042,,,0.6,,,,,,11.8766,,,
18,K00053,,0.5341799781017774,0.6838815838294338,,,,,17.5223,138.6922,,,
19,K00054,,0.525,,,,,,13.5402,,,,
20,K00057,,,0.719173581145303,,,,,,28.5425,,,
21,K00058,,0.5479999999999999,0.7239728239615874,,,,,12.145,53.5088,,,
22,K00059,,0.48319604470465743,0.6553710460081844,,,,,24.461,85.98549999999999,,,
23,K00064,,,0.7278310813963997,,,,,,18.8567,,,
24,K00067,,,0.7194252897554886,,,,,,150.2812,,,
25,K00073,,0.772,,,,,,6.4001,,,,
26,K00075,,,0.725057946842283,,,,,,155.8423,,,
27,K00077,,,0.6946282289268142,,,0.6825800530250525,,,326.0237999999999,,,15.3362
28,K00078,,,0.71,,,,,,6.1271,,,
29,K00088,,0.5770000000000001,0.6371931742789381,,,,,12.5302,35.9347,,,
30,K00091,,,0.7050765559429337,,,,,,47.275800000000004,,,
31,K00096,,0.568,0.7611008681828585,,,,,12.2432,28.1906,,,
32,K00099,,,0.6883154628428866,,,,,,141.92770000000002,,,
33,K00108,,,0.660444678070381,,,,,,45.243700000000004,,,
34,K00111,,,0.7239311190208467,,,,,,158.3768,,,
35,K00112,,,0.7563578711234493,,,0.7760591140998134,,,46.396300000000004,,,43.0809
36,K00113,,,0.6933192097365147,,,,,,37.463300000000004,,,
37,K00122,,0.411,0.6705254698505134,,,,,4.5978,58.748599999999996,,,
38,K00124,,,0.7018129667301478,,,,,,83.5955,,,
39,K00127,,,0.6778710313573167,,,0.62,,,25.107100000000003,,,2.2575
40,K00133,,0.531,0.6772961527038065,,,,,11.1034,71.044,,,
41,K00134,,,0.673797036305291,,,,,,66.1583,,,
42,K00135,,0.537,0.737,,,,,12.145,15.7713,,,
43,K00140,,,0.7047899954982991,,,,,,35.3998,,,
44,K00145,,0.5169430081720847,0.7207031925306449,,,,,17.0632,83.3667,,,
45,K00148,,,0.691,,,,,,6.618,,,
46,K00153,,,0.721,,,,,,6.6891,,,
47,K00156,,0.438,0.461,,,,,11.6871,6.5652,,,
48,K00161,,,0.6785638828356676,,,,,,27.280900000000003,,,
49,K00162,,,0.693,,,,,,4.7913,,,
50,K00163,,,0.6884754616310436,,,,,,533.8242,,,
51,K00169,,,0.631,,,,,,10.7239,,,
52,K00174,,0.526,0.6624903051077836,,,,,13.2784,60.665699999999994,,,
53,K00175,,0.55,0.6549050717727511,,,,,13.2784,170.04,,,
54,K00196,,,0.583,,,,,,7.187,,,
55,K00200,,,0.71654737817179,,,,,,28.499200000000002,,,
56,K00201,,,0.7609999999999999,,,,,,13.2567,,,
57,K00202,,,0.757,,,0.7525834386219691,,,10.5479,,,23.5446
58,K00208,,,0.6556002608465137,,,,,,9.44,,,
59,K00215,,,0.7018073746257423,,,,,,141.0502,,,
60,K00217,,,0.7780000000000001,,,,,,15.037,,,
61,K00220,,,0.7070000000000001,,,,,,8.8709,,,
62,K00221,,,0.706930944465163,,,0.7009999999999998,,,53.5899,,,3.4494
63,K00228,,,0.6708381967910707,,,,,,11.0201,,,
64,K00230,,,0.745,,,,,,9.8068,,,
