,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00031,,,0.639,,,,,21.7016,,
1,K00033,,,0.615,,,,,17.0344,,
2,K00053,,,0.55,,,,,7.9373,,
3,K00077,,,0.6221533290994131,,,,,11.4631,,
4,K00111,,,0.7120000000000001,,,,,3.6824,,
5,K00122,,,0.647,,,,,14.7435,,
6,K00163,,,0.6316985819021794,,,,,26.668799999999997,,
7,K00228,,,0.6970000000000001,,,,,9.1169,,
8,K00240,,,0.654,,,,,20.3704,,
9,K00275,,,0.569,,,,,2.53,,
10,K00326,,,0.561,,,,,4.3784,,
11,K00330,,,0.5226789674572992,,,,,10.6295,,
12,K00331,,,0.5489999999999999,,,,,15.3221,,
13,K00338,,,0.660630035306585,,,,,17.2497,,
14,K00425,,,0.5845001885683764,,,,,15.741900000000001,,
15,K00426,,,0.6014421807527606,,,,,14.4897,,
16,K00432,,,0.5710000000000001,,,,,5.061,,
17,K00433,,,0.6566306762458545,,,,,62.402899999999995,,
18,K00457,,,0.6450129832950727,,,,,32.1923,,
19,K00507,,,0.512,,,,,6.4751,,
20,K00540,,,0.6564889325643145,,,,,6.668699999999999,,
21,K00549,,,0.6604957898565752,,,,,29.759700000000002,,
22,K00554,,,0.6262248714700842,,,,,8.6862,,
23,K00570,,,0.618,,,,,6.7277,,
24,K00588,,,0.5820000000000001,,,,,2.7477,,
25,K00598,,,0.657,,,,,2.871,,
26,K00600,,,0.645,,,,,5.4118,,
27,K00606,,,0.616,,,,,4.8114,,
28,K00613,,,0.546,,,,,13.5724,,
29,K00626,,,0.6,,,,,5.9598,,
30,K00635,,,0.701,,,,,5.0099,,
31,K00657,,,0.512,,,,,3.6733,,
32,K00674,,,0.691,,,,,9.6367,,
33,K00688,,,0.6579097891128177,,,,,13.9849,,
34,K00728,,,0.718,,,,,4.8514,,
35,K00760,,,0.625,,,,,13.3224,,
36,K00763,,,0.607,,,,,3.5504,,
37,K00764,,,0.655,,,,,16.2805,,
38,K00766,,,0.612,,,,,5.1686,,
39,K00784,,,0.5760000000000001,,,,,3.819,,
40,K00789,,,0.5654806398539138,,,,,8.7216,,
41,K00790,,,0.659,,,,,10.1831,,
42,K00791,,,0.5479999999999999,,,,,3.4949,,
43,K00794,,,0.708,,,,,5.2288,,
44,K00797,,,0.644,,,,,6.3563,,
45,K00798,,,0.6750000000000002,,,,,3.539,,
46,K00799,,,0.5725079467436748,,,,,14.566500000000001,,
47,K00800,,,0.556,,,,,3.3778,,
48,K00820,,,0.5529999999999999,,,,,4.049,,
49,K00826,,,0.657,,,,,10.6984,,
50,K00858,,,0.7559999999999999,,,,,4.6104,,
51,K00878,,,0.716,,,,,3.648,,
52,K00925,,,0.5892915620043443,,,,,7.9359,,
53,K00937,,,0.6382569338150326,,,,,19.4938,,
54,K00940,,,0.522,,,,,3.5621,,
55,K00942,,,0.508,,,,,4.2453,,
56,K00945,,,0.588,,,,,4.8403,,
57,K00948,,,0.71,,,,,2.9856,,
58,K00954,,,0.4650000000000001,,,,,5.9692,,
59,K00975,,,0.562,,,,,6.8063,,
60,K00986,,,0.5970413798211055,,,,,467.74620000000004,,
61,K00990,,,0.6559999999999999,,,,,13.614,,
62,K01012,,,0.688,,,,,3.4526,,
63,K01039,,,0.578,,,,,4.4415,,
64,K01040,,,0.675,,,,,5.1622,,
65,K01046,,,0.718,,,,,3.3754,,
66,K01057,,,0.6240000000000001,,,,,6.5485,,
67,K01061,,,0.608428393844984,,,,,7.1108,,
68,K01113,,,0.651914301721723,,,,,11.1803,,
69,K01251,,,0.6858224004143606,,,,,17.769199999999998,,
70,K01259,,,0.6829999999999999,,,,,4.9366,,
71,K01273,,,0.5920000000000001,,,,,6.7342,,
72,K01358,,,0.537,,,,,8.1748,,
73,K01409,,,0.6401699898614397,,,,,8.1446,,
74,K01419,,,0.6440662124805326,,,,,16.9722,,
75,K01424,,,0.603,,,,,4.0528,,
76,K01425,,,0.715,,,,,4.2423,,
77,K01429,,,0.616,,,,,14.526,,
78,K01432,,,0.579,,,,,2.3853,,
79,K01433,,,0.62,,,,,12.8827,,
80,K01447,,,0.542,,,,,4.1656,,
81,K01448,,,0.5424977208746745,,,,,7.958600000000001,,
82,K01478,,,0.679,,,,,6.2302,,
83,K01493,,,0.493,,,,,4.2695,,
84,K01495,,,0.6712960502766154,,,,,6.7035,,
85,K01497,,,0.603,,,,,15.1882,,
86,K01507,,,0.552,,,,,2.8986,,
87,K01512,,,0.735,,,,,2.6223,,
88,K01546,,,0.614,,,,,17.8716,,
89,K01548,,,0.5911727152192002,,,,,7.5097000000000005,,
90,K01551,,,0.5489999999999999,,,,,3.1244,,
91,K01569,,,0.6177860672049775,,,,,11.4648,,
92,K01588,,,0.6829999999999999,,,,,10.1697,,
93,K01607,,,0.6649460815357472,,,,,14.769200000000001,,
94,K01621,,,0.6241418705329287,,,,,35.909,,
95,K01623,,,0.534,,,,,6.3678,,
96,K01626,,,0.57,,,,,4.9536,,
97,K01638,,,0.6509999999999999,,,,,7.9635,,
98,K01673,,,0.5539999999999999,,,,,3.0614,,
99,K01674,,,0.503,,,,,1.7827,,
100,K01689,,,0.5739352193021905,,,,,14.7101,,
101,K01695,,,0.609,,,,,2.1798,,
102,K01698,,,0.6312386115503975,,,,,11.279599999999999,,
103,K01724,,,0.5870000000000001,,,,,8.371,,
104,K01752,,,0.614,,,,,4.5971,,
105,K01755,,,0.6759999999999999,,,,,16.1419,,
106,K01759,,,0.64,,,,,5.802,,
107,K01778,,,0.6146864546534997,,,,,12.0688,,
108,K01799,,,,,0.622,,,,,2.3071
109,K01821,,,0.6166011778345706,,,,,8.0939,,
110,K01834,,,0.741,,,,,6.7018,,
111,K01849,,,0.6729999999999999,,,,,14.6602,,
112,K01868,,,0.6445721554591616,,,,,38.181,,
113,K01872,,,0.5682027798836207,,,,,19.650100000000002,,
114,K01875,,,0.665,,,,,6.7822,,
115,K01881,,,0.622,,,,,23.973,,
116,K01889,,,0.6896202435690684,,,,,8.476700000000001,,
117,K01912,,,0.6726716098264134,,,,,11.818,,
118,K01915,,,0.6512003196580036,,,,,24.8996,,
119,K01919,,,0.642,,,,,17.2741,,
120,K01920,,,0.515,,,,,5.0315,,
121,K01933,,,0.695,,,,,6.0651,,
122,K01937,,,0.578,,,,,10.4962,,
123,K01939,,,0.6709999999999999,,,,,8.772,,
124,K01940,,,0.644,,,,,28.0097,,
125,K01972,,,0.6544184348298636,,,,,17.2293,,
126,K01997,,,0.57,,,,,4.531,,
127,K02004,,,0.5733613170051353,,,,,40.8894,,
128,K02030,,,0.664,,,,,3.3841,,
129,K02034,,,0.6579999999999999,,,,,3.5498,,
130,K02050,,,0.6294141567311381,,,,,12.120899999999999,,
131,K02051,,,0.5511419099256802,,,,,8.6135,,
132,K02078,,,0.5533678858586244,,,,,33.2564,,
133,K02110,,,0.585,,,,,4.2695,,
134,K02113,,,0.61,,,,,6.3134,,
135,K02114,,,0.556,,,,,5.0265,,
136,K02199,,,0.595,,,,,6.4457,,
137,K02204,,,0.648,,,,,8.9353,,
138,K02221,,,0.667,,,,,3.5023,,
139,K02231,,,0.578,,,,,4.2868,,
140,K02257,,,0.6723113532352526,,,,,17.8265,,
141,K02279,,,0.7809999999999999,,,,,1.4217,,
142,K02313,,,0.5095473147142641,,,,,9.2697,,
143,K02316,,,0.586860904904537,,,,,7.4573,,
144,K02338,,,0.48042466554035435,,,,,15.9002,,
145,K02339,,,0.628,,,,,5.2555,,
146,K02342,,,0.696,,,,,3.345,,
147,K02379,,,0.5935023204934208,,,,,5.902699999999999,,
148,K02388,,,0.623,,,,,5.8861,,
149,K02396,,,0.575,,,,,2.3079,,
150,K02416,,,0.583,,,,,16.4815,,
151,K02428,,,0.516,,,,,2.2976,,
152,K02431,,,0.55,,,,,3.879,,
153,K02437,,,0.5807524054207485,,,,,7.8751999999999995,,
154,K02456,,,0.632,,,,,3.0193,,
155,K02492,,,0.6463669683750838,,,,,10.4631,,
156,K02510,,,0.6609999999999999,,,,,5.5203,,
157,K02518,,,0.533595217914615,,,,,11.950099999999999,,
158,K02520,,,0.6371864690727286,,,,,11.3598,,
159,K02601,,,0.5840363196091553,,,,,8.245099999999999,,
160,K02825,,,0.551,,,,,4.8261,,
161,K02834,,,0.7020000000000001,,,,,3.2606,,
162,K02838,,,0.6148671564567721,,,,,10.2029,,
163,K02860,,,0.531,,,,,3.509,,
164,K02864,,,0.605,,,,,11.4987,,
165,K02871,,,0.659,,,,,15.4346,,
166,K02879,,,0.5940218229700406,,,,,21.449,,
167,K02884,,,0.528,,,,,6.3784,,
168,K02887,,,0.6609999999999999,,,,,4.8534,,
169,K02892,,,0.505,,,,,6.4337,,
170,K02899,,,0.5579999999999999,,,,,5.13,,
171,K02909,,,0.47100000000000003,,,,,3.677,,
172,K02926,,,0.5579999999999999,,,,,4.4735,,
173,K02931,,,0.546,,,,,4.0331,,
174,K02945,,,0.667,,,,,28.1277,,
175,K02946,,,0.6378794813158052,,,,,32.0113,,
176,K02952,,,0.63,,,,,23.6448,,
177,K02954,,,0.657,,,,,5.8456,,
178,K02967,,,0.6326976193051637,,,,,22.398,,
179,K02970,,,0.5759446675869241,,,,,17.6352,,
180,K02986,,,0.655,,,,,19.5633,,
181,K02990,,,0.516,,,,,3.3073,,
182,K03040,,,0.6704017972272457,,,,,23.8232,,
183,K03073,,,0.5859212370137714,,,,,6.560499999999999,,
184,K03075,,,0.7170000000000001,,,,,2.767,,
185,K03088,,,0.6228064566922171,,,,,44.27669999999999,,
186,K03089,,,0.633,,,,,29.994,,
187,K03092,,,0.6449999999999999,,,,,6.8261,,
188,K03100,,,0.579098274912116,,,,,6.0846,,
189,K03116,,,0.5209177889230355,,,,,11.181799999999999,,
190,K03117,,,0.569,,,,,4.0323,,
191,K03118,,,0.6141979508977943,,,,,7.9972,,
192,K03149,,,0.644,,,,,4.5625,,
193,K03210,,,0.5750855639983978,,,,,10.7524,,
194,K03271,,,0.594,,,,,6.25,,
195,K03299,,,0.69,,,,,3.5042,,
196,K03301,,,0.505,,,,,5.4802,,
197,K03395,,,0.657,,,,,3.182,,
198,K03413,,,0.597,,,,,11.3996,,
199,K03438,,,0.7,,,,,3.3803,,
200,K03466,,,0.6177782104401313,,,,,14.2359,,
201,K03478,,,0.684,,,,,3.1274,,
202,K03498,,,0.575,,,,,3.3566,,
203,K03518,,,0.595209774506776,,,,,7.2938,,
204,K03521,,,0.562,,,,,3.8435,,
205,K03525,,,0.557,,,,,3.9021,,
206,K03526,,,0.5979455078986179,,,,,9.7297,,
207,K03527,,,0.666386567167051,,,,,17.8157,,
208,K03531,,,0.721,,,,,4.5233,,
209,K03544,,,0.6390463546422995,,,,,74.0102,,
210,K03545,,,0.6767336688489602,,,,,9.0221,,
211,K03551,,,0.5876118006160683,,,,,8.5822,,
212,K03553,,,0.6385868457457398,,,,,109.12809999999999,,
213,K03556,,,0.6890000000000001,,,,,11.0973,,
214,K03559,,,0.633,,,,,2.4807,,
215,K03561,,,0.587504781947835,,,,,25.6331,,
216,K03565,,,0.6940000000000001,,0.503,,,6.2903,,3.9542
217,K03569,,,0.6904206034234951,,,,,47.9958,,
218,K03574,,,0.69,,,,,4.2801,,
219,K03575,,,0.524,,,,,3.3436,,
220,K03584,,,0.483,,,,,4.6835,,
221,K03589,,,0.545,,,,,3.0136,,
222,K03593,,,0.6529988333151517,,,,,21.475299999999997,,
223,K03594,,,0.5731569964557871,,,,,25.770699999999998,,
224,K03601,,,0.7339779242304535,,,,,7.1932,,
225,K03608,,,0.5589999999999999,,,,,2.6108,,
226,K03628,,,0.44,,,,,2.5466,,
227,K03630,,,0.537,,,,,5.8949,,
228,K03634,,,0.648,,,,,3.4463,,
229,K03635,,,0.6127061821275841,,,,,6.76,,
230,K03637,,,0.659,,,,,2.482,,
231,K03638,,,0.655,,,,,15.2476,,
232,K03639,,,0.561,,,,,3.9308,,
233,K03641,,,0.5770000000000001,,,,,4.3788,,
234,K03644,,,0.6030996668374703,,,,,6.450699999999999,,
235,K03651,,,0.6014278646682835,,,,,9.8108,,
236,K03664,,,0.6459999999999999,,,,,7.8988,,
237,K03665,,,0.6658804629786592,,,,,24.085900000000002,,
238,K03671,,,0.5637564349353562,,,,,8.0173,,
239,K03687,,,0.5208708939371841,,,,,5.3662,,
240,K03704,,,0.5900951083333358,,,,,12.4317,,
241,K03744,,,0.6297360219350776,,,,,10.0058,,
242,K03746,,,0.5720000000000001,,,,,2.113,,
243,K03781,,,0.551,,,,,7.1937,,
244,K03786,,,0.5539999999999999,,,,,4.2098,,
245,K03797,,,0.612,,,,,19.4856,,
