,KEGG,GC_adj ,GC_adj Bacteria,GC_adjUnclassified,gene_counts ,gene_counts Bacteria,gene_countsUnclassified
0,K00033,,0.403,,,1.8966,
1,K00124,,0.6890000000000001,,,8.8312,
2,K00163,,0.5752717272129857,,,9.334,
3,K00331,,0.66,,,17.9816,
4,K00425,,0.5920000000000001,,,2.5131,
5,K00448,,0.767,,,3.7595,
6,K00450,,0.652,,,3.4695,
7,K00626,,0.708,,,13.132,
8,K00641,,0.72,,,7.3969,
9,K00657,,0.66,,,3.0532,
10,K00762,,0.53,,,2.6598,
11,K00769,,0.67,,,3.1387,
12,K00783,,,0.6759999999999999,,,2.826
13,K00789,,0.649,,,18.7003,
14,K00790,,0.7,,,4.1922,
15,K00820,,0.59,,,3.7281,
16,K00986,,0.5875449489475273,,,297.9417,
17,K01259,,0.627,,,20.6022,
18,K01273,,0.517,,,2.7655,
19,K01507,,0.627,,,5.8036,
20,K01547,,0.6579999999999999,,,35.9748,
21,K01610,,0.584,,,3.3762,
22,K01621,,0.6038884491687432,,,46.283,
23,K01673,,0.583986893737782,,,4.0802,
24,K01689,,0.679,,,13.0545,
25,K01698,,0.632,,,10.5852,
26,K01737,,0.659,,,4.4623,
27,K01752,,0.684,,,3.506,
28,K01755,,0.706,,,11.8832,
29,K01810,,0.624,,,8.8465,
30,K01858,,0.618,,,22.5433,
31,K01874,,0.624,,,4.9658,
32,K01902,,0.655,,,13.2826,
33,K01915,,0.6635057436408115,,,10.8569,
34,K01919,,0.66,,,2.781,
35,K01939,,0.669,,,4.0398,
36,K01951,,0.6627768981811035,,,8.1939,
37,K01972,,0.6824296802631653,,,11.6279,
38,K02004,0.633,0.6020879801576685,,3.9415,4.3531,
39,K02039,,0.61,,,4.0291,
40,K02109,,0.649,,,4.0686,
41,K02160,,0.591,,,8.1598,
42,K02221,,0.575,,,4.8,
43,K02314,,0.6328832543953183,,,9.5971,
44,K02338,,0.47,,,3.3361,
45,K02389,,0.635,,,3.0475,
46,K02410,,0.622,,,9.88,
47,K02864,,0.6559999999999999,,,2.3932,
48,K02876,,0.6890000000000001,,,2.1225,
49,K02881,,0.642,,,7.4672,
50,K02886,,0.662,,,3.8972,
51,K02931,,0.6089534467671756,,,7.4863,
52,K02935,,0.627,,,2.3932,
53,K02945,0.6809999999999999,0.6559999999999999,,11.5131,8.8654,
54,K02946,,0.6418362228550893,,,17.111800000000002,
55,K02954,,0.575,,,2.9463,
56,K02961,,0.6779999999999999,,,2.1411,
57,K02967,,0.66,,,6.4788,
58,K02986,,0.652,,,2.4649,
59,K02988,,0.6970000000000001,,,6.6542,
60,K03040,,0.6412981251051167,,,23.5854,
61,K03088,,0.5629048219843341,,,9.0131,
62,K03100,,0.598,,,2.2622,
63,K03118,,0.552,,,2.0474,
64,K03147,,0.6357308194815071,,,40.9341,
65,K03406,,0.672023774680927,,,12.644400000000001,
66,K03418,,0.674,,,3.4531,
67,K03466,,0.516,,,2.0125,
68,K03497,,0.622,,,2.1282,
69,K03522,,0.6920000000000001,,,3.8841,
70,K03527,,0.652,,,2.6093,
71,K03545,,0.638,,,2.9561,
72,K03553,,0.6829999999999999,,,13.0496,
73,K03556,,0.7200135133409613,,,29.0333,
74,K03569,,0.5539999999999999,,,8.5213,
75,K03621,,0.609,,,3.0759,
76,K03628,,0.5760000000000001,,,9.439,
77,K03704,,0.672,,,2.9225,
78,K03705,,0.6629999999999999,,,3.0835,
79,K03781,,0.606,,,5.6047,
80,K03797,,0.659,,,2.5168,
81,K03799,,0.5670000000000001,,,4.9353,
82,K03821,,0.5379999999999999,,,6.74,
83,K03885,,0.634,,,5.2831,
84,K03969,,0.633,,,2.366,
85,K03979,,0.65,,,3.6401,
86,K04075,,0.654,,,2.3296,
87,K04077,,0.6351163525623557,,,249.3711,
88,K04564,,0.626,,,3.7002,
89,K04760,,0.65,,,12.3531,
90,K04763,,0.5988315776763492,,,43.384899999999995,
91,K05337,,0.557,,,5.0736,
92,K05522,,0.736,,,2.9374,
