,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_countsUnclassified
0,K00003,,,0.646683958273942,,,,,,20.1221,,,
1,K00010,,,0.614,,,,,,12.8057,,,
2,K00012,,,0.5982072032265121,,,,,,59.3746,,,
3,K00014,,,0.6459634134614017,,,,,,18.2644,,,
4,K00015,,,0.619,,,,,,10.7986,,,
5,K00019,,,0.5479999999999999,,,,,,5.6721,,,
6,K00020,,,0.6129818597772512,,,,,,33.935,,,
7,K00024,,,0.585,,,,,,9.0027,,,
8,K00029,,,0.6051667807175436,,,,,,68.2505,,,
9,K00030,,,0.5365739408358308,,,,,,18.0983,,,
10,K00031,,,0.6187210053556118,,,,,,101.36489999999999,,,
11,K00033,,,0.6299659498611074,,,,,,256.35859999999997,,,
12,K00036,,,0.5805378480448662,,,,,,59.098299999999995,,,
13,K00038,,,0.6683016270997211,,,,,,46.21,,,
14,K00042,,,0.6679999999999999,,,,,,9.9141,,,
15,K00045,,,0.65,,,,,,13.6295,,,
16,K00052,,,0.5958616428134974,,,,,,28.073,,,
17,K00053,,,0.6241454102785267,,,,,,128.8385,,,
18,K00055,,,0.6609999999999999,,,,,,16.9376,,,
19,K00057,,,0.663413068702245,,,,,,51.0072,,,
20,K00058,,,0.6333990368323041,,,,,,32.9401,,,
21,K00059,,,0.6366240514878408,,,,,,263.4143,,,
22,K00060,,,0.602523958883124,,,,,,41.4591,,,
23,K00064,,,0.6309999999999999,,,,,,6.3087,,,
24,K00067,,0.6,0.6472277711517753,,,,,2.5222,63.9855,,,
25,K00075,,,0.6492737861415546,,,,,,109.13600000000001,,,
26,K00076,,,0.687,,,,,,9.1832,,,
27,K00077,,,0.6351024623427832,,,,,,287.2987,,,
28,K00088,,,0.6571980675098404,,,,,,44.9322,,,
29,K00091,,,0.638981907522308,,,,,,53.49000000000001,,,
30,K00099,,,0.6299717057565927,,,,,,140.2323,,,
31,K00101,,,0.67,,,,,,13.2775,,,
32,K00108,,,0.6246156466364475,,,,,,28.7287,,,
33,K00111,,,0.6408960866386983,,,,,,148.13080000000002,,,
34,K00113,,,0.63,,,,,,7.1049,,,
35,K00116,,,0.6268095530641979,,,,,,65.2278,,,
36,K00118,,,0.593,,,,,,4.1589,,,
37,K00120,,,0.654,,,,,,3.8813,,,
38,K00122,,,0.654100950088476,,,,,,56.017399999999995,,,
39,K00124,,,0.5851028152328012,,,,,,91.3699,,,
40,K00126,,,0.6585469949552712,,,,,,18.247,,,
41,K00127,,,0.5677998134510042,,,,,,56.44200000000001,,,
42,K00128,,,0.575,,,,,,11.9484,,,
43,K00130,,,0.575,,,,,,11.9484,,,
44,K00133,,,0.6108872075150615,,,,,,53.744699999999995,,,
