,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.7090000000000001,,,,,,,8.7676,,,,
1,K00010,,,0.662,,,,,,,5.2778,,,,
2,K00012,,,0.5938449356425008,,,,,,,31.334400000000002,,,,
3,K00014,,,0.6615556745341118,,,,,,,20.7652,,,,
4,K00021,,,0.6609999999999999,,,,,,,4.636,,,,
5,K00024,,,0.6729999999999999,,,,,,,7.9557,,,,
6,K00029,,,0.669,,,,,,,2.6556,,,,
7,K00031,,,0.6210450892994035,,,,,,,103.40610000000001,,,,
8,K00033,,,0.6199381743871475,,0.6191944388989886,,,,,202.1615,,8.868400000000001,,
9,K00036,,,0.6314640772445704,,,,,,,59.1526,,,,
10,K00039,,,0.599,,,,,,,10.9985,,,,
11,K00052,,,0.586,,,,,,,3.9106,,,,
12,K00053,,,0.636139489396005,,,,,,,126.5721,,,,
13,K00057,,,0.636,,,,,,,3.0962,,,,
14,K00058,,0.687,0.6830936593213948,,,,,,6.482,23.1472,,,,
15,K00059,,,0.6302683743224604,,,,,,,89.0969,,,,
16,K00060,,,0.5770284122888433,,,,,,,12.4329,,,,
17,K00067,,,0.6385907965933802,,,,0.698,,,38.054199999999994,,,,2.3498
18,K00075,,,0.619923257129313,,,,,,,77.1694,,,,
19,K00076,,,0.7140000000000001,,,,,,,6.2123,,,,
20,K00077,,0.7070000000000001,0.6351812164024981,,,,0.356,,5.0518,167.49169999999998,,,,3.1429
21,K00088,,,0.6368587154463533,,,,,,,41.1982,,,,
22,K00091,,,0.7390000000000001,,,,,,,6.1851,,,,
23,K00099,,,0.6308918005000792,,,,,,,61.7087,,,,
24,K00102,,,0.648,,,,,,,4.3199,,,,
25,K00108,,,0.609,,,,,,,9.6373,,,,
26,K00111,,,0.6802132492442193,,,,,,,98.21940000000001,,,,
27,K00113,,,0.6473280890878325,,,,,,,10.2873,,,,
28,K00116,,,0.5949532523406683,,,,,,,27.8949,,,,
29,K00122,,,0.6294889572854817,,,,,,,31.3474,,,,
30,K00124,,,0.6179136009690388,,,,,,,81.82690000000001,,,,
31,K00126,,,0.6113805190546087,,,,0.626,,,8.0556,,,,3.4808
32,K00127,,,0.6119140605422376,,,,,,,30.5343,,,,
33,K00133,,0.6779999999999999,0.6239095936663898,,,,,,9.3561,26.4021,,,,
34,K00134,,,0.6091066181794391,,,,,,,28.103900000000003,,,,
35,K00140,,,0.6697889767186098,,,,,,,10.861,,,,
36,K00145,,,0.6302893119054592,,,,,,,46.61899999999999,,,,
37,K00161,,,0.6395377118359022,,,,,,,30.5081,,,,
38,K00162,,,0.639,,,,,,,4.714,,,,
39,K00163,,,0.6410414207713047,,,,,,,452.28109999999987,,,,
