,KEGG,GC_adj Bacteria,GC_adjUnclassified,gene_counts Bacteria,gene_countsUnclassified
0,K00033,0.7090000000000001,,6.6838,
1,K00111,0.6709999999999999,,2.9077,
2,K00163,0.650919643069644,,54.025000000000006,
3,K00175,0.679,,23.1546,
4,K00240,0.6779999999999999,,3.4036,
5,K00390,0.6840000000000002,,4.2625,
6,K00425,0.6609999999999998,,6.7103,
7,K00426,0.688,,5.9309,
8,K00432,0.63,,2.6998,
9,K00450,0.754,,2.3494,
10,K00451,0.6692443023652863,,17.5554,
11,K00548,0.669,,20.8326,
12,K00549,0.669,,8.2422,
13,K00573,0.623,,5.8574,
14,K00574,0.6847173111214248,,9.512599999999999,
15,K00588,0.73,,5.1493,
16,K00606,0.6930533595860617,,5.5649,
17,K00626,0.6649969586965927,,19.0503,
18,K00641,0.6829999999999999,,6.3584,
19,K00648,0.7140000000000001,,4.3898,
20,K00789,0.6856805901299295,,21.6779,
21,K00790,0.691,,3.5852,
22,K00891,0.738,,2.2198,
23,K00927,0.6932592261682079,,7.115399999999999,
24,K00948,0.664,,6.5533,
25,K00986,0.5797995756686813,,257.265,
26,K01061,0.6459999999999999,,4.0824,
27,K01159,0.687,,1.5991,
28,K01206,0.53,,1.6418,
29,K01251,0.65,,25.3828,
30,K01265,0.6740000000000002,,7.6293,
31,K01266,0.6570000000000001,,4.4331,
32,K01358,0.647,,6.7653,
33,K01425,0.6970000000000001,,2.9501,
34,K01470,0.607,,4.7534,
35,K01477,0.551,,2.6215,
36,K01495,0.6099786843853677,,6.5822,
37,K01512,0.6709999999999999,,2.4556,
38,K01551,0.705,,7.9662,
39,K01595,0.7799999999999999,,3.3483,
40,K01698,0.7090000000000001,,5.815,
41,K01704,0.62,,6.8779,
42,K01719,0.743,,6.0521,
43,K01729,0.615,,1.5294,
44,K01733,0.7290000000000001,,6.5469,
45,K01736,0.581,,2.4352,
46,K01737,0.6729999999999999,,5.5676,
47,K01772,0.6940000000000001,,4.5535,
48,K01803,0.6940000000000001,,4.8595,
