,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj environmental samples,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts environmental samples,gene_countsUnclassified
0,K00003,,,0.718693786534332,,,,,,,28.0572,,,,
1,K00009,,,0.7280000000000001,,,,,,,4.125,,,,
2,K00012,,,0.6893284989763839,,,,,,,12.5149,,,,
3,K00013,,,0.759,,,,,,,8.07,,,,
4,K00014,,,0.7715417123986927,,,,,,,8.6418,,,,
5,K00024,,,0.7120000000000001,,,,,,,11.4269,,,,
6,K00029,,,0.6940000000000001,,,,,,,6.8292,,,,
7,K00031,,,0.6664779720233373,,,,,,,49.845299999999995,,,,
8,K00033,,,0.6960051309636679,,,,,,,56.5453,,,,
9,K00034,,,0.69,,,,,,,4.8554,,,,
10,K00036,,,0.6990000000000001,,,,,,,14.8222,,,,
11,K00053,,,0.7034543818940876,,,,,,,61.5073,,,,
12,K00057,,,0.7146703010862755,,,,,,,26.2802,,,,
13,K00058,,,0.7251281627028847,,,,,,,24.656999999999996,,,,
14,K00059,,,0.7136760979620067,,,,,,,26.1378,,,,
15,K00060,,,0.705,,,,,,,7.3163,,,,
16,K00067,,,0.7304161843655579,,,,,,,40.864,,,,
17,K00075,,,0.7281013430112034,,,,,,,65.9317,,,,
18,K00077,,,0.7163785980375468,,,,0.6896024702605038,,,93.86419999999998,,,,8.4169
19,K00088,,,0.7009755373130505,,,,,,,39.2136,,,,
20,K00096,,,0.731,,,,,,,4.9831,,,,
21,K00099,,,0.7133833770270044,,,,,,,97.9401,,,,
22,K00108,,,0.725,,,,,,,5.1839,,,,
23,K00111,,,0.7090343007537112,,,,,,,40.044,,,,
24,K00116,,,0.65,,,,,,,3.8173,,,,
25,K00122,,,0.6744431616024041,,,,,,,19.0215,,,,
26,K00124,,,0.6707268063999079,,,,,,,31.8526,,,,
27,K00127,,,0.7300477108627272,,,,0.7249999999999999,,,12.0964,,,,8.3821
28,K00133,,,0.712770839427814,,,,,,,19.7618,,,,
29,K00134,,,0.6863812705160683,,,,,,,50.2542,,,,
30,K00145,,,0.7204030954137528,,,,,,,35.2231,,,,
31,K00161,,,0.69,,,,,,,8.9685,,,,
32,K00163,,,0.6825686065299827,,,,,,,344.2948,,,,
33,K00169,,,0.7110000000000001,,,,,,,16.7252,,,,
34,K00170,,,0.725,,,,,,,11.4155,,,,
35,K00172,,,0.737,,,,,,,6.6738,,,,
36,K00174,,0.44900000000000007,0.706981167679907,,,,,,2.6815,55.209199999999996,,,,
37,K00175,,,0.666641464448159,,,,,,,62.1512,,,,
38,K00176,,,0.5770000000000001,,,,,,,2.9821,,,,
39,K00180,,,0.6848920168938217,,,,,,,8.125,,,,
40,K00201,,,0.665,,,,,,,3.6233,,,,
41,K00215,,,0.7103912506188489,,,,,,,60.5602,,,,
42,K00221,,,,,,,0.6940000000000001,,,,,,,5.8246
43,K00228,,,0.7140000000000001,,,,,,,4.5124,,,,
44,K00230,,,0.6859516852609324,,,,,,,12.5427,,,,
45,K00231,,,0.733741164099236,,,,,,,8.0003,,,,
46,K00240,,,0.674379595274639,,,,,,,107.57319999999999,,,,
47,K00241,,,0.6549853624433067,,,,,,,21.0231,,,,
48,K00242,,,0.6572715142670044,,,,,,,22.3831,,,,
49,K00245,,,0.6679999999999999,,,,,,,7.9981,,,,
50,K00247,,,0.644,,,,,,,3.6515,,,,
51,K00249,,,0.7019839730037368,,,,,,,49.156699999999994,,,,
52,K00252,,,0.6903219641783037,,,,,,,16.8312,,,,
53,K00254,,,0.7179610655668672,,,,,,,18.9363,,,,
54,K00259,,,0.7020000000000001,,,,,,,8.2793,,,,
55,K00262,,,0.643,,,,,,,6.7078,,,,
56,K00273,,,0.732216852961955,,,,,,,24.4403,,,,
57,K00275,,,0.7105247441372174,,,,0.6241361488813112,,,65.9246,,,,7.4075
58,K00281,,,0.721,,,,,,,11.9985,,,,
59,K00282,,,0.743,,,,,,,5.5171,,,,
60,K00283,,,0.701,,,,,,,6.8805,,,,
61,K00286,,,0.7228239780114567,,,,,,,73.24610000000001,,,,
62,K00287,,,0.6922873608802216,,,,,,,15.0185,,,,
63,K00297,,,0.7050735526056836,,,,,,,41.3429,,,,
64,K00299,,,0.674,,,,,,,1.7277,,,,
65,K00304,,,0.7120000000000001,,,,,,,7.6328,,,,
66,K00305,,,0.754,,,,,,,5.9971,,,,
67,K00320,,,0.74,,,,,,,7.9382,,,,
68,K00330,,,0.6407846635280757,,,,,,,107.59430000000002,,,,
69,K00331,,,0.664709094588012,,,,,,,28.174300000000002,,,,
70,K00332,,,0.6977791971801317,,,,,,,29.264499999999998,,,,
71,K00334,,,0.6749364816611203,,,,,,,22.809700000000003,,,,
72,K00337,,,0.6841871482308658,,,,,,,28.0461,,,,
73,K00338,,,0.6623762895793666,,,,,,,58.8353,,,,
74,K00339,,,0.6903265367217185,,,,0.642,,,44.6842,,,,2.634
75,K00340,,,0.641101871573814,,,,,,,113.1159,,,,
76,K00343,,,0.7082260742631672,,,,,,,14.1665,,,,
77,K00344,,,0.6885768074195512,,,,,,,21.256300000000003,,,,
78,K00363,,,0.7220000000000001,,,,,,,26.1453,,,,
79,K00365,,,0.6679999999999999,,,,,,,4.2599,,,,
80,K00368,,,0.6712420289111363,,,,,,,21.767100000000003,,,,
81,K00370,,,0.7,,,,,,,19.4571,,,,
82,K00371,,,0.709452514594566,,,,,,,24.684800000000003,,,,
83,K00373,,,,,0.715,,,,,,,3.4911,,
84,K00374,,,0.6602998460393227,,,,,,,29.3251,,,,
85,K00384,,,0.6832056086539925,,,,,,,21.0118,,,,
86,K00389,,,0.7252817016899057,,,,,,,34.2622,,,,
87,K00390,,,0.725591495171145,,,,,,,34.584900000000005,,,,
88,K00395,,,0.612,,,,,,,4.8773,,,,
89,K00406,,,0.63,,,,,,,2.6049,,,,
90,K00407,,,,,,,0.632,,,,,,,5.0742
91,K00413,,,0.6584826553199478,,,,,,,10.4849,,,,
92,K00425,,,0.6712854234565406,,,,,,,207.17359999999994,,,,
93,K00426,,,0.690682303554732,,,,0.7134981724879923,,,124.32339999999999,,,,9.7603
94,K00428,,,0.6257232112791277,,,,,,,18.860899999999997,,,,
95,K00432,,,0.6788813759253639,,,,,,,20.273200000000003,,,,
96,K00433,,0.58,0.653,,,,,,2.1171,7.8961,,,,
97,K00435,,,0.6766073037888122,,,,,,,11.0913,,,,
98,K00441,,,0.74,,,,,,,4.9892,,,,
99,K00446,,,0.6867574346044771,,,,,,,12.693200000000001,,,,
100,K00448,,,0.7150000000000001,,,,,,,4.5102,,,,
101,K00449,,,0.6826899298192921,,,,,,,12.219999999999999,,,,
102,K00450,,,0.6905442420527543,,,,,,,28.4646,,,,
103,K00451,,,0.6788592476384131,,,,,,,184.97800000000004,,,,
104,K00453,,,0.6989297035341578,,,,,,,98.94470000000001,,,,
105,K00457,,,0.6708792425164781,,,,,,,161.81570000000005,,,,
106,K00459,,,0.7392776783555547,,,,0.6769999999999999,,,122.18829999999998,,,,6.6259
107,K00479,,,0.653,,,,,,,6.2103,,,,
108,K00481,,,0.7070000000000001,,,,,,,6.4105,,,,
109,K00496,,,0.715,,,,,,,3.2339,,,,
110,K00500,,,0.6832478532041679,,,,,,,21.708499999999997,,,,
111,K00507,,,0.6845207332100006,,,,,,,84.7667,,,,
112,K00518,,,0.6222838981148393,,,,,,,14.2956,,,,
113,K00525,,0.655,0.6591122518070074,,,,,,1.9757,90.2015,,,,
114,K00526,,,0.6609861271676299,,,,,,,19.606,,,,
115,K00537,,,0.7190000000000001,,,,,,,5.5877,,,,
116,K00540,,,0.7105711410109214,,,,0.6659522265232031,,,73.5868,,,,18.0893
117,K00548,,,0.701831639916274,,,,,,,62.2332,,,,
118,K00549,,,0.6861485550212052,,,,,,,539.3505,,,,
119,K00554,,,0.7294203840639295,,,,,,,85.0895,,,,
120,K00560,,,0.620878171231421,,,,,,,13.5217,,,,
121,K00563,,,0.7387927465469619,,,,,,,13.1648,,,,
122,K00564,,,0.7147149174156452,,,,,,,19.7892,,,,
123,K00566,,,0.7340000000000001,,,,,,,3.5988,,,,
124,K00567,,,0.7286940293381471,,,,,,,22.278200000000002,,,,
125,K00570,,,0.6921489663693258,,,,,,,16.6525,,,,
126,K00573,,,0.700674494047287,,,,,,,44.420300000000005,,,,
127,K00574,,,0.6981046091987189,,,,,,,103.56310000000002,,,,
128,K00575,,,0.6839999999999999,,,,,,,5.9685,,,,
129,K00588,,,0.6950693948515746,,,,,,,27.6411,,,,
130,K00595,,,0.7296447535714509,,,,,,,6.8943,,,,
131,K00598,,,0.7365122118296155,,,,,,,8.3134,,,,
132,K00600,,,0.7025953079397509,,,,,,,229.06440000000003,,,,
133,K00602,,,0.7234912264676937,,,,,,,133.4321,,,,
134,K00605,,,0.695,,,,,,,5.8321,,,,
135,K00606,,,0.7086555246800992,,,,,,,118.35839999999999,,,,
136,K00609,,,0.7144036877338814,,,,,,,43.4608,,,,
137,K00611,,,0.7190000000000001,,,,,,,9.1324,,,,
138,K00612,,,0.7410000000000001,,,,,,,7.196,,,,
139,K00615,,,0.7193875027826745,,,,,,,34.553799999999995,,,,
140,K00616,,,0.6896816704859146,,,,,,,33.8941,,,,
141,K00619,,,0.6700898601779122,,,,,,,12.071299999999999,,,,
142,K00620,,,0.7318835852859493,,,,,,,24.4876,,,,
143,K00626,,,0.7185299193183204,,,,,,,245.8836,,,,
144,K00627,,,0.73,,,,,,,7.7027,,,,
145,K00635,,,0.7259414406593688,,,,0.7190552580295475,,,422.28730000000024,,,,51.5992
146,K00640,,,0.7101665571375858,,,,,,,31.3331,,,,
147,K00641,,,0.6813712426568109,,,,,,,55.938599999999994,,,,
148,K00645,,,0.6920000000000001,,,,,,,12.7069,,,,
149,K00648,,,0.6972546127030965,,,,,,,10.1624,,,,
150,K00655,,,0.7189015637707762,,,,,,,141.1898,,,,
151,K00658,,,0.743,,,,,,,9.0108,,,,
152,K00661,,,0.688,,,,,,,6.0209,,,,
153,K00662,,,0.7527976248267002,,,,,,,6.727499999999999,,,,
