,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj environmental samples,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts environmental samples,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.7099416685931936,,,,,,,,34.5039,,,,,
1,K00010,,,0.6990000000000001,,,,,,,,10.3527,,,,,
2,K00012,,,0.563,,,,,,,,4.7336,,,,,
3,K00014,,,0.5960865806375608,,,,,,,,10.8261,,,,,
4,K00019,,,0.5806798715343026,,,,,,,,12.1152,,,,,
5,K00029,,,0.5870000000000001,,,,,,,,6.4295,,,,,
6,K00031,,,0.6418614821133499,,,,,,,,30.630699999999997,,,,,
7,K00033,,,0.6643559986211262,,,,,,,,110.41659999999999,,,,,
8,K00053,,,0.6830458285529124,,,,,,,,73.6482,,,,,
9,K00057,,,0.6992577227885864,,,,,,,,26.0688,,,,,
10,K00058,,,0.6357285612455856,,,,,,,,20.3364,,,,,
11,K00059,,,0.6401896811036815,,,,,,,,8.854299999999999,,,,,
12,K00064,,,0.759,,,,,,,,2.6632,,,,,
13,K00067,,,0.67414319397216,,,,,,,,27.2727,,,,,
14,K00075,,,0.662182128239908,,,,,,,,51.500800000000005,,,,,
15,K00076,,,0.56,,,,,,,,4.6202,,,,,
16,K00077,,,0.6626201463911977,,,,,,,,187.39330000000007,,,,,
17,K00088,,,0.6801751247642734,,,,,,,,36.19,,,,,
18,K00096,,,0.7432257509280613,,,,,,,,14.2256,,,,,
19,K00099,,,0.6824165615400791,,,,,,,,80.2217,,,,,
20,K00111,,,0.6961081598215838,,,,,,,,106.81159999999998,,,,,
21,K00116,,,0.5790000000000001,,,,,,,,1.9737,,,,,
22,K00122,,,0.6591353472984609,,,,,,,,15.3289,,,,,
23,K00124,,,0.6822006414874436,,,,,,,,64.9496,,,,,
24,K00126,,,0.626,,,,,,,,3.5521,,,,,
25,K00127,,,0.6145762724282894,,,,,,,,24.7295,,,,,
26,K00133,,,0.6623039137526112,,,,,,,,27.1708,,,,,
27,K00134,,,0.6677497923365563,,,,,,,,26.7387,,,,,
28,K00145,,,0.6199204511434264,,,,,,,,20.4121,,,,,
29,K00162,,,0.7040000000000001,,,,,,,,11.6651,,,,,
30,K00163,,,0.6649211736951348,,,,,,,,405.43890000000005,,,,,
31,K00172,,0.7539999999999999,,,,,,,,2.05,,,,,,
32,K00174,,,0.6892315251269686,,,,,,,,41.7962,,,,,
33,K00175,,,0.5479999999999999,,,,,,,,3.9819,,,,,
34,K00176,,,0.5770000000000001,,,,,,,,2.0625,,,,,
35,K00200,,,0.624,,,,,,,,3.2082,,,,,
36,K00202,,,0.6732488294818226,,,,,,,,8.1233,,,,,
37,K00208,,,0.6302907792740136,,,,,,,,28.034499999999998,,,,,
38,K00209,,,0.657,,,,,,,,7.5023,,,,,
39,K00215,,,0.6799830774652477,,,,,,,,60.7815,,,,,
40,K00228,,,0.6099553561672648,,,,,,,,17.8648,,,,,
41,K00230,,,0.7530000000000001,,,,,,,,1.8627,,,,,
42,K00231,,,0.7479560156451274,,,,,,,,21.8704,,,,,
43,K00232,,,0.6509999999999999,,,,,,,,2.4486,,,,,
44,K00240,,,0.6251749035295686,,,,,,,,49.9084,,,,,
45,K00241,,,0.6246476758622611,,,,,,,,34.2878,,,,,
46,K00242,,,0.6078905173393214,,,,,,,,16.4911,,,,,
47,K00247,,,,,,,,0.69,,,,,,,,4.0524
48,K00249,,,0.6473088118510874,,,,,,,,26.623199999999997,,,,,
49,K00254,,,0.6304144669418387,,,,,,,,16.0592,,,,,
50,K00259,,,0.6487275552394018,,,,,,,,11.6733,,,,,
51,K00275,,,0.6910366745904118,,,,,0.75,,,103.9768,,,,,2.6025
52,K00276,,,0.657,,,,,,,,9.3443,,,,,
53,K00286,,,0.6919177913948915,,,,,,,,62.9295,,,,,
54,K00287,,,0.6486663610986271,,,,,,,,20.343000000000004,,,,,
55,K00297,,,0.6547889925993041,,,,,,,,58.0923,,,,,
56,K00299,,,0.7041970260834352,,,,,,,,27.477400000000003,,,,,
57,K00311,,,0.6441595186572368,,,,,,,,32.1845,,,,,
58,K00320,,,0.733,,,,,,,,5.5712,,,,,
59,K00330,,,0.5824173092395271,,,,,,,,100.55049999999999,,,,,
60,K00331,,,0.6559999999999999,,,,,,,,3.7291,,,,,
61,K00332,,,0.6837012587979946,,,,,,,,22.4681,,,,,
62,K00334,,,0.6806568798308426,,,,,,,,34.1473,,,,,
63,K00338,,,0.6191440727656404,,,,,,,,98.8126,,,,,
64,K00339,,,0.6588835629660318,,,,,0.687,,,23.7477,,,,,3.2952
65,K00340,,,0.6072128260826476,,,,,,,,55.414500000000004,,,,,
66,K00344,,,0.7064270533653567,,,,,,,,47.120799999999996,,,,,
67,K00363,,,0.708,,,,,,,,2.4934,,,,,
68,K00365,,,0.6732019675274696,,,,,,,,15.134799999999998,,,,,
69,K00368,,,0.607,,,,,,,,5.1063,,,,,
70,K00375,,,0.6890000000000001,,,,,,,,8.6221,,,,,
71,K00384,,,0.6848912742338359,,,,,,,,14.9702,,,,,
72,K00389,,,0.6298667580904984,,,,,,,,31.6237,,,,,
73,K00390,,,0.6691288905342961,,,,,,,,84.3735,,,,,
74,K00395,,,0.5574359071993193,,,,,,,,9.5022,,,,,
75,K00406,,,0.6505865983362715,,,,,,,,6.9399,,,,,
