,KEGG,GC_adj Bacteria,GC_adjUnclassified,gene_counts Bacteria,gene_countsUnclassified
0,K00033,0.6709999999999999,,11.4765,
1,K00053,0.626,,4.8229,
2,K00067,0.55,,6.8993,
3,K00075,0.659,,6.3475,
4,K00077,0.5989727664521601,,22.639499999999998,
5,K00099,0.6082908224789211,,9.2094,
6,K00111,0.614,,5.569,
7,K00134,0.581,,6.9145,
8,K00145,0.703,,5.2344,
9,K00163,0.6100922201994236,,28.0062,
10,K00230,0.6252383334064069,,23.0644,
11,K00240,0.584,,5.5976,
12,K00242,0.675,,5.2441,
13,K00254,0.568,,3.1492,
14,K00275,0.5329999999999999,,3.4003,
15,K00286,0.6806488645619763,,13.302200000000001,
16,K00330,0.5394745959003211,,9.255500000000001,
17,K00334,0.5710000000000001,,2.444,
18,K00340,0.5697687283716754,,12.571100000000001,
19,K00363,0.609,,2.8812,
20,K00390,0.537,,5.3226,
21,K00433,0.652,,6.9459,
22,K00435,0.57,,7.4288,
23,K00449,0.616,,7.184,
24,K00457,0.6686434354685864,,8.192499999999999,
25,K00459,0.679,,4.1639,
26,K00507,0.517,,8.2346,
27,K00528,0.701,,11.9208,
28,K00540,0.684,,3.5487,
29,K00549,0.677,,3.38,
30,K00554,0.5686845274559245,,8.9185,
31,K00564,0.627,,5.6282,
32,K00588,0.5539999999999999,,5.7746,
33,K00600,0.6073569475804343,,16.5533,
34,K00602,0.650871681282714,,10.6837,
35,K00606,0.597,,6.3523,
36,K00616,0.5329999999999999,,6.0,
37,K00620,0.534,,4.5104,
38,K00626,0.6755217356351751,,23.373,
39,K00635,0.6759999999999999,,4.9145,
40,K00641,0.618,,8.5024,
41,K00648,0.5670000000000001,,5.0209,
42,K00655,0.6,,5.5307,
43,K00657,0.5756871879034114,,10.3305,
44,K00677,0.654,,5.4396,
45,K00683,0.551,,7.8377,
46,K00688,0.547,,10.4036,
47,K00700,0.55,,12.6325,
48,K00721,0.564,,3.3272,
49,K00759,0.615,,6.0505,
50,K00760,0.64,,8.5881,
51,K00764,0.6785246222418104,,20.7307,
52,K00765,0.7040000000000001,,7.213,
53,K00772,0.634,,4.0203,
54,K00782,0.574,,5.1006,
55,K00783,0.589,,3.6312,
56,K00789,0.6304766886359734,,31.5044,
57,K00790,0.612,,5.8343,
58,K00799,0.6579999999999999,,4.5877,
59,K00820,0.6224430243976907,,14.966,
60,K00847,0.6859999999999999,,7.3529,
61,K00858,0.715443300108166,,10.325199999999999,
62,K00859,0.731,,6.2003,
63,K00873,0.5313058798964578,,10.3597,
64,K00887,0.491,,4.4813,
65,K00891,0.515,,3.4529,
66,K00912,0.6119999999999999,,4.2346,
67,K00925,0.5441763420522898,,6.532500000000001,
68,K00926,0.5341605239697971,,10.158999999999999,
69,K00927,0.6163235710652466,,14.283100000000001,
70,K00943,0.5870000000000001,,5.209,
71,K00945,0.6459423097876373,,7.4192,
72,K00946,0.6864557334338255,,8.3589,
73,K00948,0.5951780242830442,,13.854600000000001,
74,K00971,0.565,,3.7904,
75,K00975,0.56,,13.1351,
76,K00981,0.595977743155939,,9.3536,
77,K00986,0.5867569043281096,,640.5429,
78,K01000,0.614,,11.4032,
79,K01005,0.518,,5.359,
80,K01012,0.574,,7.2011,
81,K01039,0.6409999999999999,,4.0328,
82,K01040,0.72,,4.4027,
83,K01056,0.6729999999999999,,3.3045,
84,K01066,0.59,,5.312,
85,K01104,0.586,,4.8414,
86,K01129,0.588,,5.8786,
87,K01160,0.4809999999999999,,4.3935,
88,K01194,0.5429999999999999,,7.4979,
89,K01207,0.568,,5.5175,
90,K01251,0.6015885211039763,,56.895399999999995,
91,K01265,0.723,,5.3536,
92,K01266,0.588,,9.2079,
93,K01273,0.6760123907741821,,6.0569,
94,K01297,0.7040000000000001,,2.3716,
95,K01299,0.529,,2.979,
96,K01358,0.547,,8.9845,
97,K01409,0.6890000000000001,,2.6724,
98,K01424,0.7120000000000001,,2.8301,
99,K01433,0.547,,6.8052,
100,K01448,0.581062348753434,,12.3741,
101,K01458,0.664,,5.3625,
102,K01470,0.597,,10.9835,
