,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00020,,,0.667,,,,,7.8264,,
1,K00031,,,0.649,,,,,16.1466,,
2,K00033,,,0.6004308091247188,,,,,15.5658,,
3,K00038,,,0.672,,,,,9.8396,,
4,K00053,,,0.6579999999999999,,,,,4.3979,,
5,K00055,,,0.57,,,,,7.5764,,
6,K00057,,,0.657,,,,,8.6352,,
7,K00067,,,0.6745751931745814,,,,,15.6308,,
8,K00075,,,0.6462610604540205,,,,,12.1226,,
9,K00077,,,0.6179740747101207,,0.5479999999999999,,,51.0259,,3.7055
10,K00099,,,0.591,,,,,8.804,,
11,K00111,,,0.6130241814634085,,,,,30.1524,,
12,K00116,,,0.6192955843666273,,,,,9.5903,,
13,K00124,,,0.619,,,,,3.075,,
14,K00127,,,0.5977309861391262,,,,,7.681800000000001,,
15,K00133,,,0.6065370507564528,,,,,27.9835,,
16,K00145,,,0.665,,,,,5.7134,,
17,K00163,,,0.6474944731554373,,,,,124.5183,,
18,K00174,,,0.6339044332449212,,,,,28.211100000000002,,
19,K00175,,,0.580551886572072,,,,,12.7516,,
20,K00208,,,0.648091033493455,,,,,19.2119,,
21,K00228,,,0.638,,,,,3.0382,,
22,K00240,,,0.604212851097649,,,,,42.2635,,
23,K00242,,,0.5579999999999999,,,,,6.78,,
24,K00254,,,0.564,,,,,3.7561,,
25,K00275,,,0.6039070949771121,,,,,8.7967,,
26,K00286,,,0.6984388135901068,,,,,7.7201,,
27,K00287,,,0.652,,,,,3.6862,,
28,K00297,,,0.632,,,,,6.3729,,
29,K00311,,,0.63,,,,,4.8604,,
30,K00330,,,0.581,,,,,3.6158,,
31,K00334,,,0.601,,,,,9.2195,,
32,K00338,,,0.6132008716657912,,,,,19.881999999999998,,
33,K00339,,,0.6088563137688928,,,,,18.7497,,
34,K00344,,,0.581,,,,,3.9715,,
35,K00355,,,0.546,,,,,4.308,,
36,K00363,,,0.6216954284651885,,,,,7.8891,,
37,K00375,,,0.544,,,,,7.4435,,
38,K00389,,,0.718,,,,,3.8717,,
39,K00390,,,0.621,,,,,5.2684,,
40,K00407,,,0.5670000000000001,,,,,4.2976,,
41,K00411,,,0.605,,,,,7.971,,
42,K00413,,,0.6039113341871742,,,,,17.2646,,
43,K00425,,,0.5809570953239156,,,,,105.4562,,
44,K00426,,,0.5690823853908141,,,,,90.95840000000001,,
45,K00428,,,0.6196828181832152,,,,,15.049,,
46,K00432,,,0.6520463204773336,,,,,19.278200000000002,,
47,K00433,,,0.6204348566448232,,,,,76.0695,,
48,K00448,,,0.6509999999999999,,,,,2.7193,,
49,K00449,,,0.588,,,,,2.6745,,
50,K00450,,,0.6409999999999999,,,,,4.7035,,
51,K00451,,,0.625112123666468,,,,,17.7154,,
52,K00453,,,0.5619640185340536,,,,,8.6097,,
53,K00457,,,0.6087717854983089,,,,,18.3018,,
54,K00459,,,0.6094990291397435,,,,,66.1848,,
55,K00496,,,0.65,,,,,4.074,,
56,K00507,,,0.5875390651968446,,,,,58.062799999999996,,
57,K00518,,,0.635,,,,,10.1972,,
58,K00525,,,0.665,,,,,7.6052,,
59,K00537,,,0.596,,,,,3.78,,
60,K00540,,,0.6560491463175475,,,,,20.7505,,
61,K00548,,,0.6053129752692251,,,,,54.672200000000004,,
62,K00549,,,0.6337010344801458,,,,,152.82039999999998,,
63,K00554,,,0.6133378883789894,,,,,7.1896,,
64,K00560,,,0.6201223357967343,,,,,5.5550999999999995,,
65,K00567,,,0.6,,,,,4.7094,,
66,K00573,,,0.615880965121538,,,,,52.4799,,
67,K00574,,,0.6542193133397076,,,,,28.727999999999998,,
68,K00600,,,0.624448950665924,,,,,39.2962,,
69,K00602,,,0.6475323952854335,,,,,32.835800000000006,,
70,K00606,,,0.6183279571197394,,,,,15.162300000000002,,
71,K00609,,,0.675,,,,,7.0791,,
