,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.6728192702397571,,,,,,56.204800000000006,,,
1,K00012,,,0.6033380416148758,,,,,,49.6568,,,
2,K00013,,,0.7001293063986423,,,,,,22.6807,,,
3,K00014,,,0.647379189978068,,,,,,70.459,,,
4,K00018,,,0.675,,,,,,10.189,,,
5,K00019,,,0.63259707777192,,,,,,12.3366,,,
6,K00020,,,0.6425052155518264,,,,,,58.4666,,,
7,K00024,,,0.6696258894690819,,,,,,36.7692,,,
8,K00027,,,0.664,,,,,,19.8809,,,
9,K00029,,,0.6571839411338357,,,,,,77.90809999999999,,,
10,K00030,,,0.6123599223066531,,,,,,14.4075,,,
11,K00031,,,0.6648792486578712,,,,,,60.490399999999994,,,
12,K00033,,,0.6430341458551497,,,,,,273.7001,,,
13,K00036,,,0.6474448264318045,,,,,,96.6678,,,
14,K00038,,,0.6809999999999999,,,,,,15.7057,,,
15,K00052,,,0.7003821370988464,,,,,,30.4895,,,
16,K00053,,,0.6454991923929688,,,,,,144.96049999999997,,,
17,K00057,,,0.6843911512070661,,,,,,62.96790000000001,,,
18,K00058,,,0.6843953955428556,,,,,,50.839299999999994,,,
19,K00059,,,0.6516192678041349,,,,,,194.23930000000001,,,
20,K00060,,,0.6438611001960728,,,,,,58.039,,,
21,K00064,,,0.7285789035977919,,,,,,53.2166,,,
22,K00065,,,0.655,,,,,,7.4219,,,
23,K00066,,,0.5573436633671318,,,,,,12.9815,,,
24,K00067,,,0.6586406882093484,,,,,,157.92499999999998,,,
25,K00074,,,0.6923988180665765,,,,,,37.441,,,
26,K00075,,,0.6609773127883471,,,,,,122.54139999999998,,,
27,K00077,,,0.672333107190427,,,0.6670000000000001,,,418.6774000000002,,,2.9917
28,K00082,,,0.7456484644415627,,,,,,23.0434,,,
29,K00088,,,0.6714637995799833,,,,,,118.08349999999999,,,
30,K00091,,,0.6722825626724442,,,,,,55.606300000000005,,,
31,K00096,,,0.7251062741618506,,,,,,34.289,,,
32,K00097,,,0.7190000000000001,,,,,,9.5988,,,
33,K00099,,,0.6347981685894805,,,,,,182.9737,,,
34,K00102,,,0.693,,,,,,8.0256,,,
35,K00104,,,0.7087561639381633,,,,,,33.533,,,
36,K00108,,,0.7110828812125125,,,,,,53.1926,,,
