,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00003,,,0.6390005913695574,,,,,19.2003,,
1,K00010,,,0.5820000000000001,,,,,4.4776,,
2,K00012,,,0.653,,,,,13.4328,,
3,K00029,,,0.642,,,,,6.4321,,
4,K00031,,,0.4629999999999999,,,,,2.0,,
5,K00033,,,0.6349932065251583,,,,,19.0914,,
6,K00053,,,0.6568729021401086,,,,,28.4448,,
7,K00067,0.435,,,,,2.4736,,,,
8,K00075,,,0.6419294841074136,,,,,27.210700000000003,,
9,K00077,,,0.643271874077722,,,,,81.0748,,
10,K00099,,,0.6114960471272747,,,,,10.2372,,
11,K00111,,,0.6323518402165159,,,,,35.5522,,
12,K00124,,,0.657,,,,,3.9976,,
13,K00127,,,0.5799291236333868,,,,,5.5809999999999995,,
14,K00145,,,0.625,,,,,6.6873,,
15,K00162,,,0.637,,,,,11.3106,,
16,K00163,,,0.628349539348124,,,,,67.2975,,
17,K00175,,,0.618,,,,,12.595,,
18,K00215,,,0.6901064206809562,,,,,31.987700000000004,,
19,K00228,,,0.6453652548302432,,,,,19.2437,,
20,K00230,,,0.633,,,,,3.953,,
21,K00240,,,0.6197390757778054,,,,,44.839800000000004,,
22,K00241,,,0.5736992787581356,,,,,8.4468,,
23,K00242,,,0.5575050769391814,,,,,11.059099999999999,,
24,K00243,,,0.4679999999999999,,,,,2.2642,,
25,K00249,,,0.6596804789873609,,,,,14.748899999999999,,
26,K00254,,,0.6604608177493304,,,,,14.103200000000001,,
27,K00275,,,0.6328866877596256,,0.716,,,15.685200000000002,,1.7307
28,K00286,,,0.6970000000000001,,,,,9.7164,,
29,K00287,,,0.649,,,,,6.7906,,
30,K00311,,,0.62,,,,,13.6581,,
31,K00330,,,0.5866962112588107,,,,,22.3108,,
32,K00331,,,0.68,,,,,6.7522,,
33,K00338,,,0.629387714876959,,,,,41.104200000000006,,
34,K00340,,,0.5650109718474713,,,,,29.7994,,
35,K00368,,,0.552,,,,,5.5062,,
36,K00371,,,0.6092764143277922,,,,,21.3737,,
37,K00374,,,0.6168008639282478,,,,,4.3429,,
38,K00406,,,0.6129251432724471,,,,,11.1081,,
39,K00411,,,0.612,,,,,4.025,,
40,K00412,,,0.593,0.298,,,,8.0235,6.6381,
41,K00413,,,0.6405390203249908,,,,,16.0083,,
42,K00425,,,0.6042154048563841,,,,,17.6127,,
43,K00426,,,0.6271518360426092,,,,,34.4277,,
44,K00428,,,0.595,,,,,4.0463,,
45,K00432,,,0.6018290625312345,,,,,18.0639,,
46,K00433,,,0.6208638042277288,,,,,34.1762,,
47,K00448,,,0.653,,,,,6.7184,,
48,K00450,,,0.6447382723694846,,,,,21.1193,,
49,K00451,,,0.6231834739193581,,,,,54.1058,,
50,K00453,,,0.6214248412136391,,,,,16.258599999999998,,
51,K00457,,,0.5661289786037335,,,,,13.4012,,
52,K00459,,,0.6267080574008353,,,,,34.4623,,
53,K00483,,,0.5870000000000001,,,,,4.3323,,
54,K00500,,,0.625,,,,,2.6617,,
55,K00507,,,0.6150905229223573,,,,,20.1656,,
56,K00525,,,0.6556409630933829,,,,,18.4241,,
57,K00537,,,0.6149757145817519,,,,,7.0062,,
58,K00540,,,0.641586717222648,,,,,25.224200000000003,,
59,K00548,,,0.6374463600046167,,,,,59.52629999999999,,
60,K00549,,,0.6300816418963878,,,,,117.2243,,
61,K00554,,,0.6812013601786233,,,,,25.137400000000003,,
62,K00560,,,0.623775755341361,,,,,38.1511,,
63,K00567,,,0.7240000000000001,,,,,1.4463,,
64,K00570,,,0.6162232802189695,,,,,17.253999999999998,,
65,K00573,,,0.6365388471763881,,,,,20.1278,,
66,K00574,,,0.5962541918466622,,,,,45.4955,,
67,K00588,,,0.5579999999999999,,,,,3.1882,,
68,K00600,,,0.6162583871418124,,,,,43.28829999999999,,
69,K00602,,,0.6377368578555134,,,,,55.81680000000001,,
70,K00606,,,0.654681107162602,,,,,11.9326,,
71,K00609,,,0.613,,,,,3.0378,,
72,K00615,,,0.622252631782625,,,,,21.006500000000003,,
73,K00616,,,0.5808056513793681,,,,,14.1933,,
74,K00620,,,0.674,,,,,7.781,,
75,K00626,,,0.6511311992825395,,,,,65.5078,,
76,K00635,,,0.626374393536295,,,,,39.7022,,
77,K00640,,,0.63654967111291,,,,,19.4468,,
78,K00641,,,0.6358833354037005,,,,,107.2081,,
79,K00655,,,0.6320503337290011,,,,,14.631,,
80,K00657,,,0.644,,,,,9.5831,,
81,K00663,,,0.585,,,,,1.8858,,
82,K00677,,,0.5994603192953277,,,,,8.0352,,
83,K00683,,,0.561,,,,,4.3519,,
84,K00684,,,0.6610898503960891,,,,,15.835899999999999,,
85,K00688,,,0.6299731205043682,,,,,48.81940000000001,,
86,K00700,,,0.6295542016265343,,,,,20.7509,,
87,K00703,,,0.6088897821308343,,,,,29.0101,,
88,K00748,,,0.6462499146712619,,,,,19.4392,,
89,K00759,,,0.6584850708117667,,,,,21.017599999999998,,
