,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj Monodnaviria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts Monodnaviria,gene_countsUnclassified
0,K00003,,,0.6594906537948632,,,,,,,27.2654,,,,
1,K00012,,,0.5579999999999999,,,,,,,2.6366,,,,
2,K00014,,,0.6443250005919242,,,,,,,30.978300000000004,,,,
3,K00020,,,0.632,,,,,,,5.8211,,,,
4,K00024,,,0.654,,,,,,,7.5357,,,,
5,K00029,,,0.6202202661371404,,,,,,,18.6689,,,,
6,K00031,,,0.6304570083909427,,,,,,,38.7863,,,,
7,K00033,,,0.6145304124697117,,,,,,,200.35399999999998,,,,
8,K00035,,,0.644666542052675,,,,,,,11.1656,,,,
9,K00036,,,0.5813199914486575,,,,,,,51.5178,,,,
10,K00039,,,0.616,,,,,,,7.8278,,,,
11,K00052,,,0.6435830826891018,,,,,,,34.3613,,,,
12,K00053,,,0.6149420563997768,,,,,,,114.1995,,,,
13,K00057,,,0.6341963453570755,,,,,,,19.1295,,,,
14,K00058,,,0.6639419628656857,,,,,,,11.2926,,,,
15,K00059,,,0.629971693552105,,,,,,,41.2218,,,,
16,K00060,,,0.5710000000000001,,,,,,,12.0648,,,,
17,K00064,,,0.6501843729286241,,,,,,,14.485800000000001,,,,
18,K00067,,,0.6494410321188888,,,,,,,55.882200000000005,,,,
19,K00075,,,0.6454173734258556,,,,,,,122.44049999999997,,,,
20,K00077,,0.649,0.6456558069096933,,,,0.605,,4.3162,348.7824000000001,,,,2.8278
21,K00078,,,0.695,,,,,,,4.1213,,,,
22,K00088,,,0.6129886115785774,,,,,,,35.001599999999996,,,,
23,K00091,,,0.6288281976759413,,,,,,,11.3841,,,,
24,K00099,,,0.6219877362026519,,,,,,,106.18669999999997,,,,
25,K00104,,,0.7040000000000001,,,,,,,6.3251,,,,
26,K00108,,,0.6409999999999999,,,,,,,6.2688,,,,
27,K00111,,,0.6219986373330753,,,,,,,105.5462,,,,
28,K00112,,,0.6913366336871873,,,,,,,6.6131,,,,
29,K00116,,,0.588,,,,,,,3.3358,,,,
30,K00122,,,0.6509184540669325,,,,,,,22.6039,,,,
31,K00124,,,0.6182196277165991,,,,,,,80.1909,,,,
32,K00125,,,0.6779999999999999,,,,,,,4.18,,,,
33,K00126,,,0.6408277737767519,,,,,,,9.4285,,,,
34,K00127,,,0.5908793635829964,,,,,,,55.396899999999995,,,,
35,K00133,,,0.6265748899194181,,,,,,,41.304100000000005,,,,
36,K00134,,,0.6304647875966755,,,,,,,53.069900000000004,,,,
37,K00140,,,0.598,,,,,,,6.7043,,,,
