,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_countsUnclassified
0,K00003,,,0.6643723753598623,,,,,,36.2162,,,
1,K00004,,,0.66,,,,,,9.8216,,,
2,K00008,,,0.609,,,,,,9.1008,,,
3,K00012,,,0.6356381355362969,,,,,,52.424899999999994,,,
4,K00014,,,0.6526472001973703,,,,,,48.7355,,,
5,K00019,,,0.635,,,,,,5.7374,,,
6,K00020,,,0.6482349662580511,,,,,,23.9681,,,
7,K00022,,,0.5720000000000001,,,,,,6.4584,,,
8,K00024,,,0.6209131646211831,,,,,,14.299399999999999,,,
9,K00031,,,0.6259508557523797,,,,,,44.3189,,,
10,K00033,,,0.6404117242738124,,,,,,210.64070000000004,,,
11,K00036,,,0.6388927238326878,,,,,,39.945,,,
12,K00038,,,0.65,,,,,,3.8287,,,
13,K00039,,,0.62,,,,,,7.4355,,,
14,K00052,,,0.6645743240339785,,,,,,26.1426,,,
15,K00053,,,0.6332590426699674,,,,,,106.73979999999999,,,
16,K00054,,,0.675,,,,,,3.6755,,,
17,K00057,,,0.6564745492133705,,,,,,14.9212,,,
18,K00058,,,0.659104252457817,,,,,,31.995800000000003,,,
19,K00059,,,0.6461109709626449,,,,,,123.0751,,,
20,K00060,,,0.6345449300437344,,,,,,25.2689,,,
21,K00064,,,0.6416388070888417,,,,,,7.1326,,,
22,K00065,,,0.655,,,,,,8.4782,,,
23,K00067,,,0.6572459555708527,,,,,,62.25940000000001,,,
24,K00074,,,0.6244543565377687,,,,,,17.7815,,,
25,K00075,,,0.6651634307906682,,,,,,125.10379999999999,,,
26,K00077,,,0.6538457449398676,,0.5795064104717854,0.6802342735012461,,,298.81530000000004,,4.1204,5.9605
27,K00088,,,0.6332293213934089,,,,,,31.568499999999997,,,
28,K00091,,,0.6717448421719568,,,,,,12.7009,,,
29,K00099,,,0.6566295411406424,,,,,,102.7909,,,
30,K00101,,,0.68,,,,,,7.0,,,
31,K00104,,,0.6762142451992184,,,,,,21.9507,,,
32,K00108,,,0.7320000000000001,,,,,,8.3765,,,
33,K00111,,,0.6548302417560224,,,,,,170.9816,,,
34,K00112,,,0.6725321692465962,,,,,,37.478899999999996,,,
35,K00113,,,0.653,,,,,,7.2714,,,
36,K00116,,,0.6535567363078402,,,,,,9.3622,,,
37,K00122,,,0.624071031800318,,,,,,32.674,,,
38,K00124,,,0.6299128856153223,,,,,,61.418899999999994,,,
39,K00126,,,0.624,,,,,,7.0604,,,
