,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj environmental samples,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts environmental samples,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.663343144867783,,,,,,,,34.5945,,,,,
1,K00004,,,0.596,,,,,,,,6.4265,,,,,
2,K00010,,,0.5490548884333851,,,,,,,,17.411299999999997,,,,,
3,K00012,,,0.5929191371834983,,,,,,,,67.0445,,,,,
4,K00013,,,0.597,,,,,,,,9.4053,,,,,
5,K00014,,,0.6397730963529381,,0.5670000000000001,,,,,,59.6854,,11.5297,,,
6,K00018,,,0.564,,,,,,,,7.5322,,,,,
7,K00019,,,0.5996482188569481,,,,,,,,21.201,,,,,
8,K00020,,,0.6050873263489774,,,,,,,,53.150000000000006,,,,,
9,K00022,,,0.551,,,,,,,,9.8146,,,,,
10,K00029,,,0.5766101892105828,,,,,,,,43.8686,,,,,
11,K00030,,,0.5720082679149375,,,,,,,,16.6408,,,,,
12,K00031,,,0.5866797215699487,,,,,,,,44.4801,,,,,
13,K00033,,,0.6340031179427044,,0.5379999999999999,,,,,,312.25300000000004,,2.9015,,,
14,K00035,,,0.6419999999999999,,,,,,,,4.8543,,,,,
15,K00036,,,0.5715766052681582,,,,,,,,69.20830000000001,,,,,
16,K00038,,,0.6794974328092528,,,,,,,,28.260800000000003,,,,,
17,K00039,,,0.5956785095134681,,,,,,,,17.9743,,,,,
18,K00052,,,0.624047061355735,,,,,,,,37.899300000000004,,,,,
19,K00053,,,0.6133930865813733,,,,,,,,132.9161,,,,,
20,K00057,,,0.6684172403010511,,,,,,,,59.0985,,,,,
21,K00058,,,0.6121595678686322,,,,,,,,33.5782,,,,,
22,K00059,,,0.6222831987256889,,,,,,,,189.65100000000004,,,,,
23,K00060,,,0.6266850275653796,,,,,,,,42.58859999999999,,,,,
24,K00064,,,0.6832639565678943,,,,,,,,12.322899999999999,,,,,
25,K00065,,,0.6525780744302808,,,,,,,,17.1979,,,,,
26,K00067,,,0.6060614432761704,,,,,,,,93.3938,,,,,
27,K00074,,,0.551,,,,,,,,9.8146,,,,,
28,K00075,,,0.6384754242961489,,,,,,,,184.31830000000002,,,,,
29,K00077,,,0.6395606361235087,,,,,0.6402955521544716,,,506.7144,,,,,19.3958
30,K00082,,,0.737,,,,,,,,9.0426,,,,,
31,K00088,,,0.6551217988738771,,,,,,,,65.541,,,,,
32,K00091,,,0.5768465123601964,,,,,,,,17.6682,,,,,
33,K00096,,,0.7070000000000001,,,,,,,,8.7265,,,,,
34,K00099,,,0.6525605424066707,,,,,,,,163.8481,,,,,
35,K00104,,,0.573,,,,,,,,10.5769,,,,,
