,KEGG,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00020,,0.628,,,,3.5712,,
1,K00029,,0.5471271667843256,,,,7.959,,
2,K00033,,0.6057147283160427,,,,23.6466,,
3,K00038,,0.6559999999999999,,,,8.421,,
4,K00059,,0.606,,,,5.2066,,
5,K00075,,0.6464465157408603,,,,6.1716,,
6,K00077,,0.5983661903843815,,,,17.779799999999998,,
7,K00099,,0.6589132410489024,,,,7.9107,,
8,K00111,,0.5602280464162991,,,,14.800899999999999,,
9,K00116,,0.594,,,,2.9979,,
10,K00124,,0.5844768537684158,,,,16.426,,
11,K00127,,0.626,,,,4.3771,,
12,K00145,,0.6237491763976407,,,,9.8814,,
13,K00163,,0.5940576715348522,,,,15.2438,,
14,K00174,,0.601,,,,7.2276,,
15,K00180,,0.588,,,,1.6844,,
16,K00208,,0.6245954336395907,,,,10.1145,,
17,K00228,,0.5702140791579337,,,,5.9512,,
18,K00240,,0.6117366303312872,,,,14.153300000000002,,
19,K00241,,0.623,,,,2.7211,,
20,K00259,,0.665,,,,2.4342,,
21,K00273,,0.573,,,,3.5163,,
22,K00275,,0.6001620568205279,,,,4.4931,,
23,K00278,,0.6369999999999999,,,,2.9344,,
24,K00287,,0.36,,,,3.5332,,
25,K00311,,0.578,,,,6.6749,,
26,K00330,,0.5572513192095794,,,,24.3185,,
27,K00331,,0.644,,,,14.0333,,
28,K00334,,0.6147974639729026,,,,18.5004,,
29,K00338,,0.64,,,,17.2852,,
30,K00339,,0.638,,,,3.1066,,
31,K00340,,0.623,,,,3.8734,,
32,K00344,,0.565,,,,6.0759,,
33,K00384,,0.618,,,,6.9517,,
34,K00386,,0.5820000000000001,,,,1.9436,,
35,K00389,,0.5488674150753593,,,,7.1087,,
36,K00390,,0.5451196899949047,,,,4.4449,,
37,K00411,,0.647,,,,3.2226,,
38,K00413,,0.653,,,,4.8262,,
39,K00425,,0.564941014294962,,,,27.5745,,
40,K00426,,0.585548563804641,,0.563,,23.241,,1.8744
41,K00428,,0.6071031669823704,,,,19.7744,,
42,K00432,,0.5221489963503032,,,,7.828299999999999,,
43,K00433,,0.5745860672145918,,,,31.5864,,
44,K00451,,0.6192993910773792,,,,6.1199,,
45,K00452,,0.615,,,,3.9157,,
46,K00453,,0.5490396828176259,,,,15.3869,,
47,K00456,,0.5820000000000001,,,,6.133,,
48,K00457,,0.619,,,,5.4502,,
49,K00459,,0.607573655104552,,,,32.6738,,
50,K00469,,0.499,,,,2.4532,,
51,K00481,,0.574,,,,4.9553,,
52,K00507,,0.5621620231109175,,,,20.5559,,
53,K00526,,0.433,,,,4.0966,,
54,K00537,,0.609,,,,4.2998,,
55,K00540,,0.6133742086989118,,,,5.7195,,
56,K00548,,0.5544428460285791,,,,14.423,,
57,K00549,,0.6457880627243944,,,,17.4759,,
58,K00554,,0.5361423326117322,,,,9.2351,,
59,K00560,,0.607,,,,3.1797,,
60,K00567,,0.556,,,,4.671,,
61,K00573,,0.6763693020417466,,,,11.4845,,
62,K00574,,0.662,,,,2.5314,,
63,K00588,,0.393,,,,4.8913,,
64,K00598,,0.5539999999999999,,,,2.402,,
65,K00600,,0.6189663092826125,,,,29.5413,,
66,K00602,,0.6280559360017195,,,,28.665499999999998,,
67,K00606,,0.6341118512406329,,,,16.4726,,
68,K00609,,0.609,,,,2.8783,,
69,K00613,,0.614,,,,3.1118,,
70,K00615,,0.5574624774846314,,,,9.9983,,
71,K00616,,0.537,,,,4.4772,,
72,K00620,,0.647,,,,4.1813,,
73,K00626,,0.6430896996103586,,,,27.4737,,
74,K00635,,0.641074854780494,,,,10.609,,
75,K00640,,0.6184413329182376,,,,12.3863,,
