,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj environmental samples,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts environmental samples,gene_countsUnclassified
0,K00012,,,0.645,,,,,,,12.5331,,,,
1,K00014,,,0.675,,,,,,,6.0147,,,,
2,K00029,,,0.585,,,,,,,3.234,,,,
3,K00033,,,0.6706857628916645,,,,,,,61.74920000000001,,,,
4,K00038,,,0.679,,,,,,,5.4657,,,,
5,K00053,,,0.6572709091196718,,,,,,,57.71860000000001,,,,
6,K00054,,0.5660000000000001,,,,,,,1.881,,,,,
7,K00059,,,0.6006958191394244,,,,,,,18.9462,,,,
8,K00067,,,0.6036554855366288,,,,,,,8.219999999999999,,,,
9,K00075,,,0.640049536374466,,,,,,,38.2411,,,,
10,K00077,,0.6681156956610721,0.6127312941460467,,,,0.6729999999999999,,4.784800000000001,76.9396,,,,2.6564
11,K00099,,,0.6191782448269737,,,,,,,13.9388,,,,
12,K00111,,,0.6301037183744346,,,,,,,14.5989,,,,
13,K00116,,,0.5579623883366678,,,,,,,8.6817,,,,
14,K00124,,,0.624980346434206,,,,,,,40.52269999999999,,,,
15,K00126,,,0.685,,,,,,,2.5573,,,,
16,K00127,,,0.6066630859727805,,,,,,,12.464099999999998,,,,
17,K00145,,,0.6654278091890513,,,,,,,19.577,,,,
18,K00163,,,0.6389329030606203,,,,,,,149.5605,,,,
19,K00174,,,0.6450363199494613,,,,,,,30.837300000000003,,,,
20,K00175,,,0.578,,,,,,,3.7523,,,,
21,K00180,,,0.711,,,,,,,4.8203,,,,
22,K00200,,,0.631,,,,,,,4.706,,,,
23,K00208,,,0.6246071022443781,,,,,,,19.1766,,,,
24,K00215,,,0.6700870633810169,,,,,,,10.7801,,,,
25,K00221,,,0.6579063745996163,,,,,,,4.9923,,,,
26,K00228,,,0.6829999999999999,,,,,,,7.1725,,,,
27,K00231,,,0.5634005415592638,,,,,,,11.366900000000001,,,,
28,K00240,,0.511,0.6412792288163571,,,,,,3.0,40.2689,,,,
29,K00241,,,0.5946247456273962,,,,,,,9.0052,,,,
30,K00247,,,0.6579999999999999,,,,,,,1.3363,,,,
31,K00275,,,0.6731470001175595,,,,,,,32.4234,,,,
32,K00286,,,0.640915032501023,,,,,,,15.9338,,,,
33,K00287,,,0.667,,,,,,,3.4173,,,,
34,K00304,,,0.713,,,,,,,2.8828,,,,
35,K00311,,,0.7040000000000001,,,,,,,3.1772,,,,
36,K00316,,,0.591,,,,,,,2.683,,,,
37,K00322,,,0.547,,,,,,,4.8657,,,,
38,K00330,,,0.62,,,,,,,10.833,,,,
39,K00332,,,0.606,,,,,,,8.0728,,,,
40,K00334,,,0.6504139217346118,,,,,,,25.0612,,,,
41,K00338,,,0.627689299117407,,,,,,,25.282600000000002,,,,
42,K00339,,,0.589,,,,,,,2.7083,,,,
43,K00340,,,0.6048866140231106,,,,,,,21.6935,,,,
44,K00341,,,0.5870000000000001,,,,,,,5.249,,,,
45,K00363,,0.6609999999999999,,,,,,,3.1747,,,,,
46,K00389,,,0.6193102099766715,,,,0.7020000000000001,,,8.7192,,,,1.4489
47,K00390,,,0.6890000000000001,,,,,,,7.5786,,,,
48,K00395,,,0.591,,,,,,,5.7701,,,,
49,K00411,,,0.6568719089969649,,,,,,,20.134,,,,
50,K00412,,,0.605,,,,,,,13.4639,,,,
51,K00413,,,0.6515407115119048,,,,,,,20.0937,,,,
52,K00425,,,0.5971892401055782,,,,,,,108.94019999999999,,,,
53,K00426,,,0.6005714639842117,,,,0.544,,,64.5475,,,,3.0895
54,K00428,,,0.6311708768576066,,,,,,,15.6669,,,,
55,K00433,,0.585,0.61783754056551,,,,,,5.9194,56.0835,,,,
56,K00446,,,0.638,,,,,,,3.9238,,,,
57,K00448,,,0.672,,,,,,,4.6208,,,,
58,K00449,,,0.6165794862503874,,,,,,,8.4801,,,,
59,K00450,,,0.6634242314585008,,,,,,,24.4684,,,,
60,K00451,,,0.6504759611167501,,,,,,,53.14640000000001,,,,
61,K00452,,,0.600438355828865,,,,,,,18.9446,,,,
62,K00453,,,0.6364771415581613,,,,,,,20.0712,,,,
63,K00456,,,0.5589999999999999,,,,,,,2.7166,,,,
64,K00457,,,0.5835384610374252,,,,,,,22.842600000000004,,,,
65,K00459,,0.657452162612709,0.6567457722757154,,,,,,5.7313,29.419300000000003,,,,
66,K00469,,,0.56,,,,,,,1.7179,,,,
67,K00500,,,0.5870000000000001,,,,,,,2.5226,,,,
68,K00507,,,0.6047723600256947,,,,,,,23.009700000000002,,,,
69,K00518,,,0.642,,,,,,,6.5386,,,,
70,K00525,,,0.6540378198380637,,,,,,,32.0903,,,,
71,K00526,,,0.6154885968855358,,,,,,,9.4642,,,,
72,K00540,,,0.628153525408646,,,,,,,24.0944,,,,
73,K00545,,,0.645,,,,,,,2.9542,,,,
74,K00548,,,0.6428836155723671,,,,,,,44.174899999999994,,,,
75,K00549,,0.64,0.6482721546352752,,,,,,3.5943,263.1195000000001,,,,
76,K00554,,,0.6928078141120022,,,,,,,30.7952,,,,
77,K00560,,,0.6075967730349427,,,,,,,37.5201,,,,
78,K00567,,,0.7140000000000001,,,,,,,2.6005,,,,
79,K00570,,,0.6618235375071498,,,,,,,22.227200000000003,,,,
80,K00571,,,0.6559999999999999,,,,,,,12.8272,,,,
81,K00573,,,0.6516973577134159,,,,,,,35.3271,,,,
82,K00574,,,0.6567569726519786,,,,,,,28.2475,,,,
83,K00588,,0.636,0.5791326152101725,,,,,,3.6895,6.5928,,,,
84,K00598,,,0.7027264678426833,,,,,,,9.431999999999999,,,,
85,K00600,,,0.6606479006217834,,,,,,,97.4489,,,,
86,K00602,,,0.6468165255640632,,,,,,,58.13469999999999,,,,
87,K00604,,,0.706,,,,,,,4.2897,,,,
88,K00606,,,0.6548851414193678,,,,,,,57.5273,,,,
89,K00609,,,0.6664042391874698,,,,,,,23.8393,,,,
90,K00612,,,0.628428096850778,,,,,,,12.537700000000001,,,,
91,K00615,,,0.6869999999999999,,,,,,,6.0921,,,,
92,K00616,,,0.623,,,,,,,3.1067,,,,
93,K00619,,,0.669,,,,,,,3.6513,,,,
94,K00620,,,0.7071544004315713,,,,,,,9.5409,,,,
95,K00626,,0.696,0.6661762410301334,,,,,,2.2647,74.70600000000002,,,,
96,K00635,,,0.6507729533913542,,,,,,,22.635299999999997,,,,
97,K00640,,,0.6313901541968423,,,,,,,27.8245,,,,
98,K00641,,,0.6386112872707586,,,,,,,59.0792,,,,
99,K00645,,,0.623,,,,,,,2.3413,,,,
100,K00655,,,0.6396782301124193,,,,,,,27.4241,,,,
