,KEGG,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_countsUnclassified
0,K00031,0.6293055372790713,,,,40.3519,,,
1,K00033,0.6344554301753501,,,,27.2025,,,
2,K00053,0.6579999999999999,,,,37.5933,,,
3,K00067,0.4660046527249253,,,,5.3891,,,
4,K00077,0.637,,,,7.2331,,,
5,K00099,0.657,,,,3.2697,,,
6,K00122,0.593,,,,3.6356,,,
7,K00145,0.685,,,,3.3,,,
8,K00163,0.659,,,,23.0938,,,
9,K00175,0.665,,,,16.0155,,,
10,K00228,0.5657971002877892,,,,12.717600000000001,,,
11,K00240,0.6483354042269892,,,,34.6796,,,
12,K00241,0.618,,,,2.9082,,,
13,K00275,,,,0.6629999999999999,,,,3.8511
14,K00299,0.644,,,,2.8211,,,
15,K00330,0.635,,,,4.5845,,,
16,K00331,0.649,,,,32.9797,,,
17,K00338,0.612,,,,31.2544,,,
18,K00340,0.46918603810093273,,,,6.7908,,,
19,K00412,0.581,,0.257,,11.316,,8.2966,
20,K00425,0.6097631037315813,,,,12.6785,,,
21,K00426,0.56,,,,2.704,,,
22,K00428,0.5437198026246751,,,,7.099,,,
23,K00432,0.601,,,,3.7148,,,
24,K00433,0.6509999999999999,,,,18.618,,,
25,K00451,0.5589999999999999,,,,5.4146,,,
26,K00496,0.6709999999999999,,,,7.5216,,,
27,K00507,0.7090000000000001,,,,4.6527,,,
28,K00525,0.4129999999999999,,,,5.4246,,,
29,K00540,0.662,,,,8.6281,,,
30,K00549,0.6416607055107215,,,,7.334099999999999,,,
31,K00558,,0.596,,,,5.0829,,
32,K00574,0.736,,,,4.9895,,,
33,K00588,0.584,,,,4.3252,,,
34,K00600,0.6489307153822302,,,,19.4098,,,
35,K00606,0.622,,,,2.6447,,,
36,K00609,0.684,,,,10.1063,,,
37,K00615,0.613,,,,3.6441,,,
38,K00626,0.667,,,,3.644,,,
