,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj Riboviria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts Riboviria,gene_countsUnclassified
0,K00009,,,0.6920000000000001,,,,,,7.1397,,,
1,K00014,,,0.654,,,,,,4.4121,,,
2,K00031,,,0.6337886411523985,,,,,,31.517000000000003,,,
3,K00033,,,0.6639370113957865,,,,,,31.746100000000002,,,
4,K00052,,,0.7149856679683385,,,,,,29.7106,,,
5,K00054,,0.4642900224133777,,,,,,9.6463,,,,
6,K00057,,,0.615,,,,,,3.2698,,,
7,K00058,,,0.625,,,,,,3.9125,,,
8,K00059,,,0.6674016562492647,,,,,,17.066200000000002,,,
9,K00067,,,0.6656880682873276,,,,,,22.1282,,,
10,K00075,,,0.6910269503925907,,,,,,68.7752,,,
11,K00077,,0.696,0.6793419348649192,,,0.711,,3.0579,53.899699999999996,,,5.3633
12,K00078,,,0.636,,,,,,5.8359,,,
13,K00088,,0.44,0.705,,,,,5.4326,12.145,,,
14,K00091,,,0.70195182640687,,,,,,11.5072,,,
15,K00096,,0.445,0.725127988285812,,,,,5.1529,15.6717,,,
16,K00099,,,0.6718470993787258,,,,,,52.499399999999994,,,
17,K00111,,,0.6657132779132506,,,,,,52.1105,,,
18,K00122,,,0.6309692518041794,,,,,,45.1518,,,
19,K00124,,,0.6442100833554624,,,,,,19.2514,,,
20,K00127,,,0.6910000000000001,,,0.595,,,3.5325,,,2.4113
21,K00133,,,0.693,,,,,,9.3171,,,
22,K00145,,,0.6682926741466564,,,,,,9.553700000000001,,,
23,K00147,,,0.5920000000000001,,,,,,4.6746,,,
24,K00162,,,0.705,,,,,,7.2703,,,
25,K00163,,,0.6740742473798683,,,,,,125.63489999999999,,,
26,K00170,,,0.6600000000000001,,,,,,7.6758,,,
27,K00174,,,0.6915429263123433,,,,,,18.868299999999998,,,
28,K00175,,0.410007519742953,0.6888871031392118,,,,,8.780100000000001,36.2517,,,
29,K00200,,,0.6826924834757385,,,,,,27.3434,,,
30,K00202,,,0.588,,,0.748,,,1.6359,,,5.3776
31,K00208,,,0.611,,,,,,6.5626,,,
32,K00215,,,0.7137763606074758,,,,,,14.3996,,,
33,K00232,,,0.7277256147776371,,,,,,11.6933,,,
34,K00240,,0.464,0.6471138177269743,,,,,5.9709,74.73190000000001,,,
35,K00241,,,0.6647034360308418,,,,,,13.2088,,,
36,K00242,,,0.6565534166099356,,,,,,14.1304,,,
37,K00247,,,0.662,,,,,,4.4499,,,
38,K00249,,,0.617,,,,,,4.8158,,,
39,K00252,,,0.7020000000000001,,,,,,12.9137,,,
40,K00259,,,0.6874566279079981,,,,,,14.471699999999998,,,
41,K00261,,,0.695,,,,,,7.4542,,,
42,K00273,,,0.6366656342840685,,,,,,19.3993,,,
43,K00275,,,0.7056938643947004,,,,,,34.4978,,,
44,K00286,,,0.6812780567938386,,,0.579,,,86.6555,,,4.1015
45,K00297,,,0.6351749604252478,,,,,,15.159,,,
46,K00305,,,0.748,,,,,,2.8084,,,
47,K00311,,,0.7077396386310434,,,,,,12.8987,,,
48,K00330,,,0.6142167086473147,,,,,,118.96310000000001,,,
49,K00331,,,0.68,,,,,,5.6779,,,
50,K00332,,,0.685,,,,,,8.826,,,
51,K00334,,,0.6373806921246209,,,,,,6.1284,,,
52,K00337,,,0.6101214397455791,,,,,,13.0964,,,
53,K00338,,,0.6668354371514125,,,,,,80.5279,,,
54,K00339,,,0.5975985115107442,,,,,,9.315000000000001,,,
55,K00340,,0.472,0.6654189869719194,,,,,4.8019,49.8394,,,
56,K00343,,,0.5489999999999999,,,,,,3.9286,,,
57,K00344,,,0.5944655886824017,,,,,,16.719,,,
58,K00363,,,0.7020000000000001,,,,,,4.8651,,,
59,K00365,,,0.6578259400340551,,,,,,8.987,,,
60,K00371,,,0.6210230007305965,,,,,,19.1054,,,
61,K00373,,,0.6479457090497776,,,,,,6.9032,,,
62,K00384,,0.45799999999999996,0.64,,,,,3.3041,9.5701,,,
63,K00389,,0.403,0.6453688636611503,,,,,3.9686,6.9301,,,
64,K00390,,0.377,0.6356455858856154,,,,,3.7342,55.17680000000001,,,
65,K00411,,,0.6562460801314863,,,,,,10.078500000000002,,,
66,K00425,,,0.6487169105506244,,,,,,105.8108,,,
67,K00426,,,0.6628919619998617,,,,,,41.1581,,,
68,K00428,,,0.6065206806666602,,,,,,8.0526,,,
69,K00432,,,0.622,,,,,,1.379,,,
70,K00433,,,0.6772759767584055,,,,,,20.0215,,,
71,K00441,,,0.648,,,,,,16.337,,,
72,K00446,,,0.691,,,,,,5.746,,,
73,K00448,,,0.6560673141056746,,,,,,17.2116,,,
74,K00449,,,0.6690546765626391,,,,,,36.3589,,,
75,K00450,,,0.6559999999999999,,,,,,3.2376,,,
76,K00451,,,0.6678011704671761,,,,,,40.5015,,,
77,K00452,,,0.591,,,,,,3.2671,,,
78,K00453,,,0.6588725814003615,,,,,,37.8444,,,
79,K00457,,,0.6616537449049645,,,,,,97.3919,,,
80,K00459,,,0.6701230388275754,0.6470000000000001,,,,,33.1128,3.6938,,
81,K00464,,,0.56,,,,,,4.0843,,,
82,K00483,,,0.698,,,,,,5.3699,,,
83,K00500,,,0.693,,,,,,6.362,,,
84,K00507,,,0.6926976402783969,,,,,,48.166599999999995,,,
85,K00525,,0.45590754477969136,0.6295873936334614,,,,,15.107099999999999,80.46000000000001,,,
86,K00526,,,0.609,,,,,,4.1683,,,
87,K00540,,,0.691829263289467,,,,,,37.692299999999996,,,
88,K00544,,,0.6777485103727559,,,,,,12.1647,,,
89,K00548,,,0.6726265331753758,,,,,,60.59499999999999,,,
90,K00549,,0.638,0.6671524311367516,,,,,1.8147,245.63009999999997,,,
91,K00554,,,0.7016206824738253,,,,,,41.68899999999999,,,
92,K00560,,,0.6545432407590286,,,,,,15.6804,,,
93,K00570,,,0.6312821999648568,,,,,,7.2675,,,
94,K00571,,0.38799999999999996,,,,,,4.8577,,,,
95,K00573,,,0.663745822698558,,,,,,53.681999999999995,,,
96,K00574,,,0.6454088095312842,,,,,,21.5116,,,
97,K00575,,,0.631,,,,,,4.7358,,,
98,K00577,,0.39941586077133645,,,,,,6.2269000000000005,,,,
99,K00588,,,0.6680745564862097,,,,,,37.637800000000006,,,
100,K00594,,,0.6700000000000002,,,,,,12.6385,,,
101,K00595,,,0.792,,,,,,3.5112,,,
102,K00598,,,0.737,,,,,,4.4836,,,
103,K00600,,0.423,0.6773909979351483,,,,,3.9263,225.50109999999998,,,
104,K00602,0.7490000000000001,,0.6915733444268195,,,,3.4587,,114.42459999999998,,,
105,K00605,,,0.632,,,,,,6.6655,,,
106,K00606,,0.41549764966151637,0.677734070852052,0.715,,,,8.4324,103.4393,2.8428,,
107,K00609,,,0.696,,,,,,10.2421,,,
108,K00611,,0.44705521916991553,0.6209996430907406,,,,,8.8275,10.9513,,,
109,K00615,,0.459,0.6624056777372934,,,,,4.9262,11.4886,,,
110,K00616,,0.41,0.6979098397299578,,,,,4.3608,19.0325,,,
111,K00620,,,0.6953644782660601,,,,,,30.6695,,,
112,K00626,,,0.6912616679674112,,,,,,127.1686,,,
113,K00635,,,0.7111572644154328,,,,,,57.71060000000001,,,
114,K00640,,,0.6985943323385704,,,,,,37.7401,,,
115,K00641,,,0.6748022482602161,,,,,,53.2658,,,
116,K00648,,,0.6041133032148865,,,,,,12.157499999999999,,,
117,K00655,,,0.6874519295054575,,,,,,42.2709,,,
118,K00657,,,0.6829533668092931,,,,,,8.0006,,,
119,K00661,,,0.6559999999999999,,,,,,6.7074,,,
120,K00662,,,0.7054152697683445,,,,,,13.1645,,,
121,K00663,,,0.6732690175250675,,,,,,13.3178,,,
122,K00672,,,0.6867421023686222,,,,,,13.6453,,,
123,K00674,,,0.664652057873459,,,,,,24.1974,,,
124,K00677,,,0.5875335074067908,,,,,,6.3695,,,
125,K00682,,,,,,0.583,,,,,,2.2705
126,K00683,,,0.6990000000000001,,,,,,3.2012,,,
127,K00684,,,0.6471556569374247,,,,,,28.1222,,,
128,K00688,,,0.6882240057795929,,,,,,23.8018,,,
129,K00700,,,0.6701796526173682,,,,,,9.5609,,,
130,K00703,,,0.5645636403745334,,,,,,7.6736,,,
131,K00721,,0.43900000000000006,0.6928585851968242,,,,,4.7611,11.5851,,,
132,K00728,,,0.6700000000000002,,,,,,5.1465,,,
133,K00759,,,0.660717351507302,,,,,,37.413199999999996,,,
134,K00760,,,0.6474831922565286,,,,,,91.1125,,,
135,K00761,,,0.653,,,,,,8.1057,,,
136,K00762,,0.3720000000000001,0.7280871060775547,,,0.341,,4.4512,56.9512,,,4.2552
137,K00763,,,0.6705950257930064,,,,,,21.9697,,,
138,K00764,,0.484,0.6637656476596466,,,,,6.1149,82.6622,,,
139,K00765,,,0.6891877572015535,,,,,,20.6333,,,
140,K00766,,0.42299999999999993,0.689224644588246,,,0.677,,4.4113,105.22239999999998,,,4.4871
141,K00768,,,0.7031324062007057,,,,,,42.616099999999996,,,
142,K00773,,,0.6708841542287245,,,,,,10.5624,,,
143,K00782,,,0.6772108258826341,,,,,,12.562899999999999,,,
144,K00783,,,0.6487528651386042,,,,,,24.996299999999998,,,
145,K00784,,0.49205261150363594,0.6774703159075587,,,,,12.9068,36.92830000000001,,,
146,K00788,,,0.605,,,,,,3.8588,,,
147,K00789,,0.4575614334590877,0.6723521872691824,,,,,14.6556,253.60899999999998,,,
148,K00790,,,0.6751070730960474,,,,,,56.6811,,,
149,K00793,,,0.6486423524839917,,,,,,60.57270000000001,,,
150,K00794,,0.387,0.7109404505150528,,,,,4.1883,35.2996,,,
151,K00795,,,0.57,,,,,,3.7702,,,
152,K00796,,,0.6184858007812757,,,,,,6.9269,,,
153,K00797,,0.377,0.5306537332065846,,,,,5.1951,14.8616,,,
154,K00798,,,0.6702681271636348,,,,,,33.7366,,,
155,K00799,,,0.6199875143162183,,,0.5954351793307057,,,68.03730000000002,,,15.029799999999998
156,K00800,,,0.6,,,,,,4.3459,,,
157,K00809,,0.42800227555310066,0.546,,,,,10.792,5.0141,,,
158,K00819,,,0.597,,,,,,4.1661,,,
159,K00820,,0.4553489241556516,0.6601543765339748,,,,,11.738900000000001,94.3474,,,
160,K00821,,,0.5870000000000001,,,,,,3.387,,,
161,K00826,,,0.5945774535072893,,,,,,6.3024000000000004,,,
162,K00833,,,0.5760000000000001,,,,,,5.7465,,,
163,K00847,,,0.688,,,,,,7.7862,,,
164,K00848,,,0.644,,,,,,6.5355,,,
165,K00849,,,0.679,,,,,,6.5448,,,
166,K00855,,,0.6305685676835443,,,,,,27.7894,,,
167,K00857,,,0.727,,,,,,10.7585,,,
168,K00858,,0.4538260586486657,0.6661629840775597,,,,,18.6737,71.2647,,,
169,K00859,,,0.681882108678758,,,0.7250000000000001,,,25.8858,,,5.5971
170,K00865,,,0.7256870873657327,,,,,,38.4475,,,
171,K00867,,,0.6692007512944601,,,,,,7.9308,,,
172,K00868,,,0.7140000000000001,,,,,,5.2213,,,
173,K00869,,0.333,,,,,,2.8653,,,,
174,K00872,,,0.64,,,,,,3.8302,,,
175,K00873,,,0.6852054081189055,,,0.7240000000000001,,,130.35869999999997,,,3.6508
176,K00874,,,0.67,,,,,,6.2323,,,
177,K00878,,,0.6943653232817052,,,,,,27.489300000000004,,,
178,K00886,,,0.690522181706559,,,,,,11.668099999999999,,,
179,K00891,,,0.667374705201629,,,,,,12.223099999999999,,,
180,K00912,,,0.604,,,,,,5.8155,,,
181,K00919,,,0.6574645630699472,,,,,,27.968,,,
182,K00925,,,0.6950045140134254,,,,,,16.0012,,,
183,K00926,,,0.6817755120639575,,,,,,16.5218,,,
184,K00927,,0.43328532414235715,0.6654259039823572,,,,,15.3436,84.48440000000002,,,
185,K00930,,,0.6699978141446303,,,,,,10.1573,,,
186,K00936,,,0.71409997413517,,,,,,17.3455,,,
187,K00937,,,0.6482477251922538,,,,,,17.049500000000002,,,
188,K00939,,,0.667,,,,,,5.2721,,,
189,K00940,,,0.6502477865949627,,,,,,22.6467,,,
190,K00942,,,0.6544324882819361,,,,,,9.5559,,,
191,K00943,,0.46099999999999997,0.6753115360328293,,,,,6.4385,27.2603,,,
192,K00945,,0.40256654355375127,0.6937883115946385,,,,,6.3271999999999995,70.73509999999999,,,
193,K00946,,0.3801412642796084,0.6634542179628761,,,,,8.7194,26.5661,,,
194,K00948,,0.4640000000000001,0.6484214757919472,,,,,3.3941,174.28240000000002,,,
195,K00949,,,0.7038758684079424,,,,,,14.8567,,,
196,K00950,,,0.6736209859158165,,,,,,46.776700000000005,,,
197,K00952,,0.35700000000000004,,,,,,3.1346,,,,
198,K00954,,,0.6310731938444071,,,,,,84.5639,,,
199,K00957,,,0.6729999999999999,,,,,,15.1689,,,
200,K00958,,,0.656160578426503,,,,,,33.022999999999996,,,
201,K00962,,,0.6523279100207916,,,,,,42.259100000000004,,,
202,K00969,,,0.6713344368308463,,,,,,35.2025,,,
203,K00971,,,0.5144418298600778,,,,,,7.3439000000000005,,,
