,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00003,,,0.6890000000000001,,,,,2.5697,,
1,K00012,,,0.644,,,,,3.8359,,
2,K00023,,,0.644,,,,,7.8491,,
3,K00031,,,0.6137409703403235,,,,,27.686300000000003,,
4,K00033,,,0.683323277316038,,,,,11.486,,
5,K00038,,,0.6559999999999999,,,,,6.2307,,
6,K00053,,,0.6638609899138406,,,,,12.4802,,
7,K00054,,0.634,,,,,4.1411,,,
8,K00067,,,0.718,,,,,2.4068,,
9,K00075,,,0.6908697643906899,,,,,22.198099999999997,,
10,K00077,,0.6459999999999999,0.6658251885794543,,,,3.0528,50.11149999999999,,
11,K00096,,0.68,,,,,4.8463,,,
12,K00099,,,0.6544509491607243,,,,,28.0139,,
13,K00111,,0.6629999999999999,0.6711529532432375,,,,4.0035,23.1477,,
14,K00124,,,0.504,,,,,6.1029,,
15,K00127,,,0.6126048492815136,,,,,16.8564,,
16,K00133,,,0.604,,,,,19.3328,,
17,K00145,,0.638,0.6452992400535407,,,,3.1343,16.1301,,
18,K00163,,,0.6548349631135433,,,,,124.48889999999999,,
19,K00166,,0.6709999999999999,,,,,3.4587,,,
20,K00174,,,0.669,,,,,6.1745,,
21,K00175,,0.617,0.6428834403719189,,,,3.9149,46.5282,,
22,K00208,,,0.59,,,,,4.8614,,
23,K00215,,,0.555,,,,,1.4357,,
24,K00228,,,0.6349994125292886,,,,,18.548000000000002,,
25,K00240,,0.618,0.688,,,,3.3512,10.6261,,
26,K00241,,,0.6364165175004466,,,,,23.3977,,
27,K00249,,,0.6729999999999999,,,,,3.1256,,
28,K00254,,,0.6725634923868343,,,,,24.578699999999998,,
29,K00275,,,0.6327708688737258,,,,,13.1569,,
30,K00286,,,0.656668955849907,,,,,13.8161,,
31,K00297,,,0.65,,,,,6.4329,,
32,K00304,,,0.685,,,,,2.3391,,
33,K00313,,0.675,,,,,3.806,,,
34,K00330,,,0.6000041011963027,,,,,22.6337,,
35,K00331,,,0.6548210442478188,,,,,24.444300000000002,,
36,K00332,,,0.706,,,,,7.778,,
37,K00334,,,0.6279290232404375,,,,,6.814,,
38,K00338,,,0.6547841365549979,,,,,72.9928,,
39,K00339,,,0.619,,,,,8.9508,,
40,K00340,,,0.6144982628148905,,,,,10.5975,,
41,K00344,,,0.579,,,,,6.5818,,
42,K00363,,0.632,,,,,4.3201,,,
43,K00373,,,0.653,,,,,2.1297,,
44,K00389,,,0.7148613389427668,,,,,4.272399999999999,,
45,K00390,,,0.6338503311205105,,,,,13.286,,
46,K00394,,,0.655,,,,,3.0351,,
47,K00406,,,0.579,,,,,1.4265,,
48,K00412,,,0.631,,,,,11.7913,,
49,K00413,,,0.6678500688276813,,,,,11.09,,
50,K00425,,,0.6262674711189727,,,,,69.14990000000002,,
51,K00426,,,0.656158519998278,,,,,40.2057,,
52,K00428,,,0.6364124151979283,,,,,14.8463,,
53,K00432,,,0.6434012790582012,,,,,9.2493,,
54,K00433,,,0.6115512668182396,,,,,40.0009,,
55,K00448,,,0.6859999999999999,,,,,6.9584,,
56,K00450,,,0.6415002090857432,,,,,13.2043,,
57,K00451,,,0.632615916865146,,,,,51.744499999999995,,
58,K00452,,,0.636,,,,,4.0459,,
59,K00453,,,0.565,,,,,1.4303,,
60,K00457,,,0.5986073666715079,,,,,26.890100000000004,,
61,K00459,,,0.6712882146054251,,,,,41.908,,
62,K00481,,,0.6679999999999999,,,,,2.1132,,
63,K00507,,,0.6151518969966975,,,,,10.857600000000001,,
64,K00518,,,0.682,,,,,5.3482,,
65,K00525,,,0.641168538634583,,,,,18.4635,,
66,K00526,,,0.631217133299187,,,,,18.606,,
67,K00537,,,0.6160998548924282,,,,,7.0002,,
68,K00540,,,0.6434710421234399,,,,,14.282900000000001,,
69,K00548,,,0.6117571952321622,,,,,27.9521,,
70,K00549,,0.5981999757192541,0.6332167951967009,,,,5.581799999999999,77.64519999999999,,
71,K00564,,0.6809999999999999,,,,,2.787,,,
72,K00570,,,0.589,,,,,9.9895,,
73,K00573,,0.6920000000000001,0.6788536250485031,,,,3.0328,4.7334,,
74,K00574,,,0.6987990620794126,,,,,10.837299999999999,,
75,K00575,,,0.552,,,,,3.1599,,
76,K00588,,,0.6990000000000001,,,,,4.4951,,
77,K00600,,0.6859999999999999,0.6499030864112406,,,,3.6957,88.4529,,
78,K00602,,,0.6739777154271712,,,,,36.75920000000001,,
79,K00606,,,0.6830862207455448,,,,,34.8606,,
80,K00609,,0.664,0.6558405616050259,,,,3.0668,31.772000000000002,,
81,K00613,,,0.5479999999999999,,,,,5.5388,,
82,K00615,,,0.6542982250964288,,,,,13.645800000000001,,
83,K00616,,,0.6196081562546008,,,,,8.7689,,
84,K00619,,,0.703,,,,,4.2093,,
85,K00620,,,0.6681412156465549,,,,,27.101300000000002,,
86,K00626,,0.6756653172298059,0.653479489999812,,,,6.9887,53.74679999999999,,
87,K00635,,,0.6688822375721236,,,,,54.081100000000006,,
88,K00640,,,0.6712231336580781,,,,,14.4434,,
89,K00641,,,0.6284328388165334,,,,,22.9238,,
90,K00645,,,0.7040000000000001,,,,,4.7824,,
91,K00648,,,0.6541079881282943,,,,,9.163599999999999,,
92,K00655,,,0.6617586407136068,,,,,13.4983,,
93,K00657,,,0.6113904480699661,,,,,4.0812,,
94,K00661,,,0.612,,,,,1.775,,
95,K00673,,,0.675,,,,,3.1084,,
96,K00674,,,0.6735071463559517,,,,,36.8915,,
97,K00677,,,0.617,,,,,1.4938,,
98,K00684,,,0.6769946249311131,,,,,7.2905,,
99,K00688,,,0.6344552396915604,,,,,62.9951,,
100,K00694,,,0.619,,,,,4.1994,,
101,K00700,,,0.5720000000000001,,,,,6.9908,,
102,K00703,,,0.6717229298123196,,,,,4.9239,,
103,K00721,,,0.6779999999999999,,,,,2.3647,,
104,K00748,,,0.735,,,,,3.7533,,
105,K00759,,,0.6208619176528902,,,,,4.000299999999999,,
106,K00760,,,0.6754648501250663,,,,,14.0843,,
107,K00762,,0.622,0.6796108176473209,,,,4.8958,4.1495999999999995,,
108,K00763,,,0.688,,,,,2.1551,,
109,K00764,,0.669,0.6576478145416235,,,,2.1837,47.2709,,
110,K00765,,,0.665,,,,,9.5361,,
111,K00766,,,0.6643718290660404,,,,,13.1829,,
112,K00768,,,0.7120000000000001,,,,,2.9441,,
113,K00783,,,0.615,,,,,7.7398,,
114,K00784,,0.642,0.616,,,,2.6518,4.1353,,
115,K00789,,,0.6551431627927332,,,,,96.7363,,
116,K00790,,,0.671506394603419,,,,,23.8217,,
117,K00793,,,0.6422953692392258,,,,,11.0221,,
118,K00794,,0.711,0.6649419998795939,,,,4.2265,25.6662,,
119,K00797,,,0.6660381131347086,,,,,24.018400000000003,,
120,K00798,,0.637,0.6879425934573646,,,,3.3137,22.9552,,
121,K00799,,,0.6155389859106362,,,,,90.8595,,
122,K00800,,,0.6616207695934618,,,,,6.910399999999999,,
123,K00806,,,0.58,,,,,2.4443,,
124,K00808,,,0.62,,,,,6.5426,,
125,K00820,,0.66,0.6697109604945213,,,,4.1573,30.5904,,
126,K00831,,,0.5889999999999999,,,,,2.2519,,
127,K00855,,,0.654,,,,,2.6447,,
128,K00857,,,0.557,,,,,3.0663,,
129,K00858,,0.603,0.691217406341861,,,,3.162,8.158000000000001,,
130,K00859,,,0.6807484020173331,,,,,19.3803,,
131,K00865,,,0.680532819238951,,,,,8.1946,,
132,K00867,,,0.6123734338214702,,,,,12.9103,,
133,K00873,,,0.6519028853781995,,,,,58.844899999999996,,
134,K00876,,,0.5757207356182876,,,,,4.1547,,
135,K00891,,,0.6609999999999999,,,,,8.2663,,
136,K00912,,,0.6318303686716943,,,,,11.060699999999999,,
137,K00925,,,0.6755032524490161,,,,,4.5728,,
138,K00926,,,0.6107033880981613,,,,,5.7854,,
139,K00927,,,0.6535992135184958,,,,,31.917499999999997,,
140,K00930,,,0.6533183173673436,,,,,10.4631,,
141,K00937,,,0.659,,,,,6.5898,,
142,K00939,,,0.6459999999999999,,,,,9.5213,,
143,K00940,,,0.6026392863986234,,,,,14.5319,,
144,K00942,,,0.638,,,,,2.2969,,
145,K00943,,,0.6740857999072823,,,,,6.3418,,
