,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_countsUnclassified
0,K00003,,0.55,0.742,,,,,12.4492,52.4558,,,
1,K00005,,,0.71,,,,,,19.0625,,,
2,K00009,,,0.74,,,,,,30.3824,,,
3,K00010,,,0.723,,,,,,16.5578,,,
4,K00012,,,0.5670000000000001,,,,,,6.4013,,,
5,K00014,,0.5429999999999999,0.725258199015997,,,,,13.6333,28.3124,,,
6,K00015,,0.53,,,,,,11.6697,,,,
7,K00020,,,0.7322352197101792,,,,,,27.4887,,,
8,K00021,,,0.6809999999999999,,,,,,5.3327,,,
9,K00024,,0.523,,,,,,12.9643,,,,
10,K00029,,0.467,,,,,,12.6897,,,,
11,K00031,,,0.664,,,,,,74.5237,,,
12,K00033,,0.445,0.7126529351081309,,0.657,,,13.6427,274.23,,2.9134,
13,K00034,,0.433,,,,,,13.4801,,,,
14,K00036,,,0.6866304988832554,,,,,,22.3334,,,
15,K00053,,0.5354127164220676,0.6939269660786375,,,,,19.1866,102.9251,,,
16,K00054,,0.524,,,,,,13.8562,,,,
17,K00057,,,0.607,,,,,,6.515,,,
18,K00058,,0.5397787002997686,0.687026238759369,,,,,26.6212,41.264,,,
19,K00059,,0.46771706244006134,0.5720000000000001,,,,,24.1548,2.1794,,,
20,K00064,,,0.7559999999999999,,,,,,18.3459,,,
21,K00067,,0.742,0.7282769568599988,,,0.669,,5.8631,87.8989,,,3.0587
22,K00075,,,0.7392479616006659,,,,,,149.7028,,,
23,K00077,0.737,0.7075556820588995,0.7164671570068862,,,,2.5761,11.462,225.6717,,,
24,K00088,,0.5725044866658685,0.6475680878469973,,,,,16.977,25.433799999999998,,,
25,K00091,,,0.727,,,,,,19.7975,,,
26,K00096,,0.568,0.677,,,,,12.4663,2.7668,,,
27,K00099,,,0.7084052772155965,,,,,,127.2482,,,
28,K00108,,,0.6553496205642027,,,,,,39.541399999999996,,,
29,K00111,,,0.716732243045872,,,,,,154.8519,,,
30,K00112,,,0.7691457796150337,,,0.764,,,59.79010000000001,,,12.3045
31,K00113,,,0.6961244560879667,,,,,,48.845299999999995,,,
32,K00119,,,0.692947412033311,,,,,,17.8821,,,
33,K00122,,,0.6783203859506499,,,,,,54.032,,,
34,K00124,,,0.696055432396655,,,,,,81.1271,,,
35,K00127,,,0.67829230485116,,,,,,17.4982,,,
36,K00133,,0.5329999999999999,0.706,,,,,13.6517,13.6823,,,
37,K00134,,,0.6039590914437818,,,,,,33.2191,,,
38,K00135,,0.536,,,,,,14.9515,,,,
39,K00145,,0.5954614911267375,0.7238891970392707,,0.674,,,25.5699,106.57679999999999,,5.5282,
40,K00150,,0.529,,,,,,13.453,,,,
41,K00156,,0.43700000000000006,0.696,,,,,11.1882,15.9025,,,
42,K00162,,,0.629559452217482,,,,,,11.2597,,,
43,K00163,,,0.6863460263352954,,,,,,340.6606,,,
44,K00174,,0.525,0.6918996804103269,,,,,15.3637,116.02720000000001,,,
45,K00175,,0.552,0.61,,,,,15.3637,3.9254,,,
46,K00176,,,0.5670000000000001,,,,,,5.2903,,,
47,K00200,,,0.594,,,,,,3.8113,,,
48,K00201,,,0.608,,,0.756,,,2.7531,,,8.8464
49,K00202,0.757,0.7559999999999999,0.7281407637213916,,,,8.61,10.6421,24.506600000000002,,,
50,K00208,,,0.6809999999999999,,,,,,8.9373,,,
51,K00215,,,0.7097296428163059,,,,,,129.6147,,,
