,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj Monodnaviria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts Monodnaviria,gene_countsUnclassified
0,K00003,,,0.655,,,,,,,9.3692,,,,
1,K00009,,,0.7340000000000001,,,,,,,3.7159,,,,
2,K00020,,,0.7070000000000001,,,,,,,4.7682,,,,
3,K00031,,,0.6658416989937683,,,,,,,37.304899999999996,,,,
4,K00033,,,0.6664014064578226,,,,,,,33.0456,,,,
5,K00036,,,0.691,,,,,,,7.1408,,,,
6,K00039,,,0.583,,,,,,,2.7076,,,,
7,K00053,,,0.6634763910736114,,,,,,,68.9907,,,,
8,K00067,,,0.784,,,,,,,4.5166,,,,
9,K00075,,,0.6797393333604886,,,,,,,32.2157,,,,
10,K00077,,,0.6672136969256016,,,,,,,29.759500000000003,,,,
11,K00091,,,0.679,,,,,,,3.5694,,,,
12,K00099,,,0.6345672888716799,,,,,,,23.2269,,,,
13,K00111,,,0.6729205043817548,,,,,,,31.065700000000003,,,,
14,K00112,,,0.735,,,,,,,2.0824,,,,
15,K00113,,,0.62,,,,,,,5.0661,,,,
16,K00122,,,0.603,,,,,,,6.2634,,,,
17,K00124,,,0.6473241060800218,,,,,,,24.124499999999998,,,,
18,K00127,,,0.6052238517914135,,,,,,,12.1102,,,,
19,K00134,,,0.6277839036220287,,,,,,,15.723500000000001,,,,
20,K00145,,,0.6434645186364931,,,,,,,6.8042,,,,
21,K00163,,,0.6598433802349744,,,,,,,174.9798,,,,
22,K00175,,,0.5422187213658926,,,,,,,8.8177,,,,
23,K00180,,,0.7070000000000001,,,,,,,2.4753,,,,
24,K00208,,,0.667,,,,,,,10.1396,,,,
25,K00215,,,0.712630816746247,,,,,,,6.200699999999999,,,,
26,K00228,,,0.6584797382732969,,,,,,,11.446200000000001,,,,
27,K00230,,,0.691,,,,,,,3.6109,,,,
28,K00231,,,0.581,,,,,,,2.9949,,,,
29,K00240,,,0.6517651103153401,,,,,,,52.593599999999995,,,,
30,K00241,,,0.6156654900301038,,,,,,,18.425,,,,
31,K00242,,,0.6726893781293564,,,,,,,6.1645,,,,
32,K00246,,,0.5751581518094574,,,,,,,9.017800000000001,,,,
33,K00247,,,0.6443667918302255,,,,,,,11.970099999999999,,,,
34,K00275,,,0.6501984162760176,,,,,,,10.782699999999998,,,,
35,K00286,,,0.6722463505550854,,,,,,,16.491500000000002,,,,
36,K00299,,,0.7190000000000001,,,,,,,6.7593,,,,
37,K00304,,,0.716,,,,,,,3.6927,,,,
38,K00311,,,0.616,,,,,,,5.5921,,,,
39,K00330,,,0.6572105589398102,,,,,,,8.1963,,,,
40,K00331,,,0.6661510402988066,,,,,,,86.7159,,,,
41,K00334,,,0.6337018777171399,,,,,,,10.3592,,,,
42,K00338,,,0.6538770102603287,,,,,,,53.4212,,,,
43,K00339,,,0.65,,,,,,,8.6676,,,,
44,K00340,,,0.6250596825139495,,,,,,,19.0917,,,,
45,K00344,,,0.6229413090445675,,,,,,,13.4543,,,,
46,K00363,,,0.7230317138516869,,,,,,,6.3393,,,,
47,K00371,,,0.6508194007631339,,,,,,,13.2783,,,,
48,K00389,,0.384,0.6127561538274716,,,,0.7190000000000001,,2.4839,4.3561,,,,2.513
49,K00390,,,0.6746041489668013,,,,,,,6.1072,,,,
50,K00395,,,0.654,,,,,,,5.6437,,,,
51,K00406,,,0.6671660344329657,,,,,,,6.9302,,,,
52,K00411,,,0.6734626261855012,,,,,,,8.5283,,,,
53,K00413,,,0.647,,0.667,,,,,4.1585,,2.1321,,
54,K00425,,,0.6148305752072347,,,,,,,44.8957,,,,
55,K00426,,,0.6477373528721623,,,,,,,19.6139,,,,
56,K00428,,,0.6089511001361934,,,,,,,10.389,,,,
57,K00432,,,0.49823841179974643,,,,,,,5.489699999999999,,,,
58,K00433,,,0.6267681662511487,,,,,,,34.7696,,,,
59,K00450,,,0.6331411465274235,,,,,,,26.9971,,,,
60,K00451,,,0.6468880242330084,,,,,,,47.403099999999995,,,,
61,K00453,,,0.5985747440549063,,,,0.6709999999999999,,,10.738600000000002,,,,2.7184
62,K00457,,,0.6553637157356913,,,,,,,28.1779,,,,
63,K00459,,,0.7170529739537282,,,,,,,13.7284,,,,
64,K00479,,,0.7340000000000001,,,,,,,5.7135,,,,
65,K00507,,,0.6448287398624757,,,,,,,20.546599999999998,,,,
66,K00508,,,0.5720000000000001,,,,,,,3.5461,,,,
67,K00525,,,0.664723848149417,,,,,,,65.61090000000002,,,,
68,K00540,,,0.6614325697468529,,,,0.667,,,24.742199999999997,,,,2.3988
69,K00545,,,0.642,,,,,,,3.365,,,,
70,K00548,,,0.6509876446580672,,,,,,,93.1793,,,,
71,K00549,,0.7040000000000002,0.6492342804284451,,,,,,3.5917,213.19289999999998,,,,
72,K00554,,,0.6668969822276223,,,,,,,16.3841,,,,
73,K00560,,,0.6117336753565552,,,,,,,19.7977,,,,
74,K00564,,,0.693,,,,,,,2.5084,,,,
75,K00571,,,0.6550650247078201,,,,,,,15.582,,,,
76,K00573,,,0.6348056154972768,,,,,,,32.0211,,,,
77,K00574,,,0.6265786648212044,,,,,,,16.6467,,,,
78,K00598,,,0.662,,,,,,,4.0243,,,,
79,K00600,,0.39799999999999996,0.6909432197207686,,,,,,4.1671,57.3183,,,,
80,K00602,,,0.6361482781108236,,,,,,,13.8291,,,,
81,K00606,,,0.6239272713872386,,,,,,,45.6156,,,,
82,K00609,,,0.6839329831531166,,,,,,,13.587,,,,
83,K00626,,,0.655936754011118,,,,,,,23.447,,,,
84,K00635,,,0.6857677056579324,,,,,,,24.3011,,,,
85,K00640,,,0.6697625254418783,,,,,,,23.3702,,,,
86,K00641,,,0.6309152888969883,,0.7159999999999999,,,,,42.40709999999999,,2.9062,,
87,K00648,,,0.627,,,,,,,5.8405,,,,
88,K00655,,,0.7262982919437263,,,,,,,6.7101999999999995,,,,
89,K00661,,,0.659,,,,,,,9.5074,,,,
90,K00674,,,0.6778064644168477,,,,,,,12.2929,,,,
91,K00677,,,0.6651574358064434,,,,,,,8.3835,,,,
92,K00682,,,0.7040000000000001,,,,,,,3.7515,,,,
93,K00683,,,0.5061837622086928,,,,,,,6.0556,,,,
94,K00684,,,0.6365147501509298,,,,,,,12.8055,,,,
95,K00688,0.664,,0.6314751075494287,,,,,13.9499,,161.35629999999998,,,,
96,K00700,,,0.6355955688886397,,,,,,,28.061300000000003,,,,
97,K00759,,,0.6139817121056848,,,,,,,15.593399999999999,,,,
98,K00760,,,0.6319804606340991,,,,,,,24.3616,,,,
99,K00762,,,0.6701194341164501,,,,,,,16.744899999999998,,,,
100,K00763,,,0.5872955994829988,,,,,,,6.264,,,,
101,K00764,,,0.645630102780467,,,,,,,35.9567,,,,
102,K00765,,,0.6763493193947279,,,,,,,11.5734,,,,
103,K00766,,0.365,0.6953128153245401,,,,,,2.7995,28.7699,,,,
104,K00768,,,0.6610658640144428,,,,,,,10.4129,,,,
105,K00773,,,0.5920000000000001,,,,,,,3.2832,,,,
106,K00783,,,0.6160626157781319,,,,,,,4.6196,,,,
107,K00789,,0.433,0.6751185933710048,,,,,,1.9125,137.5518,,,,
108,K00790,,,0.654651178572143,,,,,,,24.436099999999996,,,,
109,K00791,,,0.731,,,,,,,3.2214,,,,
110,K00793,,,0.6290239178531158,,,,,,,9.781400000000001,,,,
111,K00794,,,0.7531801900595749,,,,,,,10.169699999999999,,,,
112,K00797,,,0.6490851381553521,,,,,,,17.380899999999997,,,,
113,K00798,,,0.687,,,,0.716,,,3.2685,,,,3.2685
114,K00799,,,0.6430973218044096,,,,,,,72.68979999999999,,,,
115,K00800,,,0.6496276681552935,,,,,,,6.4475,,,,
116,K00808,,,0.685,,,,,,,8.9251,,,,
117,K00809,,,0.647,,,,,,,5.2247,,,,
118,K00820,,,0.6654745961045836,,,,,,,41.0354,,,,
119,K00826,,,0.6760643436308138,,,,,,,11.5102,,,,
120,K00831,,,0.6134066591612192,,,,,,,5.7603,,,,
121,K00851,,,0.547,,,,,,,2.4184,,,,
122,K00857,,,0.5574174058520988,,,,,,,12.4662,,,,
123,K00858,,,0.6590902927632978,,,,,,,17.2228,,,,
124,K00859,,,0.688,,,,0.69,,,4.7475,,,,2.5022
125,K00865,,,0.7705902043777385,,,,,,,6.2607,,,,
126,K00867,,,0.6271486864517115,,,,,,,14.511,,,,
127,K00873,,,0.6770780079848718,,,,,,,53.58890000000001,,,,
128,K00891,,,0.58,,,,,,,2.4168,,,,
129,K00899,,,0.6509999999999999,,,,,,,2.7371,,,,
130,K00912,,,0.6179023660232941,,,,,,,8.2491,,,,
131,K00919,,,0.7254856020519931,,,,,,,11.6991,,,,
132,K00925,,,0.6054900221745231,,,,,,,42.9953,,,,
133,K00926,,,0.7150252152176113,,,,,,,23.299300000000002,,,,
134,K00927,,,0.6361504566350287,,,,,,,32.07,,,,
135,K00936,,,0.49175521439519754,,,,,,,6.0082,,,,
136,K00937,,,0.631,,,,,,,10.6932,,,,
137,K00939,,,0.7020000000000001,,,,,,,5.1957,,,,
138,K00940,,,0.609,,,,,,,2.9207,,,,
139,K00942,,,0.6847552963068995,,,,,,,9.7804,,,,
140,K00943,,0.341,0.68,,,,,,4.7658,5.0161,,,,
141,K00945,,,0.6900534208271133,,,,,,,24.648200000000003,,,,
142,K00946,,,0.64,,,,,,,2.4857,,,,
143,K00948,,,0.641543531745382,,,,,,,88.2499,,,,
144,K00950,,,0.664,,,,,,,3.0226,,,,
145,K00954,,,0.6424797817406939,,,,,,,36.1075,,,,
146,K00957,,,0.6602597405068036,,,,,,,21.969500000000004,,,,
147,K00969,,,0.6438578603812317,,,,,,,13.802999999999999,,,,
148,K00971,,,0.56,,,,,,,2.9936,,,,
149,K00975,,,0.6569559647867428,,,,,,,15.511199999999999,,,,
150,K00979,,,0.66,,,,,,,4.6785,,,,
151,K00981,,,0.6117368551183741,,,,,,,18.5786,,,,
152,K00986,,,0.6075242520962482,,,,,,,453.6695999999999,,,,
153,K00989,,,0.7267686424968024,,,,,,,13.6461,,,,
154,K00990,,,0.6781443601745084,,,,,,,14.5636,,,,
155,K00997,,,0.7056545869096223,,,,,,,9.0337,,,,
156,K01000,,,0.672364581775553,,,,,,,25.0938,,,,
157,K01005,,,0.6925908810663578,,,,0.725,,,20.2299,,,,3.9904
158,K01006,,,0.636,,,,,,,11.3307,,,,
159,K01008,,,0.7020000000000001,,,,,,,3.4543,,,,
160,K01039,,,0.699016838944846,,,,,,,24.5898,,,,
161,K01040,,,0.7080335140748902,,,,,,,12.5075,,,,
162,K01042,,,0.743,,,,,,,5.2916,,,,
163,K01048,,,0.65,,,,,,,4.3401,,,,
164,K01053,,,0.604,,,,,,,5.5311,,,,
165,K01055,,,0.669,,,,,,,7.5102,,,,
166,K01056,,,0.6818540089371933,,,,0.757,,,19.443,,,,3.633
167,K01060,,,0.640349547697272,,,,,,,6.5661000000000005,,,,
168,K01061,,,0.6562508171088145,,,,,,,81.74390000000001,,,,
169,K01068,,,0.527,,,,,,,1.7937,,,,
170,K01069,,,0.638,,,,,,,10.0291,,,,
171,K01070,,,0.6393815173893959,,,,,,,6.1507000000000005,,,,
172,K01079,,,0.6903867384511422,,,,,,,5.7943,,,,
173,K01083,,,0.649,,,,,,,1.7544,,,,
174,K01095,,,0.679,,,,,,,1.4963,,,,
175,K01104,,,0.6814450749936107,,,,,,,4.7621,,,,
176,K01113,,,0.6294929094092274,,,,,,,20.977800000000002,,,,
177,K01114,,,0.672,,,,,,,4.5607,,,,
178,K01118,,,0.660035116641988,,,,,,,13.617899999999999,,,,
179,K01129,,,0.7001019969215955,,,,,,,33.6984,,,,
