,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj Riboviria,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts Riboviria,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.7310852474801766,,,,,,,,24.9322,,,,,
1,K00012,,,0.5739166980757943,,,,,,,,13.729700000000001,,,,,
2,K00014,,,0.6101492832161013,,,,,,,,21.1052,,,,,
3,K00020,,,0.6447814479765328,,,,,,,,16.5864,,,,,
4,K00022,,,0.536,,,,,,,,13.5453,,,,,
5,K00024,,,0.5760000000000001,,,,,,,,9.5822,,,,,
6,K00029,,,0.6871098570913702,,,,,,,,11.746099999999998,,,,,
7,K00030,,,0.5710473888562706,,,,,,,,23.997,,,,,
8,K00031,,,0.6659681247128665,,,,,,,,15.9909,,,,,
9,K00033,,,0.6188281461393563,,,,,,,,211.70279999999997,,,,,
10,K00036,,,0.5648286187257289,,,,,,,,48.4393,,,,,
11,K00052,,,0.713,,,,,,,,9.1408,,,,,
12,K00053,,,0.6455554402671839,,,,,,,,121.5967,,,,,
13,K00057,,,0.7201423400699111,,,,,,,,34.0132,,,,,
14,K00058,,,0.6085072274221596,,,,,,,,15.3984,,,,,
15,K00059,,,0.6113336717094414,,,,,,,,39.373200000000004,,,,,
16,K00064,,,0.6827934200481517,,,,,,,,9.0736,,,,,
17,K00066,,,0.5489999999999999,,,,,,,,5.9478,,,,,
18,K00067,,,0.6291869355643451,,,,,,,,48.0308,,,,,
19,K00074,,,0.536,,,,,,,,13.5453,,,,,
20,K00075,,,0.6394701992509721,,,,,,,,83.37209999999999,,,,,
21,K00077,,,0.652105105967074,,,,,0.597,,,193.4504,,,,,5.5826
22,K00088,,,0.6216931143633423,,,,,,,,33.3185,,,,,
23,K00091,,,0.6130763001376591,,,,,,,,39.141000000000005,,,,,
24,K00096,,0.675,,,,,,,,3.2121,,,,,,
25,K00099,,,0.6327473756286617,,,,,,,,131.21349999999998,,,,,
26,K00108,,,0.728,,,,,,,,9.4311,,,,,
27,K00111,,,0.686329579969289,,,,,,,,92.1071,,,,,
28,K00113,,,0.684,,,,,,,,10.5396,,,,,
29,K00116,,,0.606226805719595,,,,,,,,27.786599999999996,,,,,
30,K00122,,,0.6032929640754919,,,,,,,,17.001800000000003,,,,,
31,K00124,,,0.6024492304996223,,,,,,,,101.0068,,,,,
32,K00126,,,,,,,,0.6437299275274924,,,,,,,,14.4929
33,K00127,,,0.5615022998392006,,,,,,,,47.6887,,,,,
34,K00128,,,0.6302395772308433,,,,,,,,13.9636,,,,,
35,K00133,,,0.6954198193480822,,,,,,,,29.1523,,,,,
36,K00134,,,0.6388155928837742,,,,,,,,52.2575,,,,,
37,K00140,,,0.7,,,,,,,,18.3091,,,,,
38,K00145,,0.7020000000000001,0.6144229417079295,,,,,,,5.1892,48.4929,,,,,
39,K00146,,,0.674,,,,,,,,7.8783,,,,,
40,K00147,,,0.596,,,,,,,,6.1138,,,,,
41,K00150,,0.7070000000000002,,,,,,,,4.0182,,,,,,
42,K00153,,,0.721,,,,,,,,19.9025,,,,,
43,K00156,,,0.568,,,,,,,,8.9008,,,,,
44,K00161,,,0.636,,,,,,,,7.9559,,,,,
45,K00162,,,0.5820000000000001,,,,,,,,12.2757,,,,,
46,K00163,,,0.6100213430059339,,,,,,,,372.1203,,,,,
47,K00174,,,0.6823884059611718,,,,,,,,48.2854,,,,,
48,K00175,,,0.5751267536728035,,,,,,,,46.6893,,,,,
49,K00180,,,0.7090000000000001,,,,,,,,6.2313,,,,,
50,K00208,,,0.625053117691553,,,,,,,,27.9116,,,,,
51,K00215,,0.706,0.6226421953264718,,,,,,,7.0051,39.327299999999994,,,,,
52,K00217,,,0.7190000000000001,,,,,,,,7.7334,,,,,
53,K00227,,,0.525,,,,,,,,4.0554,,,,,
54,K00228,,,0.679472397528438,,,,,,,,19.5748,,,,,
55,K00231,,,0.6340510601153044,,,,,,,,43.0695,,,,,
56,K00232,,,0.63,,,,,,,,5.5401,,,,,
57,K00240,,,0.6307484075784624,,,,,,,,82.8869,,,,,
58,K00241,,,0.576035570701683,,,,,,,,57.85040000000001,,,,,
59,K00242,,,0.6489012628440461,,,,,,,,9.6321,,,,,
60,K00249,,,0.6083375984157433,,,,,,,,44.0624,,,,,
61,K00252,,,0.578307619689818,,,,,,,,25.6398,,,,,
62,K00254,,,0.6970000000000001,,,,,,,,4.7979,,,,,
63,K00259,,,0.6579999999999999,,,,,,,,4.6843,,,,,
64,K00271,,,0.6990000000000001,,,,,,,,12.4671,,,,,
65,K00273,,,0.7090000000000001,,,,,,,,10.5376,,,,,
66,K00275,,,0.7024272959397063,,,,,,,,76.99799999999999,,,,,
67,K00282,,,0.6920000000000001,,,,,,,,6.306,,,,,
68,K00283,,,0.584,,,,,,,,12.4232,,,,,
69,K00285,,,0.703,,,,,,,,4.0911,,,,,
70,K00286,,,0.6478502161667274,,,,,,,,110.23000000000002,,,,,
71,K00287,,,0.7048337570920061,,,,,,,,8.5226,,,,,
72,K00294,,,0.6559999999999999,,,,,,,,7.6105,,,,,
73,K00297,,0.711,0.701106729722323,,,,,,,9.3581,29.227600000000002,,,,,
74,K00299,,,0.7024685116307916,,,,,,,,30.594,,,,,
75,K00304,,,0.6855886494932683,,,,,,,,6.9235,,,,,
76,K00305,,,0.755,,,,,,,,2.9691,,,,,
77,K00311,,,0.6034560867684574,,,,,,,,20.933799999999998,,,,,
78,K00316,,,0.5599721784600276,,,,,,,,22.762700000000002,,,,,
79,K00320,,,0.56,,,,,,,,8.1934,,,,,
80,K00324,,,0.6508757899513857,,,,,,,,19.3755,,,,,
81,K00330,,,0.5665101418738708,,,,,,,,112.31319999999998,,,,,
82,K00331,,,0.5843741841289815,,,,,,,,26.996699999999997,,,,,
83,K00332,,,0.6670000000000001,,,,,,,,17.1829,,,,,
84,K00334,,,0.6259335627385915,,,,,,,,60.4153,,,,,
85,K00337,,,0.5579999999999999,,,,,,,,10.6191,,,,,
86,K00338,,,0.5968100605870684,,,,,,,,115.838,,,,,
87,K00339,,,0.6231060360258691,,,,,,,,44.7656,,,,,
88,K00340,,,0.5703355091497553,,,,,,,,95.76310000000001,,,,,
89,K00342,,,0.5630854361488429,,,,,,,,28.285899999999998,,,,,
90,K00343,,,0.5755029364541114,,,,,,,,29.9262,,,,,
91,K00344,,,0.5987295206753347,,,,,,,,32.7001,,,,,
92,K00363,,,0.647,,,,,,,,9.4446,,,,,
93,K00384,,,0.5741928852474641,,,,,,,,53.1313,,,,,
94,K00389,,,0.5991666354490545,,,,,0.5607930102258454,,,39.134899999999995,,,,,12.5619
95,K00390,,,0.5839954802011756,,,,,,,,45.6831,,,,,
