,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.6950095144612773,,,,,,,66.9195,,,,
1,K00009,,,0.7033389356386877,,,,,,,29.1009,,,,
2,K00010,,,0.7240000000000001,,,,,,,7.5261,,,,
3,K00012,,,0.658075538980686,,,,,,,35.336299999999994,,,,
4,K00014,,0.539,0.7208063434196964,,,,,,9.0893,48.322399999999995,,,,
5,K00015,,0.534,,,,,,,7.497,,,,,
6,K00019,,,0.665,,,,,,,8.5862,,,,
7,K00020,,,0.6490352891818922,,,,,,,47.970600000000005,,,,
8,K00021,,,0.691,,,,,,,15.186,,,,
9,K00023,,,0.6709999999999999,,,,,,,8.9395,,,,
10,K00024,,0.526,0.6818001269684469,,,,,,9.5363,29.386000000000003,,,,
11,K00029,,0.452,,,,,,,7.1817,,,,,
12,K00031,,,0.6354898927926526,,,,,,,31.4363,,,,
13,K00033,,0.5181375122999659,0.6999433433218537,,,,,,10.964500000000001,250.23039999999997,,,,
14,K00034,,0.429,,,,,,,10.423,,,,,
15,K00036,,,0.6499824918074761,,,,,,,53.4433,,,,
16,K00053,,0.5333667438899884,0.6402983744624835,,,,,,12.8644,68.2074,,,,
17,K00054,,0.4934718023840058,,,,,,,16.559800000000003,,,,,
18,K00057,,,0.651561098663574,,,,,,,31.069999999999997,,,,
19,K00058,,0.5479999999999999,0.7303503745859493,,,,,,10.4815,47.5233,,,,
20,K00059,,0.429,0.679663980685933,,0.687,,,,10.423,108.9596,,12.5344,,
21,K00064,,,0.7139873788077676,,,,,,,22.7351,,,,
22,K00065,,,0.604,,,,,,,8.1129,,,,
23,K00067,,,0.7031465133577928,,,,0.623,,,141.8138,,,,4.5199
24,K00074,,,0.6945155417936238,,,,,,,20.169800000000002,,,,
25,K00075,,,0.7107890040911159,,,,,,,161.423,,,,
26,K00077,,,0.6983094524092073,,0.637,,0.6970000000000001,,,327.94019999999995,,11.5701,,7.226
27,K00088,,0.5223343968897054,0.672671152962052,,,,,,18.784100000000002,59.0996,,,,
28,K00091,,,0.7113611817129868,,,,,,,14.8252,,,,
29,K00096,,0.568,0.742774461326013,,,,,,8.8444,27.963,,,,
30,K00099,,,0.7037448361196796,,,,,,,163.0954,,,,
31,K00101,,,0.736,,,,,,,9.9479,,,,
32,K00108,,,0.711,,,,,,,10.0967,,,,
33,K00111,,,0.7142993833457644,,,,,,,175.20790000000002,,,,
34,K00112,,,0.7377565399064658,,,,0.752,,,35.0633,,,,4.1014
35,K00113,,,0.6896282948004945,,,,,,,17.8686,,,,
36,K00119,,,0.6839999999999999,,,,,,,6.1217,,,,
37,K00122,,0.42073317557373924,0.6785976439272492,,,,,,11.1586,62.3536,,,,
38,K00124,,,0.5766138858253242,,,,,,,9.5657,,,,
39,K00127,,,0.6396287880796325,,,,,,,26.2453,,,,
40,K00133,,0.531,0.6920902965241601,,,,,,8.5705,57.7104,,,,
41,K00134,,,0.658649726340028,,,,,,,103.83320000000002,,,,
42,K00135,,0.537,0.623,,,,,,10.6783,10.6338,,,,
43,K00140,,,0.668085204712263,,,,,,,30.8923,,,,
44,K00145,,0.539,0.7158484871172609,,,,,,9.2105,109.7809,,,,
45,K00147,,,0.704,,,,,,,10.133,,,,
46,K00150,,0.528,,,,,,,7.8923,,,,,
47,K00156,,0.439,,,,,,,8.3712,,,,,
48,K00161,,0.6920000000000001,0.6239179198787153,,,,,,11.2239,14.866,,,,
49,K00163,,,0.6662059416515203,,,,,,,389.0147999999999,,,,
50,K00174,,0.4991320075962793,0.6735035108230043,,,,,,22.8029,99.2663,,,,
51,K00175,,0.5555920916022556,0.6436462889975376,,,,,,21.147,88.71579999999999,,,,
52,K00176,,,0.5660000000000001,,,,,,,12.6431,,,,
53,K00180,,,0.6921585324412637,,,,,,,13.384800000000002,,,,
54,K00196,,,0.583,,,,,,,8.4091,,,,
55,K00200,,,0.6760519095629675,,,,,,,34.484,,,,
56,K00202,,0.75,,,,,0.747,,15.8636,,,,,10.5117
57,K00208,,,0.722,,,,,,,14.6792,,,,
58,K00215,,,0.7009450054265375,,,,,,,149.72449999999995,,,,
59,K00217,,,0.7617291420697725,,,,,,,36.5651,,,,
60,K00221,,,0.7090768534557434,,0.7120000000000001,,0.7036017084463856,,,59.988299999999995,,3.2005,,8.1486
61,K00228,,,0.6809500135992621,,,,,,,33.0449,,,,
62,K00230,,,0.672,,,,,,,5.3852,,,,
63,K00231,,,0.71400499241297,,,,,,,42.5114,,,,
64,K00232,,,0.7250289007213272,,,,,,,24.8014,,,,
65,K00240,,0.49892459274402223,0.648662144162707,,,,,,13.7939,197.14529999999996,,,,
66,K00241,,,0.6479492839701598,,,,,,,61.3754,,,,
67,K00242,,,0.6840349569137613,,,,,,,37.789699999999996,,,,
68,K00245,,,0.541,,,,,,,3.3627,,,,
69,K00246,,,0.583,,,,,,,10.6911,,,,
70,K00247,,,0.5480238183800241,,,,,,,21.9591,,,,
71,K00249,,,0.6727211150351893,,,,,,,180.60750000000002,,,,
72,K00252,,,0.691,,,,,,,15.8191,,,,
73,K00254,,,0.6418920414878033,,,,,,,20.018500000000003,,,,
74,K00259,,,0.6702788187557439,,,,,,,53.586,,,,
75,K00261,,0.541,,,,,,,9.3996,,,,,
76,K00263,,,0.718,,,,,,,6.992,,,,
77,K00274,,,0.74,,,,,,,10.0629,,,,
78,K00275,,0.4320000000000001,0.7217959379287155,,,,,,5.5993,202.4313,,,,
79,K00278,,,0.736,,,,,,,12.8393,,,,
80,K00285,,,0.6779999999999999,,,,,,,8.0671,,,,
81,K00286,,,0.6846205497385339,,0.636,,0.721,,,135.3208,,12.2866,,5.9848
82,K00287,,,0.6588230021695285,,,,,,,18.0517,,,,
83,K00297,,,0.6655626462447162,,,,,,,31.5332,,,,
84,K00299,,,0.7212639086734035,,,,,,,17.4668,,,,
85,K00303,,,0.726,,,,,,,12.7002,,,,
86,K00304,,,0.684302422021382,,,,,,,9.8774,,,,
87,K00305,,,0.693,,,,,,,6.4487,,,,
88,K00311,,,0.7043929452238105,,,,,,,70.57849999999999,,,,
89,K00316,,,0.635,,,,,,,9.143,,,,
90,K00320,,0.51,0.6799087583247966,,,,,,7.8414,48.4821,,,,
91,K00322,,,0.6339271375419864,,,,,,,19.6011,,,,
92,K00324,,,0.716,,,,,,,7.56,,,,
93,K00325,,,0.698,,,,,,,20.4234,,,,
94,K00330,,,0.6206129332398231,,,,,,,152.3132,,,,
95,K00331,,,0.5837635539405973,,,,,,,51.744800000000005,,,,
96,K00332,,,0.651869180300503,,,,,,,40.0511,,,,
97,K00333,,,0.58,,,,,,,11.7468,,,,
98,K00334,,,0.6690830387399607,,,,,,,113.07570000000001,,,,
99,K00337,,,0.6163750298185983,,,,,,,22.459,,,,
100,K00338,,,0.6646303954954039,,,,,,,144.70460000000003,,,,
101,K00339,,,0.6671152384636765,,,,,,,77.742,,,,
102,K00340,,0.545,0.6328320492234129,,,,0.63,,7.8413,180.6635,,,,21.1388
103,K00341,,,0.563,,,,,,,7.2752,,,,
104,K00343,,0.563,0.6969619150412094,,,,,,8.233,72.8657,,,,
105,K00344,,0.550472328012495,0.6867664327313753,,,,,,18.0499,71.46289999999999,,,,
106,K00363,,,0.6564514960362788,,,,,,,19.503,,,,
107,K00365,,,0.7140000000000001,,,,,,,16.6892,,,,
108,K00368,,0.442,0.6826971450827249,,,,,,9.2427,21.392000000000003,,,,
109,K00375,,,0.7215857010901914,,,,,,,41.063599999999994,,,,
110,K00382,,,0.701,,,,,,,14.1807,,,,
111,K00384,,0.5489999999999999,0.6926350808787939,,,,,,8.7431,53.2278,,,,
112,K00389,,,0.703721305988378,,,,,,,99.916,,,,
113,K00390,,0.44262048936045223,0.6666119552866356,,,,,,16.2277,112.306,,,,
114,K00411,,,0.6632565142890355,,,,,,,20.2394,,,,
115,K00412,,,0.639,,,,,,,8.469,,,,
116,K00413,,,0.6702373993919437,,,,,,,10.6258,,,,
117,K00425,,,0.668396719915666,,,,,,,421.2391,,,,
118,K00426,,,0.6999571716341355,,,,0.7316112628482307,,,226.82569999999998,,,,14.2191
119,K00428,,,0.6158750648670239,,,,,,,89.6484,,,,
120,K00432,,,0.6711844543854931,,,,,,,43.0116,,,,
121,K00433,,,0.6424245350872394,,,,,,,142.3195,,,,
122,K00441,,,0.731,,,,,,,15.6754,,,,
123,K00446,,,0.6977572190106118,,,,,,,17.29,,,,
124,K00448,,,0.7445177518358889,,,,,,,29.2138,,,,
125,K00449,,,0.6974292929466007,,,,,,,55.179500000000004,,,,
126,K00450,,,0.6182463104631517,,,,,,,116.14470000000001,,,,
127,K00451,,,0.6729892469260533,,,,,,,278.4537,,,,
128,K00452,,,0.6248265068722546,,,,,,,17.540300000000002,,,,
129,K00453,,,0.6849043218475267,,,,0.745,,,181.59419999999997,,,,11.6132
130,K00456,,,,,,,0.5893301444437357,,,,,,,5.5113
131,K00457,,,0.6752640591206286,,,,,,,343.05299999999994,,,,
132,K00459,,,0.7109937953666216,,,,,,,103.82759999999998,,,,
133,K00463,,,0.565,,,,,,,3.2306,,,,
134,K00477,,,0.6779999999999998,,,,,,,8.1314,,,,
135,K00480,,,0.614,,,,,,,5.4888,,,,
136,K00481,,,0.7122646187405441,,,,,,,54.1907,,,,
137,K00483,,,0.632,,,,,,,12.8256,,,,
138,K00485,,,0.741,,,,,,,5.2635,,,,
139,K00496,,,0.71,,,,,,,3.8383,,,,
140,K00500,,,0.69,,,,,,,10.1686,,,,
141,K00505,,,0.447,,,,,,,6.7407,,,,
142,K00507,,,0.694575308416089,,,,,,,166.1272,,,,
143,K00518,,,0.6575902655077521,,,,,,,34.829499999999996,,,,
144,K00520,,,0.7090390015468834,,,,,,,10.4154,,,,
145,K00525,,0.5307815017880358,0.6491869695903899,,,,,,35.806200000000004,84.51129999999999,,,,
146,K00529,,,0.753,,,,,,,11.4927,,,,
147,K00537,,,0.7231059266836275,,,,,,,11.4381,,,,
148,K00540,,0.508,0.6979948533093855,,,,,,7.0552,259.05060000000003,,,,
149,K00544,,,0.6831130073333828,,,,,,,42.4118,,,,
150,K00548,,0.4859440017533335,0.6511513329408264,,0.613,,,,15.3103,96.0386,,10.2065,,
151,K00549,,0.5710000000000001,0.661992191936725,,,,0.6894711479510509,,9.6754,1534.1767000000004,,,,12.981000000000002
152,K00554,,,0.7013684322864163,,,,0.583,,,173.75959999999998,,,,3.2363
153,K00555,,0.49617002698735213,,,,,,,13.338799999999999,,,,,
154,K00560,,,0.6331461693456152,,,,,,,19.3398,,,,
155,K00563,,,0.731,,,,,,,3.7836,,,,
156,K00564,,,0.725,,,,,,,11.2836,,,,
157,K00566,,,0.7083173492873533,,,,,,,26.4095,,,,
158,K00567,,,0.7276272321631635,,,,,,,105.94120000000001,,,,
159,K00570,,,0.5379804491962951,,,,,,,10.434899999999999,,,,
160,K00571,,0.531,,,,,,,7.9521,,,,,
161,K00573,,,0.6931664283428004,,,,,,,321.2019,,,,
162,K00574,,,0.6985545505011258,,,,,,,108.0111,,,,
163,K00575,,,0.665,,,,,,,10.5524,,,,
164,K00577,,0.557,,,,,,,8.2395,,,,,
165,K00588,,0.529,0.6898311976269661,,,,,,7.8673,129.8199,,,,
166,K00595,,,0.72,,,,,,,6.0069,,,,
167,K00598,,,0.7317708408122703,,,,,,,43.89490000000001,,,,
168,K00600,,0.5289370556220221,0.6818140883936274,,,,,,11.7478,422.9345,,,,
169,K00602,,,0.6976497554832225,,,,,,,311.62429999999995,,,,
170,K00604,,,0.7215607244995645,,,,,,,26.9728,,,,
171,K00605,,,0.6828958594043383,,,,,,,39.92750000000001,,,,
172,K00606,,0.5379999999999999,0.6878961676211688,,,,,,6.6372,262.7674999999999,,,,
173,K00609,,0.4850224702662081,0.6933501167803041,,,,,,12.0335,129.8047,,,,
174,K00610,,0.531367678399344,,,,,,,17.924500000000002,,,,,
175,K00611,,,0.6585194700979953,,,,,,,53.0274,,,,
176,K00612,,,0.546,,,,,,,3.4915,,,,
