,KEGG,GC_adj ,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00003,,0.675,,,,4.9554,,
1,K00012,,0.47,,,,2.9324,,
2,K00029,,0.4974676397941694,,,,7.737399999999999,,
3,K00031,,0.5436906261644996,,,,12.8885,,
4,K00033,,0.6327067812434598,,,,18.5214,,
5,K00045,,0.623,,,,5.2615,,
6,K00053,,0.584,,,,6.4815,,
7,K00057,,0.5313945185270025,,,,8.2438,,
8,K00059,,0.6518355711302657,,,,15.7371,,
9,K00075,,0.5368274242227242,,,,6.5112,,
10,K00077,,0.6476565718761176,,,,22.7583,,
11,K00099,,0.5724959797918329,,,,14.315499999999998,,
12,K00111,,0.66125256930783,,,,14.0705,,
13,K00116,,0.684,,,,4.2503,,
14,K00124,,0.6459587407823537,,,,11.6175,,
15,K00133,,0.603,,,,6.7564,,
16,K00134,,0.469,,,,3.5894,,
17,K00163,,0.63513728373783,,,,96.10230000000001,,
18,K00174,,0.688,,,,6.8713,,
19,K00208,,0.463,,,,4.3404,,
20,K00228,,0.5536154262862515,,,,11.0624,,
21,K00232,,0.54,,,,2.0887,,
22,K00240,,0.626817989490842,,,,19.7317,,
23,K00241,,0.679,,,,2.569,,
24,K00242,,0.5207405560903342,,,,6.8746,,
25,K00286,,0.5717485951299491,,,,7.2238,,
26,K00311,,0.5720000000000001,,,,4.7682,,
27,K00330,,0.5762826313606433,,,,15.0043,,
28,K00331,,0.481,,,,3.8025,,
29,K00334,,0.6336816753021673,,,,16.200400000000002,,
30,K00338,,0.5920000000000001,,,,7.4066,,
31,K00339,,0.6627458281055654,,,,7.0626,,
32,K00340,,0.38,,,,4.4962,,
33,K00343,,0.442,,,,4.1771,,
34,K00390,,0.6607869772726904,,,,12.8845,,
35,K00406,,0.6143907881118642,,,,7.6579999999999995,,
36,K00411,,0.41,,,,3.4343,,
37,K00412,,0.605,0.304,,,10.4538,11.0573,
38,K00413,,0.454,,,,3.5137,,
39,K00425,,0.5767940889070313,,,,43.3557,,
40,K00426,,0.556604440325954,,,,21.83,,
41,K00433,,0.63585309684884,,,,25.459400000000002,,
42,K00449,,0.6026677635555316,,,,7.0367999999999995,,
43,K00451,,0.6528129719438321,,,,14.8488,,
44,K00452,,0.6,,,,1.365,,
45,K00453,,0.721,,,,2.6362,,
46,K00457,,0.6525855889855295,,,,10.6903,,
47,K00459,,0.6666491490730948,,,,30.3578,,
48,K00469,,0.574,,,,2.398,,
49,K00496,,0.6422595691954155,,,,19.667800000000003,,
50,K00500,,0.621,,,,2.3914,,
51,K00507,,0.6260546381814874,,,,27.005899999999997,,
52,K00525,,0.452,,,,3.6193,,
53,K00526,,0.634,,,,3.6384,,
54,K00537,,0.6136486481557802,,,,9.1934,,
55,K00540,,0.6541965911764847,,,,22.3018,,
56,K00548,,0.6354905353919988,,,,20.4784,,
57,K00549,,0.6612730052384465,,,,55.9185,,
58,K00554,,0.506299784497248,,,,5.2926,,
59,K00560,,0.5721592892366478,,,,15.6685,,
60,K00567,,0.726,,,,2.9508,,
61,K00570,,0.475,,,,2.21,,
62,K00573,,0.732,,,,2.7401,,
63,K00574,,0.6300615502472456,,,,27.0059,,
64,K00588,,0.6509999999999999,,,,2.8064,,
65,K00598,,0.662,,,,2.299,,
66,K00600,,0.5613473064174695,,,,12.455099999999998,,
67,K00602,,0.62859657216178,,,,8.9598,,
68,K00606,,0.6355837958421653,,,,17.252200000000002,,
69,K00609,,0.652,,,,6.9735,,
70,K00619,,0.617,,,,2.4243,,
71,K00626,,0.6133482895560739,,,,18.205000000000002,,
72,K00635,,0.6403205263502453,,,,54.3093,,
73,K00640,,0.6441566261481971,,,,10.5503,,
74,K00641,,0.7120000000000001,,,,3.4827,,
75,K00652,,0.4749999999999999,,,,3.9223,,
