,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Baculoviridae,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Baculoviridae,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.579,,,,,,,,6.3568,,,,,
1,K00012,,,0.5944100919547102,,,,,,,,21.302300000000002,,,,,
2,K00013,,,0.586,,,,,,,,2.7852,,,,,
3,K00014,,,0.589934273605656,,,,,,,,21.8106,,,,,
4,K00020,,,0.6919555404218097,,,,,,,,11.4479,,,,,
5,K00022,,,0.537,,,,,,,,6.7306,,,,,
6,K00029,,,0.6914313280190584,,,,,,,,23.110599999999998,,,,,
7,K00030,,,0.529,,,,,,,,7.4179,,,,,
8,K00031,,,0.5811514294279592,,,,,,,,52.0068,,,,,
9,K00033,,,0.6425130877131762,,,0.56,,,,,196.04390000000004,,,3.725,,
10,K00035,,,0.61,,,,,,,,2.9641,,,,,
11,K00036,,,0.6294756055856507,,,,,,,,14.7282,,,,,
12,K00052,,,0.575,,,,,,,,6.1246,,,,,
13,K00053,,,0.6597217381460483,,,,,,,,182.08800000000002,,,,,
14,K00054,,,0.732684441983311,,,,,,,,18.6545,,,,,
15,K00057,,,0.6758266572355278,,,0.7490000000000001,,,,,39.535199999999996,,,5.5556,,
16,K00059,,,0.6398223006978264,,,,,,,,30.093100000000003,,,,,
17,K00060,,,0.615,,,,,,,,4.621,,,,,
18,K00064,,,0.7452370955473641,,,,,,,,13.302700000000002,,,,,
19,K00065,,,0.607,,,,,,,,2.4621,,,,,
20,K00067,,,0.6340778498714978,,,,,0.725,,,90.57469999999998,,,,,5.0431
21,K00074,,,0.537,,,,,,,,6.7306,,,,,
22,K00075,,,0.6410557726055295,,,,,,,,90.27040000000001,,,,,
23,K00076,,,0.627,,,,,,,,5.2695,,,,,
24,K00077,,0.738,0.6599930435162957,,,,,0.551,,2.8004,253.37630000000001,,,,,4.6485
25,K00082,,,0.637,,,,,,,,4.4133,,,,,
26,K00088,,,0.6209177661884517,,,,,,,,32.1591,,,,,
27,K00091,,,0.656384902187941,,,,,,,,11.8911,,,,,
