,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj Varidnaviria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts Varidnaviria,gene_countsUnclassified
0,K00009,,,0.7149541128417967,,,,,,18.2779,,,
1,K00010,,,0.762,,,,,,9.8557,,,
2,K00014,,0.411,,,,,,4.6499,,,,
3,K00016,,,0.725,,,,,,12.1101,,,
4,K00020,,,0.6579999999999999,,,,,,8.049,,,
5,K00031,,,0.649,,,,,,19.8769,,,
6,K00033,,0.461,0.6830524851162494,,,,,5.9838,96.03979999999999,,,
7,K00036,,,0.616,,,,,,10.8895,,,
8,K00042,,,0.6579999999999999,,,,,,8.049,,,
9,K00052,,,0.6579999999999999,,,,,,13.2785,,,
10,K00053,,0.46299999999999986,0.6675517490731726,,,,,4.9868,41.2713,,,
11,K00054,,0.48550376315963706,0.5139628036815622,,,,,8.3834,5.9208,,,
12,K00058,,,0.6731489111357484,,,,,,24.4172,,,
13,K00059,,,0.705,,,,,,14.6121,,,
14,K00067,,,0.696356791735589,,,,,,54.8193,,,
15,K00075,,,0.6890811637297449,,,,,,50.08269999999999,,,
16,K00077,,,0.6763123974951771,,,,,,49.74689999999999,,,
17,K00082,,,0.711,,,,,,12.5561,,,
18,K00088,,0.47700000000000004,,,,,,6.7084,,,,
19,K00091,,,0.735,,,,,,7.2245,,,
20,K00096,,0.447,0.6866385054305068,,,,,4.6691,21.0796,,,
21,K00099,,,0.691822587815499,,,,,,58.307,,,
22,K00111,,,0.6342465499909568,,,,,,32.1799,,,
23,K00112,,,0.7376070538400831,,,0.7700076535922035,,,7.508900000000001,,,10.042300000000001
24,K00122,,,0.6612605309165303,,,,,,50.623599999999996,,,
25,K00127,,,0.6128016771790021,,,,,,5.721,,,
26,K00133,,,0.6678465393381631,,,,,,33.608000000000004,,,
27,K00145,,0.4589999999999999,0.6973867145922097,,,,,4.9035,23.8857,,,
28,K00163,,,0.6835260178098809,,,,,,205.08799999999997,,,
29,K00174,,,0.65,,,,,,9.9037,,,
30,K00175,,0.423,0.6622554640978553,,,,,4.4429,124.01330000000002,,,
31,K00200,,,0.7240000000000001,,,,,,10.4959,,,
32,K00208,,,0.667,,,,,,8.1159,,,
33,K00215,,,0.6819493932245251,,,,,,48.5928,,,
34,K00221,,,0.672007140254425,,,,,,24.0674,,,
35,K00228,,,0.6580642835033261,,,,,,23.1661,,,
36,K00240,,0.444,0.6714575911997183,,,,,13.7654,81.07910000000001,,,
