,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj Varidnaviria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts Varidnaviria,gene_countsUnclassified
0,K00003,,,0.7234373574370923,,,,,,,39.592699999999994,,,,
1,K00012,,,0.6015675062234316,,,,,,,26.8159,,,,
2,K00014,,0.561,0.6308820819815246,,,,,,2.595,22.7919,,,,
3,K00029,,,0.5789095408859982,,,,,,,18.391,,,,
4,K00030,,,0.635,,,,,,,4.5479,,,,
5,K00031,,,0.6052125075063521,,,,,,,10.254999999999999,,,,
6,K00033,,,0.6250817695160608,,0.635,,,,,216.36730000000003,,1.6667,,
7,K00036,,,0.5833103684046539,,,,,,,29.7532,,,,
8,K00052,,,0.597,,,,,,,3.7543,,,,
9,K00053,,,0.6382103429617063,,,,,,,97.9525,,,,
10,K00057,,,0.643888938647129,,,,,,,28.1465,,,,
11,K00058,,,0.6316253419617975,,,,,,,27.9749,,,,
12,K00059,,,0.5705842814636265,,,,,,,90.5099,,,,
13,K00060,,,0.6629999999999999,,,,,,,8.5019,,,,
14,K00065,,,0.5926175337736358,,,,,,,9.9788,,,,
15,K00067,,,0.5868413313592802,,,,,,,61.8738,,,,
16,K00075,,,0.6367149214749015,,,,,,,88.8485,,,,
17,K00077,,,0.6276338176610771,,,,,,,304.54529999999994,,,,
18,K00088,,,0.6618905323690664,,,,,,,66.1522,,,,
19,K00091,,,0.5856634588411427,,,,,,,24.6405,,,,
20,K00099,,,0.6305272778245452,,,,,,,120.0037,,,,
21,K00108,,,0.6298123431725505,,,,,,,11.0783,,,,
22,K00111,,,0.6404521282724792,,0.565,,,,,198.66400000000002,,3.1159,,
23,K00116,,,0.6228344783472571,,,,,,,9.664200000000001,,,,
24,K00122,,,0.6455063996414228,,,,,,,34.9867,,,,
25,K00124,,,0.5690609463468627,,,,,,,122.8015,,,,
26,K00126,,,0.6709999999999999,,,,,,,4.5107,,,,
27,K00127,,,0.5709436599563146,,,,,,,66.68459999999999,,,,
28,K00133,,,0.6690518942387846,,,,,,,38.3696,,,,
29,K00134,,,0.5981113735877546,,,,,,,27.8343,,,,
30,K00140,,,0.706,,,,,,,19.5102,,,,
31,K00145,,,0.6283931597702275,,,,,,,67.7502,,,,
32,K00163,,,0.6313298194977878,,,,,,,526.8122999999999,,,,
33,K00174,,,0.6382884462387901,,,,,,,64.4874,,,,
34,K00175,,,0.6073564800018079,,,,,,,76.32590000000002,,,,
35,K00177,,,0.6374906044676212,,,,,,,12.162600000000001,,,,
36,K00180,,,0.6969449574853167,,,,,,,14.7417,,,,
37,K00202,,,0.653,,,,,,,2.9577,,,,
38,K00208,,,0.5913129391727752,,,,,,,27.2008,,,,
39,K00215,,,0.6630440451153633,,,,,,,50.0072,,,,
40,K00217,,,0.591,,,,,,,6.4088,,,,
41,K00221,,,0.6525646729184161,,,,0.6075219782441141,,,26.1539,,,,17.544999999999998
42,K00227,,,0.5710000000000001,,,,,,,8.5258,,,,
43,K00228,,,0.6613235843377082,,,,,,,17.244100000000003,,,,
44,K00231,,,0.6457651579447085,,0.62,,,,,38.0831,,1.7365,,
45,K00232,,,0.5479999999999999,,,,,,,2.0413,,,,
46,K00240,,,0.5972157746345558,,,,,,,131.2507,,,,
