,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_countsUnclassified
0,K00014,,,0.674,,,,,,9.2038,,,
1,K00019,,,0.636,,,,,,13.5849,,,
2,K00029,,,0.6729999999999999,,,,,,14.5286,,,
3,K00033,,,0.6964440514389811,,,,,,105.6115,,,
4,K00036,,,0.688,,,,,,31.2075,,,
5,K00053,,,0.6436779214757681,,0.407,,,,56.1299,,4.5379,
6,K00054,,,0.6629999999999999,,,,,,12.3394,,,
7,K00057,,,0.6739602946410054,,,,,,14.498000000000001,,,
8,K00059,,,0.6470094670734888,,,,,,27.535899999999998,,,
9,K00067,,,0.6552165780568288,,,,,,21.3527,,,
10,K00075,,,0.7208850316769361,,,,,,45.0017,,,
11,K00077,,,0.6720720733264584,,,,,,151.69419999999997,,,
12,K00088,,,0.7246802469469887,,,,,,33.6098,,,
13,K00096,,,0.6493231953046817,,,,,,11.082,,,
14,K00099,,,0.6194900233343766,,,,,,31.1903,,,
15,K00111,,,0.6842768519875236,,,,,,35.0304,,,
16,K00116,,,0.647,,,,,,5.273,,,
17,K00122,,,0.629,,,,,,16.0323,,,
18,K00124,,,0.57,,,,,,6.2966,,,
19,K00127,,,0.6398961083490816,,,,,,20.0362,,,
20,K00133,,,0.6468013193669284,,,,,,35.449,,,
21,K00134,,,0.6397821873865721,,,,,,43.5877,,,
22,K00145,,,0.6692806350453812,,,,,,31.4651,,,
23,K00163,,,0.658907663025682,,,,,,230.20159999999998,,,
24,K00169,,,0.684,,,,,,20.7201,,,
25,K00171,,,0.51,,,,,,3.9308,,,
26,K00172,,,0.683430109740493,,,,,,29.172600000000003,,,
27,K00174,,,0.562,,,,,,6.9393,,,
28,K00175,,,0.6722053307779298,,,,,,71.5611,,,
29,K00176,,,0.5332581236160023,,,,,,14.299100000000001,,,
30,K00177,,,0.588,,,,,,6.0695,,,
31,K00200,,,0.617,,,,,,5.8898,,,
32,K00202,,,0.653,,,,,,6.7346,,,
33,K00208,,,0.634163795334162,,,,,,34.7352,,,
34,K00215,,,0.673979123144808,,,,,,27.537699999999997,,,
35,K00221,,,,,,0.5920000000000001,,,,,,1.3788
36,K00228,,,0.6350233703491761,,,,,,32.449600000000004,,,
37,K00230,,,0.6370502905319145,,,,,,14.4619,,,
38,K00231,,,0.5751931340044995,,,,,,16.2282,,,
39,K00232,,,0.721,,,,,,5.3636,,,
40,K00240,,,0.6590032524078699,,,,,,97.8666,,,
41,K00241,,,0.6449366707795539,,,,,,32.0227,,,
42,K00242,,,0.6395879873599757,,,,,,28.314,,,
43,K00247,,,0.6897253774349232,,,,,,14.749099999999999,,,
44,K00249,,,0.6680213077517175,,,,,,26.4114,,,
45,K00254,,,0.670898874283746,,,,,,15.7742,,,
46,K00259,,,0.642,,,,,,5.9896,,,
47,K00275,0.7589999999999999,,0.6813507175391512,,,,11.0732,,65.15820000000001,,,
48,K00286,,,0.6704196331249704,,,,,,42.347699999999996,,,
49,K00287,,,0.6480275559272425,,,,,,15.2397,,,
50,K00294,,,0.672,,,,,,18.5854,,,
51,K00297,,,0.6097532456657243,,,,,,12.3773,,,
52,K00299,,,0.688,,,,,,6.3092,,,
53,K00311,,,0.6307909185165876,,,,,,42.1465,,,
54,K00320,,,0.703,,,,,,5.1366,,,
55,K00330,,,0.6320354637085124,,,,,,94.5485,,,
56,K00331,,,0.6465078370226849,,,,,,58.1816,,,
57,K00334,,,0.689845537323075,,,,,,82.409,,,
58,K00338,,,0.6566098599374799,,,,,,73.80969999999999,,,
59,K00339,,,0.6622790265323648,,,,,,26.5984,,,
60,K00340,,,0.6824688864460736,,,,,,41.8275,,,
61,K00355,,,0.616,,,,,,1.7287,,,
62,K00363,,,0.7087581429003366,,,,,,21.186,,,
63,K00368,,,0.6441373170413383,,,,,,18.0127,,,
64,K00371,,,0.6705653986729878,,,,,,52.030699999999996,,,
65,K00373,,,0.6907985952993433,,,,,,27.4011,,,
66,K00374,,,0.6674118289594675,,,,,,13.047,,,
67,K00384,,,0.6655291669783217,,,,,,22.0577,,,
68,K00389,,,0.6430773665485944,,,,,,16.064700000000002,,,
69,K00390,,,0.671446130846862,,,,,,22.8916,,,
70,K00395,,,0.6320157883314931,,,,,,17.2456,,,
71,K00406,,,0.6353085962987775,,,,,,24.4914,,,
72,K00407,,,0.654,,,,,,8.6724,,,
73,K00411,,,0.6606174004320711,,,,,,31.9929,,,
74,K00412,,,0.6333379170606249,,,,,,33.582100000000004,,,
75,K00413,,,0.6577618727371874,,,,,,30.266800000000003,,,
76,K00425,,,0.633056076354915,,,,,,99.0709,,,
77,K00426,,,0.6754646386766547,,,,,,99.48100000000002,,,
78,K00428,,,0.6207633076044079,,,,,,6.7835,,,
79,K00432,,,0.6940000000000001,,,,,,10.0064,,,
80,K00433,,,0.6154297821686301,,,,,,28.385399999999997,,,
81,K00441,,,0.6759999999999999,,,,,,17.9005,,,
