,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj Varidnaviria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts Varidnaviria,gene_countsUnclassified
0,K00003,,,0.6629909120522577,,,,,,,7.694800000000001,,,,
1,K00010,,,0.5760096287999985,,,,,,,8.4724,,,,
2,K00012,,,0.5780787377962254,,,,,,,39.902899999999995,,,,
3,K00014,,,0.6427928134416531,,,,,,,48.44990000000001,,,,
4,K00020,,,0.6192245704488072,,,,,,,29.744,,,,
5,K00021,,,0.5760000000000001,,,,,,,2.2451,,,,
6,K00023,,,0.613,,,,,,,8.6096,,,,
7,K00024,,,0.587,,,,,,,5.5852,,,,
8,K00029,,,0.583756192726305,,,,,,,163.073,,,,
9,K00031,,,0.609,,,,,,,4.4043,,,,
10,K00033,,,0.6313818413484121,,,,,,,216.34969999999998,,,,
11,K00036,,,0.5823071668993245,,,,,,,66.3738,,,,
12,K00038,,,0.669,,,,,,,24.6572,,,,
13,K00039,,,0.5959372236487421,,,,,,,18.7714,,,,
14,K00045,,,0.664,,,,,,,5.7777,,,,
15,K00046,,,0.637,,,,,,,6.8515,,,,
16,K00052,,,0.623,,,,,,,5.1814,,,,
17,K00053,,,0.6343704208002214,,,,,,,188.474,,,,
18,K00054,,0.535,0.7273162503159977,,,,,,2.3023,11.018899999999999,,,,
19,K00057,,,0.6566050758071905,,,,,,,57.196999999999996,,,,
20,K00058,,,0.6346556510808086,,,,,,,58.722,,,,
21,K00059,,,0.59958114974762,,,,,,,226.06109999999998,,,,
22,K00060,,,0.5760000000000001,,,,,,,7.0379,,,,
23,K00064,,,0.6531973857352894,,,,,,,34.490500000000004,,,,
24,K00065,,,0.5842587725805405,,,,,,,13.961300000000001,,,,
25,K00067,,,0.622011366086851,,,,,,,52.214499999999994,,,,
26,K00074,,,0.6338395320443134,,,,,,,10.4829,,,,
27,K00075,,,0.6286327371655964,,,,,,,127.79740000000001,,,,
28,K00077,,0.588,0.6316855621894407,,0.515,,0.5873854373746482,,3.426,525.3686000000001,,2.4925,,13.014
29,K00088,,,0.6429113099154845,,,,,,,74.4566,,,,
30,K00091,,,0.6362297562820804,,,,,,,42.2071,,,,
31,K00097,,,0.6759999999999999,,,,,,,7.2793,,,,
32,K00099,,,0.6298870994901082,,,,,,,120.01010000000001,,,,
33,K00104,,,0.613,,,,,,,8.7965,,,,
34,K00108,,,0.5832796356259973,,,,,,,82.84599999999999,,,,
35,K00109,,,0.655,,,,,,,6.8672,,,,
36,K00111,,,0.6372746298612227,,,,,,,174.87250000000003,,,,
37,K00113,,,0.6306095548031859,,,,,,,12.6861,,,,
38,K00116,,,0.6057999219635292,,,,,,,97.38969999999999,,,,
39,K00122,,,0.6566455669372094,,,,,,,18.649,,,,
40,K00124,,,0.5931372632682392,,,,0.5663662006054926,,,185.9708,,,,7.9154
41,K00127,,,0.5875384237450432,,,,,,,99.0114,,,,
42,K00128,,,0.6312484219952602,,,,,,,14.663799999999998,,,,
43,K00133,,,0.6021045658663939,,,,,,,32.770500000000006,,,,
44,K00134,,,0.578793627854804,,,,,,,88.466,,,,
45,K00140,,,0.6123435077369478,,,,,,,15.9026,,,,
46,K00145,,,0.6356294009722557,,,,,,,125.6007,,,,
47,K00156,,,0.5710000000000001,,,,,,,17.3801,,,,
48,K00161,,,0.6133543266414702,,,,,,,15.556799999999999,,,,
49,K00162,,,0.6095040814642597,,,,,,,17.8314,,,,
50,K00163,,,0.6233080599422369,,,,,,,525.3371,,,,
51,K00166,,,0.639,,,,,,,8.0969,,,,
52,K00172,,,0.6970000000000001,,,,,,,7.1327,,,,
53,K00174,,0.524,0.5912645903002076,,,,,,2.9683,35.6326,,,,
54,K00175,,,0.5957857679751785,,,,,,,108.58350000000002,,,,
55,K00176,,,0.6343268610662023,,,,,,,19.761799999999997,,,,
56,K00177,,,0.604,,,,,,,5.5414,,,,
57,K00180,,,0.7065920329200671,,,,,,,22.232499999999998,,,,
58,K00200,,,0.5834575513165056,,,,,,,5.8094,,,,
59,K00201,,,0.606,,,,,,,4.3739,,,,
60,K00208,,,0.6120928624066218,,,,,,,77.73460000000001,,,,
61,K00215,,,0.6361079364603258,,,,,,,77.74569999999997,,,,
62,K00217,,,0.6200137136502842,,,,,,,20.2315,,,,
63,K00220,,,0.669,,,,,,,5.951,,,,
64,K00221,,,0.56,,,,,,,1.8634,,,,
65,K00227,,,0.5830693509394768,,,,,,,8.8322,,,,
66,K00228,,,0.6380113824122445,,,,,,,71.9772,,,,
67,K00231,,,0.6186541695484521,,,,,,,39.249,,,,
68,K00232,,,0.5778553092600034,,,,,,,11.456700000000001,,,,
69,K00240,,0.505,0.5978229759617391,,,,,,3.5566,176.3049,,,,
70,K00241,,,0.5886868425261629,,,,0.493,,,169.20819999999992,,,,5.8882
71,K00242,,,0.624241720331005,,,,,,,77.68570000000001,,,,
72,K00245,,,0.5459603004275427,,,,,,,8.2104,,,,
73,K00247,,,0.5807161988992775,,,,,,,23.1657,,,,
74,K00249,,,0.603178362536404,,,,,,,98.70610000000002,,,,
75,K00252,,,0.615,,,,,,,4.2613,,,,
76,K00253,,,0.598,,,,,,,4.1036,,,,
77,K00254,,,0.6445319894807163,,,,,,,55.75150000000001,,,,
78,K00259,,,0.6084990119216694,,,,,,,12.1161,,,,
79,K00273,,,0.652,,,,,,,1.7324,,,,
80,K00275,,,0.6507972589150158,,,,,,,101.1603,,,,
81,K00281,,,0.5906527437178847,,,,,,,11.9758,,,,
82,K00285,,,0.667,,,,,,,5.2374,,,,
83,K00286,,,0.6442664569892276,,,,,,,150.76619999999997,,,,
84,K00287,,,0.6549608905025562,,,,,,,28.528200000000005,,,,
85,K00297,,,0.6537357568873388,,,,,,,75.18950000000001,,,,
86,K00299,,,0.7,,,,,,,1.445,,,,
87,K00304,,,0.6494435588450189,,,,,,,4.8276,,,,
