,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj Riboviria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts Riboviria,gene_countsUnclassified
0,K00003,,,0.6829999999999999,,,,,,,16.0844,,,,
1,K00014,,0.4111470932420652,,,,,,,8.0774,,,,,
2,K00024,,,0.695,,,,,,,7.9894,,,,
3,K00031,,,0.6629999999999999,,,,,,,34.2526,,,,
4,K00033,,0.457,0.6884085821759384,,,,,,4.022,169.20809999999997,,,,
5,K00036,,,0.6709999999999999,,,,,,,4.4113,,,,
6,K00053,,0.433,0.649468995238255,,,,,,2.6239,35.8384,,,,
7,K00054,,0.529,,,,,,,3.873,,,,,
8,K00057,,,0.7140000000000001,,,,,,,11.2325,,,,
9,K00058,,,0.5972368137259664,,,,,,,12.9156,,,,
10,K00059,,,0.6364142268664376,,,,,,,14.9203,,,,
11,K00060,,,0.565,,,,,,,3.3107,,,,
12,K00067,,,0.7252747159975895,,,,,,,73.4914,,,,
13,K00075,,,0.7084315478261881,,,,,,,106.6476,,,,
14,K00077,,,0.6904007687548501,,,,,,,138.6617,,,,
15,K00078,,,0.7075587563828177,,,,,,,11.3253,,,,
16,K00088,,0.40035280378144716,0.6776596473261963,,,,,,10.6007,14.6204,,,,
17,K00091,,,0.6773218732970536,,,,,,,14.4489,,,,
18,K00096,,0.5239505052962761,0.573,,,,,,7.4002,3.1969,,,,
19,K00099,,,0.7151545147917672,,,,,,,121.8961,,,,
20,K00102,,,0.685,,,,,,,12.3024,,,,
21,K00108,,,0.635,,,,,,,3.9974,,,,
22,K00111,,,0.7307600148917276,,,,,,,94.90379999999998,,,,
23,K00112,,,0.7388299350785997,,,,0.7709999999999999,,,28.560100000000002,,,,10.8793
24,K00116,,,0.5632993924064067,,,,,,,5.9938,,,,
25,K00122,,,0.6870280444559137,,,,,,,51.069399999999995,,,,
26,K00124,,,0.6978456668954766,,,,,,,46.6037,,,,
27,K00127,,,0.6940000000000001,,,,,,,6.669,,,,
28,K00133,,,0.6827005430608973,,,,,,,24.6338,,,,
29,K00134,,,0.6503184118158679,,,,,,,37.0338,,,,
30,K00145,,0.7043475206835531,0.695855610345591,,,,,,15.812899999999999,42.1163,,,,
31,K00161,,,0.6742609804430764,,,,,,,24.8035,,,,
32,K00163,,,0.6806408412523239,,,,,,,266.8493000000001,,,,
33,K00170,,,0.685,,,,,,,18.6806,,,,
34,K00174,,0.44175673316283237,0.6556604343653097,,,,,,5.6929,30.173300000000005,,,,
35,K00175,,,0.6644381156130761,,,,,,,116.7093,,,,
36,K00176,,,0.588,,,,,,,5.9574,,,,
37,K00202,,,0.755,,,,0.768,,,15.0972,,,,6.4505
38,K00208,,,0.6838015967254745,,,,,,,22.836499999999997,,,,
39,K00215,,,0.718929236872926,,,,,,,62.4529,,,,
40,K00217,,,0.745,,,,,,,8.9319,,,,
41,K00221,,,0.7140205979139906,,,,,,,46.363299999999995,,,,
42,K00228,,,0.6628015216168511,,,,,,,11.4301,,,,
43,K00231,,,0.731,,,,,,,3.1083,,,,
44,K00232,,,0.7430000000000001,,,,,,,14.2131,,,,
45,K00240,,0.532,0.661281618132635,,,,,,3.1119,110.5406,,,,
46,K00241,,0.43900000000000006,0.6378806539728304,,,,0.647,,3.3047,27.926099999999998,,,,1.7337
47,K00242,,,0.7020000000000001,,,,,,,10.9408,,,,
48,K00246,,,0.5994622193277979,,,,,,,9.1227,,,,
49,K00247,,,0.6753075056684347,,,,,,,4.9968,,,,
