,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj Riboviria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts Riboviria,gene_countsUnclassified
0,K00003,,,0.6939762845031779,,,,,,,61.9781,,,,
1,K00012,,,0.673428985952458,,,,,,,32.278999999999996,,,,
2,K00014,,,0.7310186353070983,,,,,,,21.7715,,,,
3,K00019,,,0.648,,,,,,,4.477,,,,
4,K00020,,,0.7044729945865115,,,,,,,66.9889,,,,
5,K00031,,,0.614,,,,,,,8.4704,,,,
6,K00033,,0.6600384815906043,0.6981047607471159,,,,,,17.2487,347.1156999999999,,,,
7,K00036,,,0.6489999999999999,,,,,,,6.704,,,,
8,K00039,,,0.5870000000000001,,,,,,,4.5605,,,,
9,K00053,,0.5670000000000001,0.6755621497702714,,,,,,4.0946,113.05160000000001,,,,
10,K00054,,0.39,,,,,,,3.7095,,,,,
11,K00055,,,0.713,,,,,,,5.7606,,,,
12,K00057,,,0.6493827002804373,,,,,,,7.3976,,,,
13,K00058,,,0.7240000000000001,,,,,,,15.3294,,,,
14,K00059,,,0.5741069553477601,,,,,,,15.2594,,,,
15,K00064,,,0.76,,,,,,,19.0665,,,,
16,K00067,,,0.7219798032653355,,,,,,,117.8035,,,,
17,K00074,,,0.6829999999999999,,,,,,,14.344,,,,
18,K00075,,,0.7033210537903621,,,,,,,111.03790000000001,,,,
19,K00077,,0.701983072731683,0.6903980310862793,,,,0.623,,24.619100000000003,150.885,,,,15.3563
20,K00078,,,0.6859999999999999,,,,,,,5.8948,,,,
21,K00088,,0.473,0.711,,,,,,10.1636,8.3451,,,,
22,K00091,,,0.757,,,,,,,14.4333,,,,
23,K00096,,0.573,0.7326896946324886,,,,,,3.3864,69.8655,,,,
24,K00099,,,0.6910556227425872,,,,,,,120.1666,,,,
25,K00108,,,0.7376496905418298,,,,,,,21.7166,,,,
26,K00111,,,0.7167102031772247,,,,,,,184.47449999999998,,,,
27,K00112,,0.799,0.7671702690852982,,,,0.7512952042854147,,17.6375,170.9547,,,,74.3186
28,K00113,,,0.6980000000000001,,,,,,,8.5321,,,,
29,K00122,,,0.6674232168606602,,,,,,,129.9436,,,,
30,K00124,,,0.6771203754198587,,,,,,,75.0203,,,,
31,K00127,,,0.743,,,,,,,5.0106,,,,
32,K00133,,,0.7017339614134913,,,,,,,51.69630000000001,,,,
33,K00134,,,0.6518925365651055,,,,,,,32.827799999999996,,,,
34,K00145,,,0.724012747553404,,,,,,,115.83359999999999,,,,
35,K00161,,,0.7203777691634755,,,,,,,19.0897,,,,
36,K00163,,,0.689971340658941,,,,,,,533.7363,,,,
37,K00172,,,0.7,,,,,,,6.7602,,,,
38,K00174,,,0.694819351225884,,,,,,,65.4563,,,,
39,K00175,,,0.6368842847957105,,,,,,,158.5243,,,,
40,K00180,,,0.708833373831576,,,,,,,12.513399999999999,,,,
41,K00200,,,0.713,,,,,,,36.4606,,,,
42,K00201,,,,,,,0.76,,,,,,,18.2207
43,K00202,,,0.763,,,,0.771056395879891,,,12.6379,,,,42.671
44,K00208,,,0.684,,,,,,,15.8731,,,,
45,K00215,,,0.6876101229837174,,,,,,,53.1398,,,,
46,K00217,,,0.7859999999999999,,,,,,,23.0519,,,,
47,K00221,,,0.7154543117840202,,,,0.7060000000000001,,,18.4593,,,,3.9593
48,K00228,,,0.662,,,,,,,3.5831,,,,
49,K00230,,0.6829999999999999,0.7084904604392606,,,,,,5.4314,46.88300000000001,,,,
50,K00231,,,0.7223688580404648,,,,,,,14.5715,,,,
51,K00232,,,0.7135295234758998,,,,,,,30.6522,,,,
52,K00240,,0.4453947553978144,0.6796368116675396,,,,,,13.093900000000001,145.28709999999998,,,,
53,K00241,,,0.6372747131211072,,,,,,,27.566100000000002,,,,
54,K00242,,,0.6489413801182334,,,,,,,83.0247,,,,
55,K00245,,,0.608,,,,,,,4.5337,,,,
56,K00247,,,0.6383301523562431,,,,0.6646863338745511,,,6.2959,,,,8.4267
57,K00249,,,0.6782027445290116,,,,,,,46.5161,,,,
58,K00254,,,0.6582527536788505,,,,,,,8.3224,,,,
59,K00259,,,0.670471031374601,,,,,,,22.482100000000003,,,,
60,K00273,,,0.6730420486371419,,,,,,,19.167900000000003,,,,
61,K00275,,0.45599999999999996,0.7220250626988983,,0.7201615508468836,,,,5.7667,300.6068999999999,,17.064300000000003,,
62,K00286,,,0.7003560588313225,,0.6970000000000001,,,,,156.94350000000003,,2.8272,,
63,K00287,,,0.642255453631973,,,,,,,10.0198,,,,
64,K00294,,,0.6703301286192723,,,,,,,24.0795,,,,
65,K00297,,,0.6856149417382515,,,,,,,50.9743,,,,
66,K00299,,,0.688898317948451,,,,,,,35.760799999999996,,,,
67,K00301,,,0.6890000000000001,,,,,,,6.7996,,,,
68,K00304,,,0.6811269480170932,,,,,,,12.5535,,,,
69,K00305,,,0.7929999999999999,,,,,,,14.5635,,,,
70,K00309,,,0.7070000000000001,,,,,,,8.6151,,,,
71,K00311,,,0.603,,,,,,,2.1794,,,,
72,K00320,,,0.5513548229068194,,,,,,,16.3029,,,,
73,K00322,,,0.614,,,,,,,4.1938,,,,
74,K00324,,,0.7090000000000001,,,,,,,12.2832,,,,
75,K00330,,,0.6033352989445733,,,,,,,152.9305,,,,
76,K00331,,,0.578,,,,,,,7.1907,,,,
77,K00332,,,0.6676700371677402,,,,,,,65.8708,,,,
78,K00334,,,0.7169747120982783,,,,,,,117.5576,,,,
79,K00338,,,0.6717796027153786,,,,,,,255.6931,,,,
80,K00339,,,0.6980760822731474,,,,0.711,,,142.42149999999998,,,,6.386
81,K00340,,,0.645168845522529,,,,,,,96.28439999999999,,,,
82,K00343,,,0.6373485903416553,,,,,,,29.588699999999996,,,,
83,K00344,,,0.7083146601737403,,,,,,,28.9504,,,,
84,K00355,,,0.66,,,,,,,2.2907,,,,
85,K00363,,,0.6179176541444232,,,,0.782,,,7.5344,,,,13.6284
86,K00365,,,0.7009074726193353,,,,,,,71.34750000000001,,,,
87,K00368,,,0.6839419943463941,,,,,,,15.3818,,,,
88,K00371,,,0.6747516791022464,,,,,,,13.623,,,,
89,K00373,,,0.6281444807200588,,,,,,,9.7366,,,,
90,K00375,,,0.7709999999999999,,,,,,,10.4865,,,,
91,K00384,,,0.6528426632869757,,,,,,,49.8679,,,,
92,K00389,,0.4064873840346848,0.7326882244274829,,,,0.7511849020574941,,8.0864,57.4364,,,,30.770300000000002
93,K00390,,0.39764462026609926,0.7108923511190518,,,,,,16.4286,128.7266,,,,
94,K00395,,,0.628,,,,,,,4.0148,,,,
95,K00407,,,0.5760000000000001,,,,,,,3.0513,,,,
96,K00413,,,0.657,,,,,,,2.1942,,,,
97,K00425,,,0.6787717224722942,,,,,,,489.1889000000001,,,,
98,K00426,,,0.7144552397687668,,,,0.7430000000000001,,,331.5674000000001,,,,4.266
99,K00428,,,0.5437276681891198,,,,,,,14.4108,,,,
100,K00432,,,0.631,,,,,,,1.3705,,,,
101,K00433,,,0.6526059779744695,,,,,,,180.05819999999997,,,,
102,K00441,,,0.662,,,,,,,28.1244,,,,
103,K00446,,,0.7120000000000001,,,,,,,21.725,,,,
104,K00448,,,0.7275822104145125,,,,,,,79.8305,,,,
105,K00449,,,0.7153563454896475,,,,,,,104.273,,,,
106,K00450,,,0.648706048813395,,,,,,,20.673800000000004,,,,
107,K00451,,,0.682974207920194,,,,,,,315.1346,,,,
108,K00453,,,0.6838222405885998,,,,,,,184.02030000000002,,,,
109,K00455,,,0.607,,,,,,,4.5108,,,,
110,K00456,,,0.5506566332304736,,,,,,,11.641300000000001,,,,
111,K00457,,,0.6811662725447262,,,,,,,294.147,,,,
112,K00459,,0.627,0.7365930322611003,,,,,,3.5269,133.72349999999997,,,,
113,K00469,,,0.667,,,,,,,3.1929,,,,
114,K00477,,,0.6540422162401195,,,,,,,12.5515,,,,
115,K00481,,,0.7080425808797184,,,,,,,22.2637,,,,
116,K00485,,,0.7334660411739347,,,,,,,14.6525,,,,
117,K00507,,,0.6723700816040935,,,,,,,210.9895,,,,
118,K00518,,,0.662,,,,,,,8.7997,,,,
119,K00525,,0.4954989197966332,0.6043844550952685,,,,,,20.798699999999997,33.0413,,,,
120,K00526,,,0.627,,,,,,,11.1335,,,,
121,K00528,,,0.7,,,,,,,8.752,,,,
122,K00529,,,0.633,,,,,,,10.826,,,,
123,K00540,,,0.6988197623644632,,,,0.7054922475343508,,,547.9461000000001,,,,25.258699999999997
124,K00544,,,0.705,,,,,,,13.373,,,,
125,K00545,,0.333,,,,,,,4.3771,,,,,
126,K00548,,0.449,0.680089728253417,,,,,,7.8271,85.1629,,,,
127,K00549,,,0.680080285928295,,,,,,,921.3939000000001,,,,
128,K00554,,,0.7267900542621107,,,,,,,142.4168,,,,
129,K00558,,,0.763,,,,,,,19.9539,,,,
130,K00560,,,0.6054750194886721,,,,,,,17.8386,,,,
131,K00561,,,0.7720895002753817,,,,,,,19.1027,,,,
132,K00563,,,0.7741356210903784,,,,,,,69.3086,,,,
133,K00566,,,0.732,,,,,,,20.2582,,,,
134,K00567,,,0.7177610513563841,,,,,,,33.560300000000005,,,,
135,K00570,,,0.6919300741729507,,,,,,,15.218499999999999,,,,
136,K00573,,,0.7269114267945125,,,,,,,317.90409999999997,,,,
137,K00574,,,0.6992353810666159,,,,,,,188.0435,,,,
138,K00577,,0.4414068195380713,,,,,,,8.1816,,,,,
139,K00588,,0.333,0.6504555198760388,,,,,,4.3771,20.7714,,,,
140,K00594,,,0.741,,,,,,,18.7416,,,,
141,K00595,,,0.664,,,,,,,6.5322,,,,
142,K00596,,,0.731,,,,,,,14.5641,,,,
143,K00598,,,0.7173638762485158,,,,,,,23.0349,,,,
144,K00600,,0.4442096415949974,0.6880166368464992,,,,,,18.6486,427.1736000000001,,,,
145,K00602,,,0.7143381042399993,,,,,,,385.39539999999994,,,,
146,K00605,,,0.6903329154765682,,,,,,,27.9084,,,,
147,K00606,,0.43700000000000017,0.6943666688642176,,,,,,10.9951,249.01510000000002,,,,
148,K00609,,0.46799999999999997,0.6934278667661958,,,,,,10.5221,47.2681,,,,
149,K00610,,0.381,,,,,,,3.1088,,,,,
150,K00611,,,0.6920000000000001,,,,,,,8.1708,,,,
151,K00612,,,0.7450000000000001,,,,,,,15.4471,,,,
152,K00615,,,0.6966554716852564,,,,,,,78.42290000000001,,,,
153,K00616,,0.528,0.6597611573853002,,,,,,6.4098,36.632400000000004,,,,
154,K00619,,,0.593,,,,,,,4.8689,,,,
155,K00620,,,0.7406507034325418,,,,,,,119.66449999999999,,,,
156,K00621,,,,,0.384,,,,,,,2.1301,,
157,K00626,,,0.7076611097510933,,,,,,,511.2083000000001,,,,
158,K00635,,,0.7192330846114915,,0.7220000000000001,,0.7184830924626014,,,914.2985,,8.4167,,68.021
159,K00640,,,0.7032780744494229,,,,,,,75.434,,,,
160,K00641,,,0.6456821578207107,,,,,,,122.20089999999999,,,,
161,K00645,,,0.7176721898757356,,,,,,,20.2162,,,,
162,K00648,,,0.6785377970783907,,,,,,,31.0568,,,,
163,K00655,,,0.7038289364286829,,,,,,,280.4332,,,,
164,K00661,,,0.6802154463966145,,,,,,,50.84,,,,
165,K00662,,,0.722,,,,0.581,,,8.7207,,,,4.2304
166,K00663,,,0.7151904366917917,,,,0.7070000000000001,,,64.638,,,,4.2044
167,K00666,,,0.6809999999999999,,,,,,,12.071,,,,
168,K00674,,,0.6877879634145591,,,,,,,31.741,,,,
169,K00677,,,0.6195755501603923,,,,,,,11.7612,,,,
170,K00682,,,,,,,0.7259885745830023,,,,,,,29.786399999999997
171,K00684,,,0.731995824518263,,,,,,,75.72240000000002,,,,
172,K00688,,,0.6475341942789901,,,,,,,149.74939999999998,,,,
173,K00694,,,0.506,,,,,,,4.143,,,,
174,K00700,,,0.6417357514377882,,,,,,,40.0682,,,,
175,K00703,,,0.6410850751604836,,,,,,,45.3467,,,,
176,K00705,,,0.7342513021729287,,,,,,,29.1457,,,,
177,K00720,,,0.561,,,,,,,5.4759,,,,
178,K00721,,,0.6905108943381149,,,,,,,15.7248,,,,
179,K00728,,,0.6378396557941926,,,,,,,10.5098,,,,
180,K00748,,,0.5710000000000001,,,,,,,4.1817,,,,
181,K00757,,,0.7113317104050261,,,,,,,14.5497,,,,
182,K00759,,0.473,0.6974137191896967,,,,,,7.9149,132.8522,,,,
183,K00760,,,0.6740721076197355,,,,,,,432.0136999999999,,,,
184,K00761,,,0.729115317003563,,,,,,,23.2663,,,,
185,K00762,,0.463,0.7087463087120222,,,,0.339,,9.2158,121.82439999999998,,,,4.4863
186,K00763,,0.393,0.702948158893975,,,,,,4.061,52.426100000000005,,,,
187,K00764,,0.4704075634390814,0.6975036021383764,,,,,,26.105200000000004,153.14330000000004,,,,
188,K00765,,,0.6966419074255862,,,,,,,100.8193,,,,
189,K00766,,0.459,0.7361020539431588,,,,,,7.5006,324.25399999999996,,,,
190,K00767,,,0.7146518695563643,,,,,,,15.3855,,,,
191,K00768,,,0.7739854305487139,,,,,,,123.5108,,,,
192,K00769,,,0.652,,,,,,,2.1371,,,,
193,K00772,,0.430449694342741,,,,,,,10.9541,,,,,
194,K00773,,,0.7111069697005692,,,,,,,33.328199999999995,,,,
195,K00782,,,0.7070732346342514,,,,,,,53.545199999999994,,,,
196,K00783,,,0.7041261115257273,,,,,,,92.5101,,,,
