,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj Varidnaviria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts Varidnaviria,gene_countsUnclassified
0,K00003,,,0.6709999999999999,,,,,,,9.9328,,,,
1,K00012,,,0.6403293195143009,,,,,,,50.355999999999995,,,,
2,K00014,,,0.6728060950115665,,,,,,,98.9441,,,,
3,K00020,,,0.678406074104875,,,,,,,27.747799999999998,,,,
4,K00024,,,0.6385927087952535,,,,,,,56.6572,,,,
5,K00027,,0.649,,,,,,,38.9112,,,,,
6,K00029,,,0.6262724642625057,,,,,,,80.4138,,,,
7,K00030,,,0.606,,,,,,,8.8722,,,,
8,K00031,,,0.617,,,,,,,11.3416,,,,
9,K00033,,,0.6507933941284965,,,,,,,239.06280000000004,,,,
10,K00034,,,0.589,,,,,,,6.9707,,,,
11,K00036,,,0.629222238260136,,,,,,,78.9041,,,,
12,K00038,,,0.65,,,,,,,9.5067,,,,
13,K00045,,,0.6409999999999999,,,,,,,9.1559,,,,
14,K00053,,,0.6611625734423701,,,,,,,91.25390000000002,,,,
15,K00054,,0.6518503822692594,,,,,,,59.7723,,,,,
16,K00057,,,0.725,,,,,,,22.0035,,,,
17,K00058,,,0.6793106099154648,,,,,,,95.93199999999999,,,,
18,K00059,,,0.6310815839250236,,,,,,,190.2617,,,,
19,K00060,,,0.69,,,,,,,20.7984,,,,
20,K00067,,,0.6231713749462817,,,,,,,88.2336,,,,
21,K00075,,,0.6541996220219324,,,,,,,47.85430000000001,,,,
22,K00077,,0.684,0.651186534001726,,,,0.741,,21.1796,246.89190000000005,,,,3.3458
23,K00082,,,0.748,,,,,,,14.5433,,,,
24,K00088,,,0.6803000743611254,,,,,,,54.0873,,,,
25,K00096,,0.6538816355827224,,,,,,,61.817,,,,,
26,K00099,,,0.6754258928483833,,,,,,,116.85999999999999,,,,
27,K00108,,,0.6800389814681677,,,,,,,58.023799999999994,,,,
28,K00111,0.588,,0.686240661339927,,,,,6.3236,,151.21220000000002,,,,
29,K00116,,,0.539,,,,,,,17.2458,,,,
30,K00122,0.589,,0.617,,,,,21.8912,,8.8071,,,,
31,K00123,,0.6430000000000001,,,,,,,35.8913,,,,,
32,K00124,,,0.5923523530274886,,,,,,,89.53070000000001,,,,
33,K00126,,,0.562,,,,,,,12.0924,,,,
34,K00127,,,0.5792011774371766,,,,,,,44.647400000000005,,,,
35,K00128,,,0.665,,,,,,,10.2155,,,,
36,K00133,,,0.59,,,,,,,3.2222,,,,
37,K00134,,,0.7040000000000001,,,,,,,24.3106,,,,
38,K00140,,,0.6481672028913186,,,,,,,55.53660000000001,,,,
39,K00145,,0.6361939408286025,0.6877818012089417,,,,,,41.645900000000005,54.2325,,,,
40,K00146,,,0.665,,,,,,,10.2155,,,,
41,K00148,,,0.612,,,,,,,32.1215,,,,
42,K00150,,0.6232307632914366,,,,,,,60.8719,,,,,
43,K00153,,,0.722,,,,,,,31.1358,,,,
44,K00156,,,0.6472013398949218,,,,,,,64.8167,,,,
45,K00161,,,0.6344659590228918,,,,,,,83.5511,,,,
46,K00162,,,0.638811161544528,,,,,,,62.027100000000004,,,,
47,K00163,,,0.6531587441049169,,,,,,,382.3407000000001,,,,
48,K00166,,,0.637081631517196,,,,,,,50.764700000000005,,,,
49,K00167,,,0.637,,,,,,,50.764700000000005,,,,
50,K00170,,,0.7290000000000001,,,,,,,12.8198,,,,
51,K00174,,0.6337763558406704,0.6426578453765724,,,,,,58.050700000000006,133.9039,,,,
52,K00175,,0.6180160521223675,0.606626903218241,,,,,,90.1722,89.4439,,,,
53,K00180,,,0.61,,,,,,,4.5959,,,,
54,K00208,,,0.6245999857721564,,,,,,,22.409,,,,
55,K00215,,,0.7088929125456821,,,,,,,58.7349,,,,
56,K00217,,,0.684,,,,,,,8.8851,,,,
57,K00226,,,0.696,,,,,,,9.3819,,,,
58,K00228,,,0.6538987798372795,,,,,,,12.342500000000001,,,,
59,K00231,,,0.7165566359691824,,,,,,,81.818,,,,
60,K00239,,,0.6390908060219628,,,,,,,59.801100000000005,,,,
61,K00240,,,0.6188211706791945,,,,,,,216.5451,,,,
62,K00241,,,0.5784315388395755,,,,,,,33.2406,,,,
63,K00249,,,0.6430835855067709,,0.632,,,,,200.10180000000003,,32.1215,,
64,K00252,,0.632,0.606,,,,,,11.2809,20.2637,,,,
65,K00253,,,0.644,,0.632,,,,,22.622,,32.1215,,
66,K00254,,,0.7401444036947971,,,,,,,30.6039,,,,
67,K00261,,,0.6198711149571584,,,,,,,63.3262,,,,
68,K00273,,,,,0.7310000000000001,,,,,,,23.2598,,
69,K00275,,,0.6972064422195242,,,,,,,71.04729999999999,,,,
70,K00278,,,0.6642998090146736,,,,,,,63.56999999999999,,,,
71,K00282,,0.6308181017988416,,,,,,,53.623400000000004,,,,,
72,K00283,,,0.6321754319618292,,,,,,,63.6977,,,,
73,K00286,,,0.6927499262842388,,,,,,,151.18630000000002,,,,
