,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.6718051816940402,,,,,,,20.5258,,,,
1,K00009,,,0.7197418055383378,,,,,,,42.2543,,,,
2,K00010,,,0.7280592993838227,,,,,,,67.227,,,,
3,K00012,,,0.6955799751570181,,,,,,,31.6728,,,,
4,K00014,,,0.7396310554827769,,,,,,,19.0752,,,,
5,K00020,,,0.7280807535313927,,,,,,,50.500699999999995,,,,
6,K00021,,,0.6929427102431414,,,,,,,27.439300000000003,,,,
7,K00024,,,0.691,,,,,,,20.7968,,,,
8,K00029,,,0.7128276104927604,,,,,,,32.1637,,,,
9,K00031,,,0.6480840711339015,,,,,,,47.2008,,,,
10,K00033,,,0.712401379770544,,,,,,,218.1603,,,,
11,K00036,,,0.6679104436250938,,,,,,,28.2537,,,,
12,K00038,,,0.701,,,,,,,4.6294,,,,
13,K00042,,,0.773,,,,,,,15.7008,,,,
14,K00053,,,0.6720691087011453,,,,,,,66.6503,,,,
15,K00057,,,0.7044644942516957,,,,,,,24.6596,,,,
16,K00058,,,0.7148782611439191,,,,,,,78.5995,,,,
17,K00059,,,0.7045409937441214,,,,,,,119.4096,,,,
18,K00060,,,0.701,,,,,,,6.1807,,,,
19,K00064,,,0.7433946225152929,,,,,,,68.13959999999999,,,,
20,K00067,,,0.7225636746511569,,,,,,,136.6079,,,,
21,K00074,,,0.705,,,,,,,6.8992,,,,
22,K00075,,,0.7261262505007777,,,,,,,120.6002,,,,
23,K00077,0.7140000000000001,0.7269091582357471,0.706176433377367,,,,0.655,13.6524,22.412799999999997,203.64199999999997,,,,3.1055
24,K00078,,,0.7496566991412351,,,,,,,19.6102,,,,
25,K00088,,,0.6171540398570744,,,,,,,23.8776,,,,
26,K00091,,,0.7287762404866156,,,,,,,41.4708,,,,
27,K00096,,,0.7511320661281976,,,,,,,24.124499999999998,,,,
28,K00099,,,0.6867599399107421,,,,,,,84.9559,,,,
29,K00111,,,0.7170362167735413,,,,,,,192.2329,,,,
30,K00112,,0.78,0.7610327165572304,,,,0.7683238555847013,,6.5767,61.10340000000001,,,,44.394
31,K00113,,,0.688,,,,,,,13.2454,,,,
32,K00114,,,0.6729999999999999,,,,,,,27.5681,,,,
33,K00116,,,0.619,,,,,,,3.3554,,,,
34,K00122,,,0.6658634541683851,,,,,,,73.587,,,,
35,K00124,,,0.6621404938636659,,,,,,,83.9361,,,,
36,K00127,,,0.6613819464964424,,,,,,,24.6368,,,,
37,K00133,,,0.6937117111498666,,,,,,,53.7539,,,,
38,K00134,,,0.6548121809096147,,,,,,,47.8537,,,,
