,KEGG,GC_adj ,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00053,,0.628,,,,7.985,,
1,K00059,,0.606,,,,16.5729,,
2,K00099,,0.7140000000000001,,,,4.8734,,
3,K00116,,0.589,,,,1.7984,,
4,K00163,,0.6646427912819651,,,,20.5123,,
5,K00175,,0.6890000000000001,,,,12.1695,,
6,K00338,,0.598,,,,6.1331,,
7,K00340,,0.622,,,,7.599,,
8,K00341,,,0.276,,,,14.823,
9,K00412,,,0.295,,,,11.5936,
10,K00425,,0.516,,,,4.1863,,
11,K00428,,0.628,,,,3.4652,,
12,K00433,,0.6365155139948167,,,,28.2363,,
13,K00450,,0.627,,,,3.6975,,
14,K00459,,0.742,,,,3.7302,,
15,K00507,,0.545,,,,3.166,,
16,K00540,,0.6247156685079284,,,,8.5656,,
17,K00548,,0.688,,,,5.8838,,
18,K00549,,0.6764390562069273,,,,13.299199999999999,,
19,K00571,,0.595,,,,3.1649,,
20,K00573,,0.561,,,,3.2028,,
21,K00606,,0.609,,,,3.3912,,
22,K00635,,0.61,,,,2.1276,,
23,K00657,,0.5429999999999999,,,,2.6721,,
24,K00688,,0.6619227386634281,,,,10.4801,,
25,K00768,,0.598,,,,2.5689,,
26,K00789,,0.604,,,,3.2268,,
27,K00793,,0.616,,,,1.82,,
28,K00794,,0.669,,,,2.5638,,
29,K00820,,0.564,,,,5.0079,,
30,K00873,,0.608,,,,3.7518,,
31,K00927,,0.631,,,,2.2192,,
32,K00930,,0.63,,,,5.6081,,
33,K00986,,0.5636142158371571,,,,309.0511,,
34,K00990,,0.6579999999999999,,,,4.9632,,
35,K01056,,0.6559999999999999,,,,2.1141,,
36,K01061,,0.652,,,,3.0878,,
37,K01118,,0.5723759105511965,,,,9.8901,,
38,K01159,,0.6520197906887063,,,,5.2361,,
39,K01241,,0.612,,,,2.0972,,
40,K01265,,0.618,,,,6.4426,,
41,K01283,,0.575,,,,2.7587,,
42,K01358,,0.589,,,,4.6793,,
43,K01424,,0.667,,,,2.1902,,
44,K01462,,0.65,,,,2.5983,,
45,K01497,,0.69,,,,8.0872,,
46,K01545,,,,0.595,,,,4.2473
47,K01595,,0.6970000000000002,,,,2.0647,,
48,K01607,,0.633,,,,2.5617,,
49,K01624,,0.653,,,,2.5963,,
50,K01638,,0.635,,,,5.4989,,
51,K01673,,0.575,,,,3.844,,
52,K01689,,0.6082417116405502,,,,13.7441,,
53,K01711,,0.601,,,,4.3442,,
54,K01737,,0.6497288840829728,,,,10.0406,,
55,K01755,,0.7040000000000001,,,,8.641,,
56,K01803,,0.589,,,,3.3128,,
57,K01810,,0.6113963111301222,,,,28.5024,,
58,K01834,,0.6940000000000001,,,,3.6427,,
59,K01868,,0.599,,,,8.3154,,
60,K01872,,0.615,,,,7.863,,
61,K01874,,0.5692831952841153,,,,9.474499999999999,,
62,K01915,,0.6650301335701433,,,,14.402800000000001,,
63,K01933,,0.604,,,,5.6003,,
64,K01937,,0.6252939298151254,,,,24.6764,,
65,K01940,,0.6698001861849278,,,,12.567900000000002,,
66,K01951,,0.708,,,,4.4964,,
67,K02004,,0.5865031241124015,,,,20.6225,,
68,K02033,,0.685,,,,3.9598,,
69,K02034,,0.56,,,,1.7778,,
70,K02066,,0.555,,,,1.9738,,
71,K02078,,0.5626533069565851,,,,10.2733,,
72,K02128,0.364,,,,9.4721,,,
73,K02160,,0.564,,,,3.2687,,
74,K02171,,0.619,,,,1.4552,,
75,K02261,,,0.275,,,,9.4721,
76,K02313,,0.5791082366711182,,,,17.093799999999998,,
77,K02314,,0.677,,,,2.1222,,
78,K02316,,0.6549704436804069,,0.723,,8.3055,,2.287
79,K02338,,0.65,,,,2.816,,
80,K02356,,0.61,,,,5.8413,,
81,K02357,,0.585,,,,4.2624,,
82,K02358,,0.588,,,,50.9098,,
83,K02510,,0.6409937215296566,,,,15.9833,,
84,K02520,,0.621,,,,2.2768,,
85,K02600,,0.677,,,,11.2519,,
86,K02601,,0.6382046309383744,,,,7.0794999999999995,,
87,K02838,,0.622,,,,1.7541,,
88,K02863,,0.7025780489520671,,,,8.0512,,
89,K02879,,0.5920000000000001,,,,1.5468,,
90,K02884,,0.627,,,,6.8358,,
91,K02886,,0.6653469386208304,,,,8.458,,
92,K02890,,0.65,,,,6.2688,,
93,K02892,,0.6325593742124745,,,,10.8034,,
94,K02909,,0.615,,,,2.0773,,
95,K02914,,0.594,,,,3.1912,,
96,K02916,,0.6193068524202968,,,,5.798500000000001,,
97,K02931,,0.5670000000000001,,,,5.443,,
98,K02946,,0.5956630360765978,,,,26.3029,,
99,K02950,,0.669,,,,15.4142,,
