,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj Varidnaviria,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts Varidnaviria,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.5,,,,,,,,5.9816,,,,,
1,K00009,,,0.721127251449496,,,,,,,,34.218,,,,,
2,K00010,,,0.6549771169729097,,,,,,,,17.9758,,,,,
3,K00012,,,0.6461340816764718,,,,,,,,19.852600000000002,,,,,
4,K00014,,0.4446525630267652,0.693830690423669,,,,,,,13.865199999999998,18.119500000000002,,,,,
5,K00019,,,0.579,,,,,,,,10.0568,,,,,
6,K00020,,0.376,0.6581308948936678,,,,,,,5.3166,38.653600000000004,,,,,
7,K00024,,0.4570000000000001,0.6709999999999999,,,,,,,10.5563,11.414,,,,,
8,K00027,,0.383,0.6509999999999999,,,,,,,6.1991,17.1367,,,,,
9,K00033,,,0.6572386405508757,,,,,,,,174.295,,,,,
10,K00036,,,0.6329084712548276,,,,,,,,14.690000000000001,,,,,
11,K00038,,,0.591,,,,,,,,3.223,,,,,
12,K00052,,,0.6579999999999999,,,,,,,,13.0272,,,,,
13,K00053,,0.4425137492124539,0.6682188352610894,,,,,,,15.1829,199.0012,,,,,
14,K00054,,0.44527768669593093,,,,,,,,26.7373,,,,,,
15,K00057,,,0.6263175192115495,,,,,,,,23.8123,,,,,
16,K00058,,0.4475727438571588,0.6493695168403103,,,,,,,15.302699999999998,29.1551,,,,,
17,K00059,,,0.6568503044487589,,,,,,,,158.65650000000002,,,,,
18,K00064,,,0.693,,,,,,,,3.8732,,,,,
19,K00065,,,0.6530080845524071,,,,,,,,36.6486,,,,,
20,K00067,,,0.6704930087480412,,,,,,,,91.6502,,,,,
21,K00075,,,0.6875945678809623,,,,,,,,163.3603,,,,,
22,K00077,,,0.6639976049826528,,,,,0.6607857720963941,,,195.30940000000004,,,,,12.4732
23,K00078,,,0.6559058202048494,,,,,,,,17.5076,,,,,
24,K00088,,0.4466076912792969,0.688,,,,,,,22.3422,15.8841,,,,,
25,K00096,,0.4896463078100443,0.6688779496541979,,,,,,,16.4051,50.9398,,,,,
26,K00099,,,0.6849708446256467,,,,,,,,115.4866,,,,,
27,K00104,,,0.647,,,,,,,,16.9861,,,,,
28,K00111,,,0.6828811605242723,,,,,,,,213.0023,,,,,
29,K00112,,,0.7859963755681447,,,,,0.7490000000000001,,,20.6446,,,,,9.9019
30,K00122,,,0.6549688826343617,,,,,,,,105.4996,,,,,
31,K00124,,,0.6843052616983223,,,,,,,,37.7984,,,,,
32,K00126,,,0.669,,,,,,,,2.1361,,,,,
33,K00127,,,0.618,,,,,,,,4.7176,,,,,
34,K00128,,,0.628,,,,,,,,5.7742,,,,,
35,K00133,,,0.6519925056579389,,,,,,,,29.0931,,,,,
36,K00134,,,0.5482272764684897,,,,,,,,42.3511,,,,,
37,K00140,,,0.665,,,,,,,,13.9559,,,,,
38,K00145,,0.4395845555236035,0.6648023174958575,,,,,,,23.3583,59.6397,,,,,
39,K00161,,,0.608772118824855,,,,,,,,14.376800000000001,,,,,
40,K00163,,,0.6907306956351728,,,,,,,,254.3451,,,,,
41,K00174,,0.40874384446513845,0.6766610120711539,,,,,,,9.5032,52.6825,,,,,
42,K00175,,0.4711581429137062,0.599,,,,,,,20.501199999999997,10.8782,,,,,
43,K00201,,,0.6940000000000001,,,,,,,,3.1799,,,,,
