,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00031,,,0.654,,,,,11.0977,,
1,K00033,,,0.7098778172693119,,,,,22.058500000000002,,
2,K00053,,,0.72,,,,,11.8042,,
3,K00077,,,0.7170000000000001,,,,,3.2464,,
4,K00099,,,0.7390000000000001,,,,,10.9778,,
5,K00124,,,0.6779054845695018,,,,,17.4476,,
6,K00163,,,0.6798466053173583,,,,,41.539,,
7,K00175,,,0.6779999999999999,,,,,18.3908,,
8,K00240,,,0.687,,,,,4.4356,,
9,K00241,,,0.6829999999999999,,,,,5.968,,
10,K00259,,,0.716,,,,,6.9184,,
11,K00330,,,0.648,,,,,16.6903,,
12,K00331,,,0.6771836412975132,,,,,28.002000000000002,,
13,K00338,,,0.6729999999999999,,,,,8.3684,,
14,K00339,,,0.698,,,,,5.1291,,
15,K00340,,,0.6825349916080488,,,,,17.3896,,
16,K00425,,,0.636,,,,,2.9091,,
17,K00451,,,0.721,,,,,8.2904,,
18,K00457,,,0.6647294063036205,,,,,15.6396,,
19,K00518,,,0.669,,,,,9.9929,,
20,K00540,,,0.6859999999999999,,,,,2.7527,,
21,K00548,,,0.7190000000000001,,,,,6.1309,,
22,K00549,,,0.67857557180231,,,,,17.973300000000002,,
23,K00554,,,0.773,,,,,2.0315,,
24,K00598,,,0.721,,,,,4.9912,,
25,K00600,,,0.698,,,,,11.6861,,
26,K00602,,,0.7959999999999999,,,,,5.3909,,
27,K00606,,,0.7263365709066393,,,,,9.573699999999999,,
28,K00615,,,0.6990000000000001,,,,,6.8126,,
29,K00688,,,0.6844478214885042,,,,,13.9926,,
30,K00760,,,0.743,,,,,6.0233,,
31,K00763,,,0.752,,,,,2.8844,,
32,K00764,,0.421,0.704,,,,2.1476,10.718499999999999,,
33,K00765,,,0.586,,,,,2.5077,,
34,K00766,,,0.6709999999999999,,,,,3.3131,,
35,K00789,,,0.6878340467374628,,,,,21.4683,,
36,K00798,,,0.716,,,,,4.4129,,
37,K00826,,,0.7140000000000001,,,,,2.9187,,
38,K00858,,,0.648,,,,,3.2984,,
39,K00859,,,0.703,,,,,6.6954,,
40,K00865,,,0.797,,,,,4.642,,
41,K00873,,,0.746,,,,,1.4816,,
42,K00891,,,0.748,,,,,6.054,,
43,K00919,,,0.78,,,,,5.2286,,
44,K00926,,,0.76,,,,,5.4558,,
45,K00937,,,0.708,,,,,8.421,,
46,K00942,,,0.723,,,,,7.572,,
47,K00948,,,0.6843090281071723,,,,,10.8684,,
48,K00954,,,0.687,,,,,7.1346,,
49,K00957,,,0.6940000000000001,,,,,7.1862,,
50,K00963,,,0.7090000000000001,,,,,5.6204,,
51,K00969,,,0.7229999999999999,,,,,7.9162,,
52,K00975,,,0.696,,,,,9.3945,,
53,K00981,,,0.716,,,,,5.3281,,
54,K00986,,,0.6268975304079365,,,,,22.8231,,
55,K00997,,,0.778,,,,,4.941,,
56,K01000,,,0.667,,,,,8.0432,,
57,K01005,,,0.711,,,,,4.6248,,
58,K01056,,,0.7190000000000002,,,,,4.6706,,
59,K01061,,,0.7809999999999999,,,,,5.4167,,
60,K01126,,,0.7,,,,,3.3208,,
61,K01151,,,0.763389557712785,,,,,10.4871,,
62,K01159,,,0.7609999999999999,,,,,2.894,,
63,K01239,,,0.435,,,,,2.567,,
64,K01246,,,0.71,,,,,5.6211,,
65,K01251,,,0.6887147129065411,,,,,53.218500000000006,,
66,K01266,,,0.6990000000000001,,,,,2.0186,,
67,K01358,,,0.6628380407416298,,,,,54.042100000000005,,
68,K01406,,,0.723,,,,,3.1295,,
69,K01409,,,0.758,,,,,5.0564,,
70,K01455,,,0.7106220808330654,,,,,18.517,,
71,K01462,,,0.735,,,,,2.3146,,
72,K01470,,,0.7170000000000001,,,,,6.8095,,
73,K01480,,,0.7650000000000001,,,,,8.1919,,
74,K01494,,,0.6726241834607042,,,,,15.4269,,
75,K01495,,,0.6590000000000001,,,,,8.4897,,
76,K01507,,,0.6759999999999999,,,,,6.7862,,
77,K01551,,,0.7190000000000001,,,,,5.8186,,
78,K01560,,,0.682,,,,,2.6026,,
79,K01588,,,,,0.7390000000000001,,,,,5.2408
80,K01595,,,0.746,,,,,4.2126,,
81,K01596,,,0.691,,,,,17.5043,,
82,K01602,0.655,,,,,2.9257,,,,
83,K01607,,,0.697,,0.626,,,4.7389,,1.3519
84,K01610,,,0.644,,,,,4.6654,,
85,K01620,,,0.639,,,,,2.109,,
86,K01621,,,0.6645780354094193,,,,,17.0248,,
87,K01624,,,0.6828661724885907,,,,,19.8041,,
88,K01626,,,0.684,0.7290000000000001,,,,2.4729,5.5017,
89,K01637,,,0.667,,,,,5.7263,,
90,K01638,,,0.6860219873823221,,,,,26.8592,,
91,K01653,,,0.713,,,,,5.3681,,
92,K01712,,,0.733,,,,,12.3009,,
93,K01724,,0.5,,,,,1.9731,,,
94,K01754,,,0.7090000000000001,,,,,3.0176,,
95,K01772,,,0.698,,,,,4.247,,
96,K01776,,,0.722,,,,,4.6178,,
