,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00003,,,0.733,,,,,23.0917,,
1,K00010,,,0.764,,,,,12.756,,
2,K00033,,,0.7304242806277876,,,,,36.812000000000005,,
3,K00064,,,0.706,,,,,2.8223,,
4,K00067,,,0.7483473178553629,,,,,31.9985,,
5,K00075,,,0.7242129796698142,,,,,14.4404,,
6,K00077,,0.7140000000000001,0.7490078179533027,,,,6.9594,41.7177,,
7,K00099,,,0.667,,,,,20.4375,,
8,K00102,,,0.6759999999999999,,,,,18.658,,
9,K00111,,,0.7170000000000001,,,,,16.1334,,
10,K00112,,,,,0.7492904916029802,,,,,23.2884
11,K00124,,,0.649,,,,,24.907,,
12,K00163,,0.708,0.687205221052155,,,,25.6296,129.0121,,
13,K00175,,,0.6809999999999999,,,,,50.7715,,
14,K00230,,,0.733,,,,,8.3924,,
15,K00240,,,0.6779383871479979,,,,,81.21629999999999,,
16,K00241,,,0.7,,,,,8.1978,,
17,K00242,,,0.687,,,,,19.1376,,
18,K00259,,,0.6940000000000001,,,,,12.337,,
19,K00275,,,0.7392455057681105,,,,,59.2885,,
20,K00286,,,0.706,,,,,12.9465,,
21,K00318,,,0.693,,,,,19.8217,,
22,K00320,,,0.685,,,,,5.9138,,
23,K00330,,,0.6735588337458644,,,,,57.595299999999995,,
24,K00331,,,0.6940000000000001,,,,,89.1535,,
25,K00338,,,0.6693485689133071,,,,,82.7139,,
26,K00339,,,0.6828420940546565,,,,,36.5323,,
27,K00340,,,0.6494181747610365,,,,,14.9482,,
28,K00389,,,0.795,,,,,10.0673,,
29,K00390,,,0.6811016812304471,,,,,13.765999999999998,,
30,K00425,,,0.6614198525632125,,,,,85.7774,,
31,K00426,,,0.7112005255967658,,,,,46.367999999999995,,
32,K00433,,,0.653,,,,,17.8336,,
33,K00441,,0.752,,,,,18.7385,,,
34,K00448,,,0.69,,,,,6.7627,,
35,K00451,,,0.6821190355957016,,,,,103.5159,,
36,K00453,,,0.6964647507237484,,0.726,,,20.7848,,15.3735
37,K00457,,,0.6766028600053241,,,,,89.0683,,
38,K00459,,,0.802,,,,,17.0947,,
39,K00507,,,0.6811182533071678,,,,,22.792299999999997,,
40,K00518,,,0.6640102506978006,,,,,39.167500000000004,,
41,K00525,,,0.644,,,,,30.8132,,
42,K00540,,,0.7126719924334793,,,,,54.2907,,
43,K00548,,,0.6958900420068603,,,,,36.004400000000004,,
44,K00549,,0.69,0.6825255462742007,,,,4.7535,69.8853,,
45,K00566,,,0.7690000000000001,,,,,18.0,,
46,K00567,,,0.778,,,,,11.5943,,
47,K00573,,,0.7098940144161499,,,,,25.2471,,
48,K00574,,,0.708,,,,,11.1571,,
49,K00588,,,0.7003759191433913,,,,,26.0254,,
50,K00598,,,0.7580000000000001,,,,,11.6486,,
51,K00600,,,0.7109133975352654,,,,,102.14559999999999,,
52,K00602,,0.731,0.7456360908958771,,,,5.9773,74.50619999999999,,
53,K00606,,0.75,0.7149933826131888,,,,16.3172,21.0552,,
54,K00615,,,0.711,,,,,29.7978,,
55,K00620,,,0.784,,,,,14.636,,
56,K00626,,,0.7441587666818658,,,,,87.2977,,
57,K00635,,,0.7199775078426792,,,,,81.1955,,
58,K00641,,,0.6329996813040558,,,,,40.5879,,
59,K00645,,,0.7375088607309483,,,,,20.3505,,
60,K00655,,,0.7260548219275567,,,,,79.25059999999999,,
61,K00674,,,0.7170000000000001,,,,,21.2786,,
62,K00684,,,0.7605637045781458,,,,,24.2734,,
63,K00688,,,0.6724293721985163,,,,,43.32330000000001,,
64,K00700,,,0.7190000000000001,,,,,35.8727,,
65,K00705,,,0.7709999999999999,,,,,10.0327,,
66,K00721,,,0.6792647317280346,,,,,8.7533,,
67,K00759,,,0.6846563929641507,,,,,31.2785,,
68,K00760,,,0.6719427050211533,,,,,66.6397,,
69,K00762,,,0.7499999999999999,,,,,15.2806,,
70,K00763,,,0.7231786108835705,,,,,20.5991,,
71,K00764,,,0.7083538759027542,,,,,72.5595,,
72,K00765,,,0.7099517329163807,,,,,33.3763,,
73,K00766,,,0.7512829795446431,,,,,57.999199999999995,,
74,K00768,,,0.71367789485415,,0.733,,,8.7346,,4.1571
75,K00784,,,0.711,,,,,8.1258,,
76,K00788,,,0.7609999999999999,,,,,17.1568,,
77,K00789,,,0.6889022666417994,,,,,82.9828,,
78,K00790,,,0.7083218358512818,,,,,51.5074,,
79,K00791,,,0.7659999999999999,,,,,15.4092,,
80,K00793,,,0.7381885575428001,,,,,31.774599999999996,,
81,K00794,,,0.7266369084280793,0.7240000000000002,,,,20.42,18.9223,
82,K00796,,,0.7559999999999999,,,,,15.963,,
83,K00798,,,0.7277539029908335,,0.708,,,29.9681,,7.5045
84,K00799,,,0.595,,,,,3.3096,,
85,K00800,,,0.7490000000000001,,,,,7.3081,,
86,K00820,,,0.7058294300321126,,,,,38.3792,,
87,K00831,,,0.742,,,,,18.158,,
88,K00858,,,0.7071165573205405,,,,,56.18579999999999,,
89,K00859,,,0.7032341088880777,,,,,51.0826,,
90,K00865,,,0.7769783245854173,,,,,51.2751,,
91,K00873,0.706,,0.7239569608439591,,,3.9244,,81.2323,,
92,K00891,,,0.703,,,,,6.3684,,
93,K00919,,,0.7829999999999999,,,,,6.4019,,
94,K00925,,,0.664,,,,,2.4927,,
95,K00926,,,0.7387385265287159,,,,,58.784400000000005,,
96,K00927,,,0.7321071848002242,,,,,48.1744,,
97,K00930,,,0.7326615369544829,,,,,27.209699999999998,,
98,K00936,,,0.7533042978357062,,,,,38.0164,,
99,K00937,,,0.698,,,,,13.3643,,
100,K00939,,,0.7214194900089438,,,,,35.5396,,
101,K00943,,,0.7640415272474758,,,,,24.100499999999997,,
102,K00945,,,0.7363215244967981,,,,,18.133300000000002,,
103,K00946,,,0.7897209832992328,,,,,35.8603,,
104,K00948,,,0.6748717272159789,,,,,49.1188,,
105,K00950,,,0.7190000000000001,,,,,5.5779,,
106,K00954,,,0.6718826893603685,,,,,33.2475,,
107,K00957,,,0.637,,,,,8.7273,,
108,K00965,,,0.745,,,,,11.9938,,
109,K00969,,,0.7008404274104176,,,,,25.4486,,
110,K00975,,,0.52,,,,,6.5553,,
111,K00981,,,0.7127848609955443,,0.7150000000000001,,,50.07299999999999,,18.7028
112,K00986,,,0.6661074650788802,,,,,218.85640000000004,,
113,K00989,,,0.7262335711742562,,,,,37.4636,,
114,K00990,,,0.759,,,,,19.0178,,
115,K00997,,,0.7240000000000001,,,,,8.2505,,
116,K01000,,,0.6988170257238071,,,,,31.325899999999997,,
117,K01005,,,0.7175991615874666,,0.7350950430771627,,,191.41029999999998,,35.4815
118,K01008,,,0.7715698180318942,,,,,27.9022,,
119,K01011,,,0.8170000000000001,,,,,6.6179,,
120,K01012,,,0.705,,,,,19.7918,,
121,K01040,,,0.708423043856714,,,,,19.6706,,
122,K01046,,,0.807,,,,,9.6217,,
123,K01053,,,0.7509999999999999,,,,,9.3339,,
124,K01056,,,0.6874656135522416,,,,,20.0666,,
125,K01057,,,0.8140000000000001,,,,,11.2828,,
126,K01061,,,0.7317336139494851,,,,,31.4339,,
127,K01066,,,0.773,,,,,18.2703,,
128,K01069,,,0.7333427605184312,,,,,37.809,,
129,K01104,,,0.738,,,,,11.3987,,
130,K01113,,0.6509999999999999,0.7384677728866348,,,,10.7714,48.685,,
131,K01114,,,0.667,,,,,12.5805,,
132,K01126,,,0.706,,,,,29.1544,,
133,K01129,,,0.6940000000000001,,,,,18.2642,,
134,K01142,,,0.684,,,,,22.0959,,
135,K01151,,,0.7661099679099367,,,,,30.1929,,
136,K01159,,,0.7351865224737346,,,,,23.511400000000002,,
137,K01174,,,0.7195702834147059,,,,,20.3914,,
138,K01239,,,0.718,,,,,3.4956,,
139,K01246,,,0.72447221553997,,,,,36.2693,,
140,K01247,,,0.727,,,,,4.2451,,
141,K01251,,,0.6935152440775015,,,,,189.1545,,
142,K01259,,,0.7175925093230265,,,,,14.2503,,
143,K01265,,,0.7341077226283498,,,,,67.0398,,
144,K01266,,,0.7017098149660056,,,,,25.659100000000002,,
145,K01273,,,0.6451869442040296,,,,,8.814599999999999,,
146,K01286,,,0.6990000000000001,,,,,5.6752,,
147,K01295,,,0.718,,,,,10.7,,
148,K01297,,,0.737,,,,,13.1586,,
149,K01356,,,0.7208500622563551,,,,,34.6645,,
150,K01358,,,0.6667144121459017,,,,,282.2869,,
151,K01406,,,0.6698733150560159,,,,,17.1878,,
152,K01409,,,0.754414983284724,,,,,47.0487,,
153,K01417,,,0.6940000000000001,,,,,11.0419,,
154,K01424,,,0.506,,,,,5.0881,,
