,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00003,,,0.6634908799752421,,,,,16.8348,,
1,K00010,,,0.5705273587975355,,,,,9.527099999999999,,
2,K00013,,,0.72,,,,,4.024,,
3,K00019,,,0.643,,,,,8.1338,,
4,K00020,,,0.6260298585934322,,,,,21.2365,,
5,K00029,,,0.6332162850433444,,,,,30.630600000000005,,
6,K00031,,,0.6159653136649295,,,,,75.66369999999999,,
7,K00033,,,0.6334250220911498,,,,,80.3413,,
8,K00035,,,0.588,,,,,2.5437,,
9,K00036,,,0.555383472083498,,,,,10.1308,,
10,K00038,,,0.6740000000000002,,,,,18.3611,,
11,K00039,,,0.59,,,,,3.3909,,
12,K00052,,,0.622,,,,,5.0646,,
13,K00053,,,0.6282997489846001,,,,,86.259,,
14,K00055,,,0.61,,,,,3.0011,,
15,K00057,,,0.6996618097131423,,,,,7.999599999999999,,
16,K00059,,,0.6464797671647501,,,,,53.5993,,
17,K00064,,,0.633930213453946,,,,,10.2085,,
18,K00067,,,0.6703613116435597,,,,,32.197,,
19,K00075,,,0.6263257416767782,,,,,48.6154,,
20,K00077,,,0.6376982780620448,,,,,287.1407000000001,,
21,K00088,,,0.6642930867547154,,,,,13.1379,,
22,K00091,,,0.6542953929264338,,,,,16.8548,,
23,K00096,,,0.637,,,,,3.9396,,
24,K00099,,,0.648955240568328,,,,,33.600899999999996,,
25,K00108,,,0.6481892060575064,,,,,22.2015,,
26,K00111,,,0.6338081751585387,,,,,75.7584,,
27,K00113,,,0.679,,,,,5.7481,,
28,K00116,,,0.6086773823611136,,,,,74.7431,,
29,K00122,,,0.6369741532150083,,,,,45.87360000000001,,
30,K00124,,,0.631067010830908,,,,,43.566,,
31,K00126,,,0.6990000000000001,,0.643,,,4.0143,,5.3733
32,K00127,,,0.5965133121460857,,,,,48.6501,,
33,K00133,,,0.605563996482265,,,,,27.8079,,
34,K00134,,,0.682,,,,,7.1521,,
35,K00135,,,0.6609999999999999,,,,,8.4952,,
36,K00140,,,0.622,,,,,3.3004,,
37,K00145,,,0.6415840621493286,,,,,47.316,,
38,K00147,,,0.6659999999999999,,,,,4.2876,,
39,K00148,,,0.604,,,,,13.0745,,
40,K00153,,,0.68,,,,,5.0043,,
41,K00161,,,0.645,,,,,7.2239,,
42,K00163,,,0.6347889284705528,,,,,241.8151,,
43,K00166,,,0.642,,,,,11.5751,,
44,K00167,,,0.637,,,,,11.5751,,
45,K00174,,,0.633787978052818,,,,,25.9129,,
46,K00175,,,0.6261109037073025,,,,,39.2078,,
47,K00180,,,0.701,,,,,3.6705,,
