,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj Riboviria,GC_adj Varidnaviria,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts Riboviria,gene_counts Varidnaviria,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.6657587251091963,,,,,,,,,78.61789999999999,,,,,,
1,K00005,,,0.64,,,,,,,,,3.8806,,,,,,
2,K00010,,,0.5921565925192187,,,,,,,,,20.4105,,,,,,
3,K00012,,,0.5888850612456438,,,,,,,,,68.0995,,,,,,
4,K00013,,,0.59,,,,,,,,,6.2088,,,,,,
5,K00014,,,0.627166592688766,,,,,,,,,124.82319999999999,,,,,,
6,K00016,,,0.595,,,,,,,,,4.8743,,,,,,
7,K00018,,,0.5993388333179107,,,,,,,,,30.7326,,,,,,
8,K00019,,,0.6318678649780969,,,,,,,,,16.8906,,,,,,
9,K00020,,,0.6430289701712502,,,,,,,,,69.1541,,,,,,
10,K00021,,,0.7150683875827285,,,,,,,,,9.5574,,,,,,
11,K00022,,,0.48599999999999993,,,,,,,,,11.7298,,,,,,
12,K00023,,,0.5886170659929708,,,,,,,,,18.9011,,,,,,
13,K00024,,,0.6324096173713813,,,,,,,,,38.5877,,,,,,
14,K00029,0.585,,0.6071446793486702,,,,,,,5.2632,,101.4474,,,,,,
15,K00030,,,0.5779856026849794,,,,,,,,,14.7545,,,,,,
16,K00031,,,0.5998335563405925,,,,,,,,,103.2186,,,,,,
17,K00033,,,0.6224057536424212,,,,,,,,,353.94870000000003,,,,,,
18,K00034,,,0.5578341013218179,,,,,,,,,15.191199999999998,,,,,,
19,K00036,,,0.5849288875423175,,,,,,,,,146.0011,,,,,,
20,K00038,,,0.6600695168488118,,,,,,,,,66.9855,,,,,,
21,K00039,,,0.5976917940923863,,,,,,,,,22.1905,,,,,,
22,K00052,,,0.6210040915329851,,,,,,,,,46.5915,,,,,,
23,K00053,,,0.6210621476730135,,,,,,,,,236.5289,,,,,,
24,K00054,,0.5479999999999999,,,,,,,,,3.8481,,,,,,,
25,K00055,,,0.621,,,,,,,,,4.1519,,,,,,
26,K00057,,,0.6750058357624851,,,,,,,,,82.0292,,,,,,
27,K00058,,,0.6317442112199861,,0.6809999999999999,,,,,,,66.4141,,4.8212,,,,
28,K00059,,,0.6217692356541857,,,,,,,,,333.054,,,,,,
29,K00060,,,0.6039690674137728,,,,,,,,,52.0888,,,,,,
30,K00064,,,0.6471839153760744,,,,,,,,,18.9291,,,,,,
31,K00065,,,0.584,,,,,,,,,7.3155,,,,,,
32,K00066,,,0.5710000000000001,,,,,,,,,9.8087,,,,,,
33,K00067,,,0.620385444847138,,,,,,,,,185.13769999999997,,,,,,
34,K00074,,,0.6170632677338327,,,,,,,,,10.4923,,,,,,
35,K00075,,,0.6561679434092559,,,,,,,,,272.1010999999999,,,,,,
36,K00077,,0.52,0.6324554768025448,,,,,,0.6579721386044637,,3.0645,986.0907999999997,,,,,,11.213000000000001
37,K00088,,,0.6365322304546187,,,,,,,,,171.60959999999997,,,,,,
38,K00091,,,0.6199378653628961,,,,,,,,,67.60520000000001,,,,,,
39,K00096,,0.5732818478648003,,,,,,,,,6.0306999999999995,,,,,,,
40,K00099,,,0.6395642519712453,,,,,,,,,253.3488000000001,,,,,,
41,K00104,,,0.6700204672658258,,,,,,,,,14.8659,,,,,,
42,K00108,,,0.6414018023817313,,,,,,,,,44.7257,,,,,,
43,K00111,,,0.6432795826885146,,,,,,0.654,,,341.3866999999999,,,,,,4.2859
44,K00112,,,0.68,,,,,,,,,8.4583,,,,,,
45,K00113,,,0.653918111826725,,,,,,,,,45.5263,,,,,,
46,K00116,,,0.5910998947070943,,,,,,,,,39.9469,,,,,,
47,K00118,,,0.6049181574925608,,,,,,,,,15.8995,,,,,,
48,K00122,,,0.6090041132553442,,,,,,,,,54.009699999999995,,,,,,
49,K00123,,,0.5529999999999999,,,,,,,,,8.1964,,,,,,
50,K00124,,,0.6114560935564309,,,,,,,,,230.11950000000002,,,,,,
51,K00126,,,0.6566236077206429,,,,,,,,,25.146800000000002,,,,,,
52,K00127,,,0.5901490395478887,,,,,,,,,151.2693,,,,,,
53,K00133,,,0.6365639542730348,,,,,,,,,102.5763,,,,,,
54,K00134,,,0.6093749263660425,,,,,,,,,110.04669999999999,,,,,,
55,K00135,,,0.588,,,,,,,,,7.9789,,,,,,
56,K00140,,,0.6147960724476487,,,,,,,,,14.275100000000002,,,,,,
57,K00145,,,0.6344869125096773,,,,,,,,,175.9309,,,,,,
58,K00147,,,0.6369603687724646,,,,,,,,,17.6848,,,,,,
59,K00161,,,0.598859224460656,,,,,,,,,19.2295,,,,,,
60,K00162,,,0.6178963391015515,,,,,,,,,57.7523,,,,,,
61,K00163,,0.705,0.6216148075932428,,,,,,,,5.139,1150.1187,,,,,,
62,K00166,,,0.67,,,,,,,,,21.6552,,,,,,
63,K00172,,,0.684,,,,,,,,,2.73,,,,,,
64,K00174,,0.5379999999999999,0.6137287982278834,,,,,,,,4.636,196.96120000000002,,,,,,
65,K00175,,0.534,0.5910396955881349,,,,,,,,4.3412,174.6485,,,,,,
66,K00176,,,0.6008170493565306,,,,,,,,,15.784299999999998,,,,,,
67,K00177,,,0.5808205938433012,,,,,,,,,13.6973,,,,,,
68,K00180,,,0.6508478963188037,,,,,,,,,8.5654,,,,,,
69,K00200,,,0.6484648422267919,,,,,,,,,19.1714,,,,,,
70,K00208,,,0.6199207746055312,,,,,,,,,131.7191,,,,,,
71,K00209,,,0.6068086469355686,,,,,,,,,15.9205,,,,,,
72,K00215,,,0.6441458352855569,,,,,,,,,159.5546,,,,,,
73,K00217,,,0.65,,,,,,,,,5.8915,,,,,,
74,K00220,,,0.6679999999999998,,,,,,,,,6.0985,,,,,,
75,K00221,,,0.6010474994287822,,,,,,0.742,,,13.9204,,,,,,4.5981
76,K00226,,,0.5760000000000001,,,,,,,,,4.9626,,,,,,
77,K00227,,,0.5583642288752086,,,,,,,,,10.971,,,,,,
78,K00228,,,0.6578649123609234,,,,,,,,,138.38789999999997,,,,,,
79,K00231,,,0.6119336839245041,,,,,,,,,98.53980000000001,,,,,,
80,K00232,,,0.6328472741586302,,,,,,,,,6.8489,,,,,,
81,K00240,,0.519,0.600679428473489,,,,,,,,5.9,296.43710000000004,,,,,,
82,K00241,,,0.5804256781983405,,,,,,0.562,,,228.06189999999998,,,,,,1.7442
83,K00242,,,0.638570066628334,,,,,,,,,52.7361,,,,,,
84,K00245,,,0.6230386592168781,,,,,,,,,26.7534,,,,,,
85,K00246,,,0.599,,,,,,,,,5.1663,,,,,,
86,K00247,,,0.5983820487745198,,,,,,,,,26.409199999999995,,,,,,
87,K00249,,,0.6063994721232102,,,,,,,,,175.45489999999998,,,,,,
88,K00252,,,0.6456271223042522,,,,,,,,,35.331500000000005,,,,,,
89,K00253,,,0.6470000000000001,,,,,,,,,14.0033,,,,,,
90,K00254,,,0.6792303234004171,,,,,,,,,66.8636,,,,,,
91,K00259,,,0.7056799027380707,,,,,,,,,16.5493,,,,,,
92,K00261,,,0.608,,,,,,,,,10.1327,,,,,,
93,K00262,,,0.575,,,,,,,,,3.4618,,,,,,
94,K00273,,,0.6218568783198812,,,,,,,,,13.4812,,,,,,
95,K00275,,,0.6732342466206059,,,,,,0.684,,,208.8575,,,,,,8.7888
96,K00278,,,0.6184790708828887,,,,,,,,,24.9878,,,,,,
97,K00279,,,0.7070000000000001,,,,,,,,,4.9328,,,,,,
98,K00282,,,0.6309915686461878,,,,,,,,,34.7653,,,,,,
99,K00283,,,0.5760000000000001,,,,,,,,,11.6196,,,,,,
100,K00285,,,0.649,,,,,,,,,5.8903,,,,,,
101,K00286,,0.631,0.6436021778740196,,0.59,,,,0.5480658129064533,,5.0728,281.178,,3.3088,,,,10.7377
102,K00287,,,0.6600093061975681,,,,,,,,,55.8128,,,,,,
103,K00294,,,0.564,,,,,,,,,7.4044,,,,,,
104,K00297,,,0.6704660603869984,,,,,,,,,157.94610000000003,,,,,,
105,K00299,,,0.6723273630977403,,,,,,,,,24.536299999999997,,,,,,
106,K00300,,,0.673,,,,,,,,,3.7662,,,,,,
107,K00301,,,0.609,,,,,,,,,7.0033,,,,,,
108,K00303,,,0.6803275837980395,,,,,,,,,28.3594,,,,,,
109,K00304,,,0.6650555794416951,,,,,,,,,55.970299999999995,,,,,,
110,K00305,,,0.6753616584269503,,,,,,,,,23.234,,,,,,
111,K00311,,,0.6187029593052227,,,,,,,,,125.51820000000001,,,,,,
112,K00316,,,0.590036837634282,,,,,,,,,66.33449999999999,,,,,,
113,K00320,,,0.6304993040211297,,,,,,,,,55.054500000000004,,,,,,
114,K00322,,,0.560104536550642,,,,,,,,,21.8383,,,,,,
115,K00324,,,0.662170853035991,,,,,,,,,29.3353,,,,,,
116,K00330,,,0.5737305211004246,,,,,,,,,403.88699999999994,,,,,,
117,K00331,,,0.6041833147288519,,,,,,,,,109.1024,,,,,,
118,K00332,,,0.6064105018441639,,,,,,,,,79.58499999999998,,,,,,
119,K00333,,,0.56,,,,,,,,,12.0595,,,,,,
120,K00334,,,0.6117310835310441,,,,,,,,,240.4346,,,,,,
121,K00335,,,0.5920000000000001,,,,,,,,,12.324,,,,,,
122,K00337,,,0.5908375204926073,,,,,,,,,10.339400000000001,,,,,,
123,K00338,,,0.6015093748147343,,,,,,,,,248.77259999999995,,,,,,
124,K00339,,,0.6059545904915451,,,,,,,,,110.39670000000002,,,,,,
125,K00340,,,0.5658878492450146,,,,,,,,,325.00399999999996,,,,,,
126,K00341,,,0.568,,,,,,,,,7.1041,,,,,,
127,K00342,,,0.5634404462803955,,,,,,,,,18.0402,,,,,,
128,K00343,,,0.6060533904286809,,,,,,,,,82.2824,,,,,,
129,K00344,,,0.627463571364914,,,,,,,,,243.7745,,,,,,
130,K00355,,,0.5992370200164387,,,,,,,,,16.1327,,,,,,
131,K00363,,,0.5940325660839542,,,,,,,,,14.8336,,,,,,
132,K00365,,,0.6218055753694961,,,,,,,,,34.1329,,,,,,
133,K00366,,,0.5836194277573012,,,,,,,,,18.2457,,,,,,
134,K00368,,,0.5828775194855362,,,,,,,,,7.6434999999999995,,,,,,
135,K00371,,,0.5939999999999999,,,,,,,,,6.0659,,,,,,
136,K00373,,,0.6218208447332314,,,,,,,,,13.0058,,,,,,
137,K00374,,,0.62,,,,,,,,,3.2613,,,,,,
138,K00375,,,0.6171741152689179,,,,,,,,,21.062799999999996,,,,,,
139,K00382,,,0.6398550100509707,,,,,,,,,28.0304,,,,,,
140,K00384,,,0.6143851267846488,,,,,,,,,101.973,,,,,,
141,K00386,,,0.552,,,,,,,,,4.2628,,,,,,
142,K00389,,,0.5820623791409998,,,,,,,,,154.43769999999998,,,,,,
143,K00390,,,0.6118417436981318,,,,,,,,,144.56079999999997,,,,,,
144,K00394,,,0.6061076151647202,,,,,,,,,10.4833,,,,,,
145,K00395,,,0.5830169772965751,,,,,,,,,22.7883,,,,,,
146,K00406,,,0.5934071420349183,,,,,,,,,133.3505,,,,,,
147,K00407,,,,,,,,,0.537,,,,,,,,,2.8415
148,K00411,,,0.659146484410257,,,,,,0.645,,,117.72699999999999,,,,,,2.3449
149,K00412,,,0.5897967196979303,,0.28,,,,,,,66.47879999999999,,8.1933,,,,
150,K00413,,,0.6412701658397822,,,,,,,,,106.29970000000002,,,,,,
151,K00424,,,0.6135559104520178,,,,,,,,,6.7033000000000005,,,,,,
152,K00425,,,0.6080201055308073,,0.629,,,,,,,913.7089000000001,,6.7469,,,,
153,K00426,,,0.6075759810246691,,,,,,0.570133364506223,,,650.8172999999997,,,,,,10.7942
154,K00428,,,0.6200353386739009,,,,,,,,,225.22110000000006,,,,,,
155,K00432,,,0.5957986795279037,,0.58,,,,,,,252.42639999999997,,6.4759,,,,
156,K00433,,,0.5976290808342184,,0.5870000000000001,,,,,,,452.61089999999996,,5.3122,,,,
157,K00435,,,0.5812455288564387,,,,,,,,,26.552699999999998,,,,,,
158,K00446,,,0.6313603288065179,,,,,,,,,28.8504,,,,,,
159,K00448,,,0.625888373526956,,,,,,,,,43.2783,,,,,,
160,K00449,,,0.6124273629933701,,,,,,,,,97.8032,,,,,,
161,K00450,,,0.6584698988750954,,0.527,,,,,,,89.1423,,1.9364,,,,
162,K00451,,,0.6397478674337068,,,,,,,,,289.38360000000006,,,,,,
163,K00452,,,0.6000913558679383,,,,,,,,,68.0137,,,,,,
164,K00453,,,0.5984389587791166,,,,,,,,,271.4945,,,,,,
165,K00456,,,0.5771233351938254,,,,,,,,,95.9788,,,,,,
