,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00003,,,0.7199999999999999,,,,,16.3495,,
1,K00031,,,0.635,,,,,26.3903,,
2,K00033,,,0.7061240076218508,,,,,32.3966,,
3,K00053,,,0.6981432197285387,,,,,52.6573,,
4,K00099,,,0.6857758285677575,,,,,36.142799999999994,,
5,K00111,,,0.74,,,,,6.4187,,
6,K00122,,,0.639,,,,,12.6063,,
7,K00124,,,0.6499999999999999,,,,,13.8259,,
8,K00163,,,0.6919341212001484,,,,,55.3461,,
9,K00175,,,0.6809999999999999,,,,,53.7751,,
10,K00176,,,0.547,,,,,1.435,,
11,K00215,,,0.6930564452142856,,,,,14.6098,,
12,K00221,,,0.713,,,,,4.8175,,
13,K00230,,,0.713,,,,,5.2243,,
14,K00240,,,0.6461381807927962,,,,,51.0921,,
15,K00241,,,0.6919387792475692,,,,,42.0279,,
16,K00242,,,0.6970000000000001,,,,,11.6658,,
17,K00275,,,0.7157062435029479,,,,,8.5991,,
18,K00330,,,0.64080528150106,,,,,19.194,,
19,K00331,,,0.669,,,,,22.4615,,
20,K00334,,,0.6970000000000001,,,,,11.0852,,
21,K00338,,,0.6975711993818423,,,,,35.7631,,
22,K00340,,,0.62,,,,,12.6667,,
23,K00343,,,0.6940000000000001,,,,,10.7596,,
24,K00389,,,0.7031726965889094,,,,,19.0508,,
25,K00390,,,0.684,,,,,28.0988,,
26,K00425,,,0.6703075541327719,,,,,22.8708,,
27,K00426,,,0.6940000000000001,,0.71,,,12.575,,4.904
28,K00449,,,0.718,,,,,14.0876,,
29,K00451,,,0.6976068305165556,,,,,23.0726,,
30,K00453,,,0.7078331774155348,,,,,20.508499999999998,,
31,K00457,,,0.655195151575822,,,,,51.1777,,
32,K00507,,,0.69,,,,,10.885,,
33,K00540,,,0.6509999999999999,,,,,2.5246,,
34,K00547,,,0.5429999999999999,,,,,2.7635,,
35,K00548,,,0.745,,,,,8.7254,,
36,K00549,,,0.6890434377088902,,,,,101.7827,,
37,K00573,,,0.7303709768900272,,,,,14.1277,,
38,K00577,,0.35100000000000003,,,,,3.8937,,,
39,K00600,,0.4,0.7149263507004463,,,,6.1578,35.498,,
40,K00602,,,0.7064091278185342,,,,,47.958600000000004,,
41,K00606,,,0.7225784022855268,0.7210000000000001,,,,17.0536,5.0464,
42,K00626,,,0.7391021317442736,,,,,18.1692,,
43,K00635,,,0.7161537980572238,,0.7140000000000001,,,46.8831,,7.316
44,K00641,,,0.7037296799732539,,,,,9.985700000000001,,
45,K00655,,,0.7215414627189809,,,,,17.975299999999997,,
46,K00674,,,0.706,,,,,20.4749,,
47,K00677,,,0.49,,,,,2.2059,,
48,K00688,,,0.7040000000000001,,,,,11.0939,,
49,K00700,,,0.672,,,,,22.2763,,
50,K00759,,,0.7068933737764402,,,,,53.07470000000001,,
51,K00760,,,0.6661348882068767,,,,,36.4861,,
52,K00762,,,0.659,,,,,5.7867,,
53,K00764,,,0.7077709860270002,,,,,60.422200000000004,,
54,K00766,,,0.755,,,,,17.0443,,
55,K00784,,,0.7583454434649759,,,,,17.6832,,
56,K00789,,,0.679832311306119,,,,,42.184200000000004,,
57,K00790,,,0.7070000000000001,,,,,9.5153,,
58,K00793,,,0.7195239632335805,,,,,13.5747,,
59,K00794,,0.406,0.730362214137394,,,,5.3416,24.8289,,
60,K00796,,,0.745,,,,,7.9084,,
61,K00797,,,0.672,,,,,5.6699,,
62,K00798,,,0.7240253073550975,,,,,20.7879,,
63,K00799,,,0.632,,,,,3.3116,,
64,K00800,,0.4139999999999999,,,,,2.8008,,,
65,K00806,,,0.6709999999999999,,,,,12.8184,,
66,K00820,,,0.665,,,,,39.814,,
67,K00831,,,0.7509999999999999,,,,,11.198,,
68,K00857,,,0.667,,,,,6.106,,
69,K00858,,,0.7178053840989127,,,,,19.163,,
70,K00859,,,0.7176669183335979,,,,,16.5597,,
71,K00865,,,0.802,,,,,8.304,,
72,K00867,,,0.7040000000000001,,,,,5.133,,
73,K00873,,,0.6962267489394197,,,,,20.5018,,
74,K00925,,,0.743,,,,,11.1832,,
75,K00926,,,0.6991383132399082,,,,,29.9455,,
76,K00943,,,0.7254324612672791,,,,,16.9884,,
77,K00945,,,0.718,,,,,4.6833,,
78,K00948,,,0.6833924592819286,,,,,45.474000000000004,,
79,K00954,,,0.6890000000000001,,,,,14.3554,,
80,K00957,,,0.6755929219912924,,,,,21.9065,,
81,K00962,,,0.6940000000000001,,,,,36.6387,,
82,K00963,,0.701,,,,,10.649,,,
83,K00969,,,0.655,,,,,7.4623,,
84,K00971,,,0.6779999999999999,,,,,1.939,,
85,K00975,,,0.564,,,,,3.9756,,
86,K00978,,,0.6559999999999999,,,,,5.5338,,
87,K00981,,,0.7429999999999999,0.705,,,,8.6116,8.2369,
