,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.7090000000000001,,,,,,,8.7676,,,,
1,K00010,,,0.662,,,,,,,5.2778,,,,
2,K00012,,,0.594593647991665,,,,,,,31.792500000000004,,,,
3,K00014,,,0.6617898554671093,,,,,,,20.8399,,,,
4,K00021,,,0.6609999999999999,,,,,,,4.636,,,,
5,K00024,,,0.6729999999999998,,,,,,,8.0851,,,,
6,K00029,,,0.669,,,,,,,2.6556,,,,
7,K00031,,,0.6200065109759543,,,,,,,101.8005,,,,
8,K00033,,,0.6201422858131089,,0.6191944388989886,,,,,203.73670000000004,,8.868400000000001,,
9,K00036,,,0.6313581710983655,,,,,,,59.078700000000005,,,,
10,K00039,,,0.5990000000000001,,,,,,,10.8456,,,,
11,K00052,,,0.586,,,,,,,3.9106,,,,
12,K00053,,,0.6355663745407095,,,,,,,126.26380000000003,,,,
13,K00057,,,0.636,,,,,,,3.0962,,,,
14,K00058,,0.687,0.6830933191352688,,,,,,6.482,23.146900000000002,,,,
15,K00059,,,0.629509784614941,,,,,,,87.253,,,,
16,K00060,,,0.5772447143796092,,,,,,,11.5966,,,,
17,K00067,,,0.6385907965933802,,,,0.698,,,38.05420000000001,,,,2.3498
18,K00075,,,0.6197887846255771,,,,,,,76.4641,,,,
19,K00076,,,0.7140000000000001,,,,,,,5.8735,,,,
20,K00077,,0.7070000000000001,0.6351927249740188,,,,0.356,,5.0518,167.61209999999994,,,,3.1429
21,K00088,,,0.6371773793659333,,,,,,,41.6474,,,,
22,K00091,,,0.7390000000000001,,,,,,,6.1851,,,,
23,K00099,,,0.6307778310806403,,,,,,,61.8592,,,,
24,K00102,,,0.648,,,,,,,4.3199,,,,
25,K00108,,,0.609,,,,,,,9.6373,,,,
26,K00111,,,0.6802020155193724,,,,,,,97.61769999999999,,,,
27,K00113,,,0.647182669409893,,,,,,,10.0979,,,,
28,K00116,,,0.5950851619772946,,,,,,,27.798099999999998,,,,
29,K00122,,,0.6291824770671887,,,,,,,30.7741,,,,
30,K00124,,,0.6179979273883517,,,,,,,80.7675,,,,
31,K00126,,,0.6113805190546087,,,,0.626,,,8.0556,,,,3.4808
32,K00127,,,0.6119140605422377,,,,,,,30.5343,,,,
33,K00133,,0.6779999999999999,0.6231987301039171,,,,,,9.3561,26.1366,,,,
34,K00134,,,0.6078353311676666,,,,,,,27.9695,,,,
35,K00140,,,0.6697889767186098,,,,,,,10.861,,,,
36,K00145,,,0.6302893119054591,,,,,,,46.61899999999999,,,,
37,K00161,,,0.6386236873892848,,,,,,,30.8161,,,,
38,K00162,,,0.639,,,,,,,4.714,,,,
