,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj Riboviria,GC_adj Varidnaviria,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts Riboviria,gene_counts Varidnaviria,gene_counts unclassified viruses,gene_countsUnclassified
0,K00012,,,0.685,,,,,,,,,5.6843,,,,,,
1,K00014,,,0.7709999999999998,,,,,,,,,4.1125,,,,,,
2,K00024,,,0.669,,,,,,,,,10.071,,,,,,
3,K00029,,,0.7006371939700483,,,,,,,,,8.8816,,,,,,
4,K00031,,,0.6355088017570615,,,,,,,,,133.244,,,,,,
5,K00033,,,0.6805668353271986,,,,,,,,,66.3385,,,,,,
6,K00041,,,0.717,,,,,,,,,4.966,,,,,,
7,K00045,,,0.696,,,,,,,,,9.1053,,,,,,
8,K00053,,,0.6480440726915483,,,,,,,,,89.61749999999999,,,,,,
9,K00057,,,0.6787856012025191,,,,,,,,,8.5543,,,,,,
10,K00058,,,0.7120500290539137,,,,,,,,,12.7079,,,,,,
11,K00059,,,0.6970906721766026,,,,,,,,,29.7523,,,,,,
12,K00060,,,0.6759999999999999,,,,,,,,,4.9138,,,,,,
13,K00067,,,0.734489844146443,,,,,,,,,11.618099999999998,,,,,,
14,K00074,,,0.7020000000000001,,,,,,,,,5.7277,,,,,,
15,K00075,,,0.6641796584890958,,,,,,,,,26.682999999999996,,,,,,
16,K00077,,0.706,0.6668695048757002,,,,,,,,7.2252,55.739399999999996,,,,,,
17,K00088,,,0.6930293881981873,,,,,,,,,27.731199999999998,,,,,,
18,K00096,,,0.741,,,,,,,,,7.5683,,,,,,
19,K00099,,,0.7070007551972344,,,,,,,,,53.570899999999995,,,,,,
20,K00108,,,0.691,,,,,,,,,13.0226,,,,,,
21,K00111,,,0.7001208092618825,,,,,,,,,39.712799999999994,,,,,,
22,K00122,,,0.6430000000000001,,,,,,,,,8.2627,,,,,,
23,K00124,,,0.6369571079651516,,,,,,,,,27.3613,,,,,,
24,K00127,,,0.609,,,,,,,,,7.878,,,,,,
25,K00133,,,0.6189559070510549,,,,,,,,,30.5821,,,,,,
26,K00140,,,0.72,,,,,,,,,22.9649,,,,,,
27,K00145,,,0.7072387688425772,,,,,,,,,24.5899,,,,,,
28,K00153,,,0.7140000000000001,,,,,,,,,14.1798,,,,,,
29,K00161,,,0.6709999999999999,,,,,,,,,5.977,,,,,,
30,K00162,,,0.6659999999999999,,,,,,,,,8.1581,,,,,,
31,K00163,,,0.6784335445889165,,,,,,,,,410.05219999999997,,,,,,
32,K00174,,,0.6923484255537218,,,,,,,,,35.496,,,,,,
33,K00175,,,0.680839837446179,,,,,,,,,75.47370000000001,,,,,,
34,K00208,,,0.6633987441456335,,,,,,,,,16.5405,,,,,,
35,K00215,,,0.6924138988605527,,,,,,,,,16.6966,,,,,,
36,K00228,,,0.650301296901685,,,,,,,,,26.570500000000003,,,,,,
37,K00240,,,0.6437889355052497,,,,,,,,,154.4576,,,,,,
38,K00241,,,0.6136634548291003,,,,,,,,,12.251900000000001,,,,,,
39,K00242,,,0.6078375606241138,,,,,,,,,20.8709,,,,,,
40,K00248,,,0.6759999999999999,,,,,,,,,5.7561,,,,,,
41,K00249,,,0.6871043560617893,,,,,,,,,51.7756,,,,,,
42,K00252,,,0.6729999999999999,,,,,,,,,5.8876,,,,,,
43,K00254,,,0.7340993046027444,,,,,,,,,10.3222,,,,,,
44,K00259,,,0.684,,,,,,,,,6.0345,,,,,,
45,K00275,,,0.6864096104886696,,,,,,,,,43.6669,,,,,,
46,K00286,,,0.714738508707698,,,,,,,,,10.8421,,,,,,
47,K00287,,,0.688,,,,,,,,,3.1243,,,,,,
48,K00297,,,0.7014653877380989,,,,,,,,,8.482,,,,,,
49,K00299,,,0.7018527828939545,,,,,,,,,10.7412,,,,,,
50,K00304,,,0.556,,,,,,,,,3.7211,,,,,,
51,K00330,,,0.6144960779456998,,,,,,,,,61.8055,,,,,,
52,K00332,,,0.598497809089193,,,,,,,,,12.659699999999999,,,,,,
53,K00334,,,0.6988612147531958,,,,,,,,,9.5443,,,,,,
54,K00338,,,0.6322664640598925,,,,,,,,,55.4322,,,,,,
55,K00339,,,0.6360103176656066,,,,,,,,,14.683399999999999,,,,,,
56,K00340,,,0.6076436044171521,,,,,,,,,50.89490000000001,,,,,,
57,K00341,,,,,0.29600000000000004,,,,,,,,,10.2933,,,,
58,K00343,,,0.688,,,,,,,,,5.5203,,,,,,
59,K00344,,,0.7179142339092849,,,,,,,,,10.3445,,,,,,
60,K00363,,,0.708,,,,,,,,,3.5254,,,,,,
61,K00365,,,0.684,,,,,,,,,4.3507,,,,,,
62,K00373,,,0.659,,,,,,,,,1.1272,,,,,,
63,K00375,,,0.667,,,,,,,,,4.907,,,,,,
64,K00382,,,0.7240000000000001,,,,,,,,,4.6181,,,,,,
65,K00384,,,0.6766599652469801,,,,,,,,,20.8965,,,,,,
66,K00389,,,0.6874902289090206,,,,,,,,,18.808300000000003,,,,,,
67,K00390,,,0.696818265579211,,,,,,,,,31.290300000000002,,,,,,
68,K00395,,,0.546,,,,,,,,,2.7039,,,,,,
69,K00407,,,0.6737534830819526,,,,,,,,,15.7436,,,,,,
70,K00411,,,0.6469180345617885,,,,,,,,,29.6954,,,,,,
71,K00412,,,0.607572682547972,,0.29100000000000004,,,,,,,44.539699999999996,,8.6385,,,,
72,K00425,,,0.640582714503566,,,,,,,,,183.8867,,,,,,
73,K00426,,,0.6550584732663721,,,,,,,,,101.92999999999998,,,,,,
74,K00428,,,0.6459999999999999,,,,,,,,,1.9376,,,,,,
75,K00432,,,0.6477285331724587,,,,,,,,,28.4566,,,,,,
76,K00433,,,0.6645889573748328,,,,,,,,,39.252900000000004,,,,,,
77,K00435,,,0.6878840890590843,,,,,,,,,16.9038,,,,,,
78,K00446,,,0.6793161674857436,,,,,,,,,18.307000000000002,,,,,,
79,K00448,,,0.6708186607695428,,,,,,,,,9.6063,,,,,,
80,K00449,,,0.679091257102755,,,,,,,,,40.5454,,,,,,
