,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_countsUnclassified
0,K00003,,,0.7192445603648234,,,,,,21.2973,,,
1,K00012,,,0.6346822749751199,,,,,,24.3548,,,
2,K00013,,,0.7249999999999999,,,,,,5.0661,,,
3,K00014,,,0.641926337501751,,,,,,14.8242,,,
4,K00018,,,0.631,,,,,,5.4251,,,
5,K00020,,,0.6764927230904855,,,,,,17.6508,,,
6,K00024,,,0.642234323298932,,,,,,16.1622,,,
7,K00029,,,0.7170000000000001,,,,,,6.3094,,,
8,K00030,,,0.532,,,,,,3.5749,,,
9,K00031,,,0.6368540985132071,,,,,,39.4029,,,
10,K00033,,,0.6456776876904112,,,,,,205.65970000000002,,,
11,K00036,,,0.6338106969427468,,,,,,63.4086,,,
12,K00038,,,0.674,,,,,,6.4423,,,
13,K00040,,,0.7500000000000001,,,,,,5.4894,,,
14,K00052,,,0.6709928360226305,,,,,,9.9986,,,
15,K00053,,,0.6545434496043828,,,,,,163.6125,,,
16,K00054,,,0.59,,,,,,5.327,,,
17,K00057,,,0.7036280618861614,,,,,,45.391600000000004,,,
18,K00058,,,0.615,,,,,,5.9293,,,
19,K00059,,,0.6566362575760931,,,,,,64.63250000000001,,,
20,K00060,,,0.6274160788600214,,,,,,19.0814,,,
21,K00064,,,0.6621525187580101,,,,,,8.8672,,,
22,K00065,,,0.6099916348496205,,,,,,5.982200000000001,,,
23,K00067,,,0.6479864770669228,,,,,,42.8331,,,
24,K00075,,,0.667510990755926,,,,,,89.57770000000002,,,
25,K00077,,,0.672327890624299,,,0.743,,,154.5477,,,3.4058
26,K00088,,,0.6899403926572191,,,,,,38.7197,,,
27,K00091,,,0.6695189414889897,,,,,,15.558,,,
28,K00099,,,0.6595450722907313,,,,,,94.876,,,
29,K00108,,,0.7154920443014988,,,,,,11.1192,,,
30,K00111,,,0.6623552146681706,,,,,,126.12840000000003,,,
31,K00113,,,0.672,,,,,,9.7115,,,
32,K00116,,,0.5715613557228086,,,,,,33.1355,,,
33,K00122,,,0.6383743986522543,,,,,,8.0226,,,
34,K00124,,,0.6109895983873964,,,,,,112.4495,,,
35,K00126,,,0.6615235093969346,,,0.654,,,25.259999999999998,,,8.2053
36,K00127,,,0.5905966845652444,,,,,,29.395200000000003,,,
37,K00133,,,0.656149208118353,,,,,,79.1113,,,
38,K00134,,,0.635644720693095,,,,,,14.907,,,
39,K00140,,,0.6890000000000001,,,,,,12.3611,,,
40,K00145,,,0.644888731701164,,,,,,60.157999999999994,,,
41,K00147,,,0.621,,,,,,6.1391,,,
42,K00153,,,0.713,,,,,,16.6366,,,
43,K00156,,,0.5589999999999999,,,,,,2.7147,,,
44,K00161,,,0.59,,,,,,4.8108,,,
45,K00163,,,0.6437173006269094,,,,,,537.6896999999999,,,
46,K00169,,,0.691,,,,,,9.2535,,,
47,K00174,,,0.6257290965445163,,,,,,33.3996,,,
48,K00175,,,0.6279344986574095,,,,,,54.7483,,,
49,K00208,,,0.5881176999447337,,,,,,29.671200000000002,,,
50,K00209,,,0.597,,,,,,2.5084,,,
51,K00215,,,0.6651319458187129,,,,,,54.282599999999995,,,
52,K00228,,,0.6442443018283359,,,,,,44.2341,,,
53,K00231,,,0.6061775234444284,,,,,,20.078400000000002,,,
54,K00240,,,0.6193148911996821,,0.5720000000000001,,,,93.10820000000001,,8.2797,
55,K00241,,,0.5904598295331162,,,,,,58.717299999999994,,,
56,K00242,,,0.6493543169919166,,,,,,39.235899999999994,,,
57,K00249,,,0.672536545883383,,,,,,87.29490000000001,,,
58,K00252,,,0.645,,,,,,7.6787,,,
59,K00254,,,0.7027849138173407,,,,,,40.3265,,,
60,K00259,,,0.6878812219895514,,,,,,33.3381,,,
61,K00263,,,0.6930000000000001,,,,,,6.0467,,,
62,K00266,,,0.611,,,,,,5.7328,,,
63,K00273,,,0.7370801958652535,,,,,,14.754999999999999,,,
64,K00275,,,0.693419545272756,,,0.6394316981009096,,,90.0029,,,7.6244
65,K00282,,,0.589,,,,,,4.8408,,,
66,K00283,,,0.608,,,,,,7.2682,,,
67,K00286,,0.603,0.6683538059319551,,,,,3.136,93.79790000000003,,,
68,K00287,,,0.6493430929732644,,,,,,28.8367,,,
69,K00297,,,0.6839851278719714,,,,,,73.74140000000001,,,
70,K00299,,,0.694169436396626,,,,,,41.392799999999994,,,
71,K00304,,,0.6758706847546747,,,,,,17.6682,,,
72,K00305,,,0.667,,,,,,12.0521,,,
73,K00311,,,0.6276349526404603,,,,,,17.4117,,,
74,K00315,,,0.672,,,,,,12.0521,,,
75,K00316,,,0.5660464098149137,,,,,,14.0015,,,
76,K00317,,,0.6920000000000001,,,,,,7.2997,,,
77,K00318,,,0.613,,,,,,4.8328,,,
78,K00320,,,0.7016857995935869,,,,,,20.2177,,,
79,K00322,,,0.684,,,,,,20.7497,,,
80,K00324,,,0.6634370219312548,,,,,,11.863800000000001,,,
81,K00330,,,0.5711992084340974,,,,,,128.4376,,,
82,K00331,,,0.625668741738617,,,,,,89.31400000000001,,,
83,K00332,,,0.6668976428199307,,,,,,45.2512,,,
84,K00334,,,0.63727688326061,,,,,,72.3942,,,
85,K00338,,,0.6218777949887447,,,,,,103.4381,,,
86,K00339,,,0.6312363027990366,,,,,,54.847100000000005,,,
87,K00340,,,0.5886494039861704,,,,,,87.39359999999999,,,
88,K00341,,,0.541,,0.262,,,,5.2761,,10.2548,
89,K00342,,,0.624735284708997,,,,,,16.825699999999998,,,
90,K00343,,,0.6364459497397296,,0.253,,,,28.747300000000003,,21.4667,
91,K00344,,,0.705,,,,,,5.2031,,,
92,K00355,,,0.531,,,,,,1.7984,,,
93,K00363,,,0.583,,,,,,2.1922,,,
94,K00365,,,0.6503463306287056,,,,,,22.632,,,
95,K00375,,,0.7378852619494023,,,,,,13.9183,,,
96,K00381,,,0.6390392218841816,,,,,,11.9027,,,
97,K00382,,,0.6940000000000001,,,,,,4.7835,,,
98,K00384,,,0.6446919310646942,,,,,,36.0417,,,
99,K00389,,,0.6005939470554923,,,0.617,,,53.37140000000001,,,2.8795
100,K00390,,,0.6321301386461277,,,,,,52.84649999999999,,,
101,K00406,,,0.6066692714880978,,,,,,10.0491,,,
102,K00411,,,0.6559325433845944,,,,,,40.217200000000005,,,
103,K00412,0.256,,0.6034802421415293,,0.28612072442839986,,11.534,,17.973100000000002,,28.8571,
104,K00413,,,0.6306618418105309,,,,,,52.7867,,,
105,K00425,,,0.6410918097727726,,,,,,379.55539999999996,,,
106,K00426,,,0.6529433129997986,,,,,,262.601,,,
107,K00428,,,0.6197988502678317,,,,,,20.5827,,,
108,K00432,,,0.618213385974888,,,,,,165.82260000000005,,,
109,K00433,,,0.6252846094226229,,,,,,133.58509999999998,,,
110,K00435,,,0.620492375660091,,,,,,22.8398,,,
111,K00446,,,0.6971657501738142,,,,,,27.240900000000003,,,
112,K00448,,,0.6207504069414461,,,,,,6.2928,,,
113,K00449,,,0.6120598038502014,,,,,,27.018,,,
114,K00450,,,0.7018370274951691,,,,,,19.4285,,,
115,K00451,,,0.6454012890134143,,0.588,,,,184.54560000000004,,2.8356,
116,K00452,,,0.5969386930832865,,,,,,47.60059999999999,,,
117,K00453,,,0.6299874465147296,,,,,,124.03329999999998,,,
118,K00456,,,0.5850037242296059,,,,,,25.6373,,,
119,K00457,,,0.6456709967349363,,0.512,,,,122.0137,,1.4988,
120,K00459,,,0.6908214424936603,,,,,,148.5187,,,
