,KEGG,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00286,,0.58,,,,4.45,,
1,K00331,,0.5870000000000001,,,,9.7986,,
2,K00338,,0.619,,,,9.4286,,
3,K00411,,0.623,,,,3.4423,,
4,K00425,,0.5870000000000001,,,,4.6188,,
5,K00451,,0.627,,,,3.0415,,
6,K00457,,0.677,,,,6.0958,,
7,K00507,,0.5851159212384599,,,,11.768899999999999,,
8,K00549,,0.5870000000000001,,,,6.0747,,
9,K00600,,0.6252936854435097,,,,10.6392,,
10,K00609,,0.7,,,,6.0698,,
11,K00641,,0.593,,,,4.9849,,
12,K00720,,0.568,,,,7.5995,,
13,K00759,,0.652,,,,5.602,,
14,K00760,,0.552,,,,3.679,,
15,K00763,,0.6199031812083854,,,,9.7838,,
16,K00764,,0.620329500047825,,,,9.6328,,
17,K00793,0.5920000000000001,,,,4.6515,,,
18,K00851,,0.5539999999999999,,,,3.4717,,
19,K00858,,0.662,,,,5.7706,,
20,K00865,,0.5770000000000001,,,,2.1139,,
21,K00925,,0.597,,,,5.2234,,
22,K00948,,0.6339513694934857,,,,14.9344,,
23,K00954,,0.573,,,,2.4146,,
24,K00969,,0.609,,,,5.177,,
25,K00971,,0.5710000000000001,,,,4.3023,,
26,K00986,,0.5737000056209284,,,,35.758,,
27,K01061,,0.581,,,,13.9097,,
28,K01075,,0.544,,,,7.069,,
29,K01095,,0.604,,,,6.0383,,
30,K01118,,0.619,,,,10.0766,,
31,K01206,,0.6619999999999999,,,,2.1244,,
32,K01239,,0.616,,,,6.3309,,
33,K01251,,0.5985421086395898,,,,18.7735,,
34,K01273,,0.569,,,,6.4021,,
35,K01283,,0.5670000000000001,,,,3.9299,,
36,K01358,,0.5693232005261671,,,,14.816,,
37,K01409,,0.7499999999999999,,,,2.8646,,
38,K01426,,0.603,,,,7.3476,,
39,K01462,,0.581,,,,1.6587,,
40,K01494,,0.65,,,,6.06,,
41,K01548,,0.606,,,,4.7026,,
42,K01595,,0.5877803258574197,,,,10.2895,,
43,K01607,,0.5889670268194155,,,,30.572499999999998,,
44,K01626,,0.708517806994573,,,,9.1302,,
45,K01637,,0.645,,,,6.0049,,
