,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj Varidnaviria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts Varidnaviria,gene_countsUnclassified
0,K00003,,,0.762,,,,,,9.9663,,,
1,K00009,,,0.7190278101965998,,,,,,14.870099999999999,,,
2,K00012,,,0.5720000000000001,,,,,,4.1819,,,
3,K00031,,,0.629,,,,,,32.1517,,,
4,K00033,,,0.6900220813828715,,,,,,128.4867,,,
5,K00036,,,0.6627512229587283,,,,,,15.284500000000001,,,
6,K00053,,0.477,0.6713210023435755,,,,,5.6622,51.47899999999999,,,
7,K00054,,0.451,,,,,,2.5283,,,,
8,K00057,,,0.575,,,,,,4.3958,,,
9,K00059,,,0.604,,,,,,4.2919,,,
10,K00060,,,0.591,,,,,,5.0061,,,
11,K00067,,,0.6614533746535031,,,,,,13.195,,,
12,K00075,,,0.6992991230132675,,,,,,32.947300000000006,,,
13,K00077,,,0.6788100401532421,,,,,,39.251999999999995,,,
14,K00096,,0.424,,,,,,4.1042,,,,
15,K00099,,,0.6987235155284582,,,,,,60.64829999999999,,,
16,K00111,,,0.7171897335853988,,,,,,81.48010000000001,,,
17,K00122,,,0.654,,,,,,23.9453,,,
18,K00124,,,0.6653840935966505,,,,,,35.4982,,,
19,K00127,,,0.6161716681222265,,,,,,6.1259999999999994,,,
20,K00133,,,0.632,,,,,,5.3067,,,
21,K00145,,0.399,0.6845512605000929,,,,,4.8583,31.244300000000003,,,
22,K00161,,,0.578,,,,,,7.5994,,,
23,K00163,,,0.6827759673182983,,,,,,163.04450000000003,,,
24,K00174,,0.484,0.6933642276127424,,,,,3.808,25.386400000000002,,,
25,K00175,,0.52,0.6771735957218393,,,,,4.1109,102.07849999999999,,,
26,K00180,,,0.677,,,,,,3.5249,,,
27,K00201,,,0.653,,,,,,2.6517,,,
28,K00202,,,0.7600000000000001,,,,,,9.8695,,,
29,K00215,,,0.6289006050439621,,,,,,7.1114999999999995,,,
30,K00221,,,,,,0.701,,,,,,3.533
31,K00228,,,0.7120091652978727,,,,,,13.9071,,,
32,K00232,,,0.7160000000000001,,,,,,7.7432,,,
33,K00240,,0.449,0.6346577221997991,,,,,4.362,73.72179999999999,,,
34,K00241,,0.498,0.6139798705869912,,,,,4.362,12.7922,,,
35,K00254,,,0.624,,,,,,5.3582,,,
36,K00259,,,0.637,,,,,,5.7293,,,
37,K00262,,,0.601,,,,,,5.617,,,
38,K00273,,,0.6143838527053885,,,,,,14.16,,,
39,K00275,,,0.6806955316733354,,,,,,25.825899999999997,,,
40,K00281,,,0.61,,,,,,5.6246,,,
41,K00286,,,0.6944162174919986,,,0.708,,,45.9636,,,3.4066
42,K00297,,,0.6743613212745521,,,,,,13.719899999999999,,,
43,K00301,,,0.6,,,,,,3.7152,,,
44,K00304,,,0.7240000000000001,,,,,,3.0021,,,
45,K00318,,,0.604,,,,,,6.0303,,,
46,K00320,,,0.677,,,,,,8.2746,,,
47,K00330,,,0.6289361205212394,,,,,,134.33689999999999,,,
48,K00331,,,0.6488594922697055,,,,,,56.210800000000006,,,
49,K00332,,,0.625,,,,,,5.0479,,,
50,K00334,,,0.6189678169292405,,,,,,7.0216,,,
51,K00338,,,0.6600725747554882,,,,,,144.615,,,
52,K00339,,,0.6906538643145491,,,,,,22.1504,,,
53,K00340,,0.386,0.6587415301816826,,,,,2.4168,59.2237,,,
54,K00343,,,0.625,,,,,,4.3639,,,
55,K00344,,,0.5879999999999999,,,,,,4.0566,,,
56,K00365,,,0.716,,,,,,6.7514,,,
57,K00384,,0.4627588221107042,,,,,,8.7058,,,,
58,K00389,,,0.6396119860044623,,,0.789,,,9.883099999999999,,,2.9058
59,K00390,,0.385,0.674562999944194,,,,,4.3926,54.9045,,,
60,K00395,,,0.6029999999999999,,,,,,4.2693,,,
61,K00406,,,0.669,,,,,,4.4004,,,
62,K00412,,,0.6192307096670531,,,,,,19.7246,,,
63,K00413,,,0.716,,,,,,2.2963,,,
64,K00425,,,0.6403527333986223,,,,,,95.21039999999999,,,
65,K00426,,,0.6704670115994473,,,,,,38.8968,,,
66,K00428,,,0.6050009042688761,,,,,,7.7591,,,
67,K00432,,,0.619,,,,,,2.9825,,,
68,K00433,,,0.6577843643637634,,,,,,36.399,,,
69,K00435,,,0.5920000000000001,,,,,,5.4273,,,
70,K00446,,,0.6956801916998212,,,,,,14.306700000000001,,,
71,K00448,,,0.624,,,,,,6.6486,,,
72,K00449,,,0.649706337544629,,,,,,32.6102,,,
73,K00451,,,0.6742344651102092,,,,,,81.7404,,,
74,K00452,,,0.5518455157524049,,,,,,8.372399999999999,,,
75,K00453,,,0.675106504159729,,,,,,44.52510000000001,,,
