,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj Riboviria,GC_adj Varidnaviria,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts Riboviria,gene_counts Varidnaviria,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.6795133250700153,,,,,,,,36.24679999999999,,,,,
1,K00005,,,0.723,,,,,,,,7.3437,,,,,
2,K00009,,,0.718,,,,,,,,11.3242,,,,,
3,K00010,,,0.493,,,,,,,,4.6265,,,,,
4,K00012,,,0.504,,,,,,,,5.2324,,,,,
5,K00014,,,0.615,,,,,,,,5.0328,,,,,
6,K00018,,,0.589,,,,,,,,6.0205,,,,,
7,K00019,,,0.581,,,,,,,,4.7097,,,,,
8,K00020,,,0.6430176607504722,,,,,,,,14.4049,,,,,
9,K00029,,,0.6544921454384274,,,,,,,,13.162600000000001,,,,,
10,K00031,,,0.6207557642977414,,,,,,,,92.4049,,,,,
11,K00033,,,0.6505765295542367,,,,,,,,127.4159,,,,,
12,K00036,,,0.6675454454965164,,,,,,,,49.2847,,,,,
13,K00038,,,0.705,,,,,,,,3.5721,,,,,
14,K00046,,,0.633,,,,,,,,3.7201,,,,,
15,K00052,,,0.624,,,,,,,,13.2183,,,,,
16,K00053,,,0.6700590529319258,,,,,,,,125.87620000000001,,,,,
17,K00057,,,0.6867203507694725,,,,,,,,12.258099999999999,,,,,
18,K00058,,,0.6676205570613654,,,,,,,,21.9043,,,,,
19,K00059,,,0.6608265062109306,,,,,,,,20.2853,,,,,
20,K00067,,,0.6849823079814826,,,,,,,,79.60570000000001,,,,,
21,K00075,,,0.6589522749569765,,,,,,,,81.4126,,,,,
22,K00077,,,0.6856562567887868,,,,,,,,169.03910000000002,,,,,
23,K00082,,,0.706,,,,,,,,9.7079,,,,,
24,K00088,,,0.709781917344079,,,,,,,,45.66,,,,,
25,K00099,,,0.6745333799077377,,,,,,,,128.4245,,,,,
26,K00111,,0.542,0.6609972667917822,,,,,,,2.4373,88.82050000000001,,,,,
27,K00112,,,0.7246288656579715,,,,,0.752,,,14.837499999999999,,,,,7.9818
28,K00113,,,0.708,,,,,,,,8.7782,,,,,
29,K00122,,,0.6751949181279562,,,,,,,,94.09909999999999,,,,,
30,K00124,,,0.6545358024613348,,,,,,,,25.4925,,,,,
31,K00126,,,0.598,,,,,,,,2.9651,,,,,
32,K00127,,,0.614342868250545,,,,,,,,27.5227,,,,,
33,K00133,,,0.6890724134537959,,,,,,,,36.9591,,,,,
34,K00134,,,0.6236006185906884,,,,,,,,45.6656,,,,,
35,K00145,,,0.644404559078897,,,,,,,,61.4536,,,,,
36,K00161,,,0.606,,,,,,,,9.3234,,,,,
37,K00163,,0.7132723950421844,0.6657285735908053,,,,,,,18.194399999999998,524.2875999999999,,,,,
38,K00169,,,0.669,,,,,,,,11.0336,,,,,
39,K00174,,,0.6656056952994607,,,,,,,,83.08679999999998,,,,,
40,K00175,,,0.6528903658450483,,,,,,,,106.73029999999999,,,,,
41,K00179,,,0.6609999999999999,,,,,,,,13.2236,,,,,
42,K00180,,,0.6451490711006461,,,,,,,,9.6027,,,,,
43,K00200,,,0.609,,,,,,,,4.6402,,,,,
44,K00201,,,0.6204169925172632,,,,,,,,7.389900000000001,,,,,
45,K00208,,,0.6561452374113815,,,,,,,,45.2634,,,,,
46,K00215,,,0.6487309435439884,,,,,,,,82.03150000000001,,,,,
47,K00220,,,0.652,,,,,,,,9.2967,,,,,
48,K00221,,,0.706,,,,,0.746,,,3.5205,,,,,3.6765
49,K00226,,,0.63,,,,,,,,3.1704,,,,,
50,K00227,,,0.383,,,,,,,,3.0245,,,,,
51,K00228,,,0.6445075027873939,,,,,,,,20.8444,,,,,
52,K00230,,,0.629,,,,,0.6806128213865791,,,3.4622,,,,,6.962300000000001
53,K00231,,,0.7209787416378264,,,,,,,,8.1446,,,,,
54,K00232,,,,0.534,,,,,,,,2.3743,,,,
55,K00240,,0.375,0.6156388101678102,,,,,,,3.7064,139.3431,,,,,
56,K00241,,,0.6161494344509012,,,,,,,,65.8748,,,,,
57,K00242,,,0.619793612545625,,,,,,,,17.6784,,,,,
58,K00245,,,0.603,,,,,,,,7.5893,,,,,
59,K00246,,,0.6020726029598585,,,,,,,,6.7461,,,,,
60,K00247,,,0.6474372983386801,,,,,,,,21.9516,,,,,
61,K00249,,,0.6480656328335734,,,,,,,,35.7612,,,,,
62,K00252,,,0.6659999999999999,,,,,,,,15.216,,,,,
63,K00254,,,0.5336484201333355,,,,,,,,13.4791,,,,,
64,K00259,,,0.679748187720432,,,,,,,,27.5948,,,,,
65,K00271,,,0.65,,,,,,,,4.0221,,,,,
66,K00275,,,0.6684331072871281,,,,,,,,157.51949999999994,,,,,
67,K00279,,,0.637,,,,,,,,2.627,,,,,
68,K00282,,,0.718,,,,,,,,14.984,,,,,
69,K00286,,,0.6980483721661651,,,,,,,,113.42190000000001,,,,,
70,K00287,,,0.6405638181794138,,,,,,,,15.7204,,,,,
71,K00297,,,0.647427685781645,,,,,,,,39.685300000000005,,,,,
72,K00299,,,0.745,,,,,,,,4.8295,,,,,
73,K00303,,,0.698,,,,,,,,7.2489,,,,,
74,K00304,,,0.7038913055185838,,,,,,,,13.2832,,,,,
75,K00311,,,0.642,,,,,,,,8.3405,,,,,
76,K00316,,,0.675,,,,,,,,6.0734,,,,,
77,K00320,,,0.6794737182510624,,,,,,,,12.4054,,,,,
78,K00322,,,0.652,,,,,,,,11.2015,,,,,
79,K00324,,,0.6743784164092665,,,,,,,,23.1588,,,,,
80,K00330,,,0.6166146588351897,,,,,,,,131.88819999999998,,,,,
81,K00331,,,0.672065579833725,,,,,,,,73.54429999999999,,,,,
82,K00332,,,0.5760105072583397,,,,,,,,10.6421,,,,,
83,K00333,,,0.6609999999999999,,,,,,,,25.1718,,,,,
84,K00334,,,0.6584570636285526,,,,,,,,74.73810000000002,,,,,
85,K00338,,,0.6451112344089164,,,,,,,,140.4948,,,,,
86,K00339,,,0.6972064460605298,,,,,,,,85.37989999999999,,,,,
87,K00340,,,0.6124537967323965,,,,,,,,133.8918,,,,,
88,K00341,,,,0.266,,,,,,,,10.3792,,,,
89,K00343,,,0.679405381555152,,,,,,,,38.609700000000004,,,,,
90,K00344,,,0.6483069521756334,,,,,,,,38.7405,,,,,
91,K00363,,,0.6133929508179745,,,,,,,,11.6667,,,,,
92,K00371,,,0.615,,,,,,,,6.6494,,,,,
93,K00373,,,0.634,,,,,,,,4.7414,,,,,
94,K00374,,,0.602,,,,,,,,3.62,,,,,
95,K00382,,,0.616,,,,,,,,7.1767,,,,,
96,K00384,,,0.6504104221963525,,,,,,,,38.7965,,,,,
97,K00389,,,0.6705745061706511,,,,,0.7205926883487727,,,39.0412,,,,,8.8202
98,K00390,,0.34600000000000003,0.7002247374628231,,,,,,,2.1661,47.4959,,,,,
99,K00394,,,0.619,,,,,,,,7.8149,,,,,
