,KEGG,GC_adj Archaea,GC_adj Bacteria,GC_adjUnclassified,gene_counts Archaea,gene_counts Bacteria,gene_countsUnclassified
0,K00033,,0.6970000000000001,,,8.2222,
1,K00053,0.382,0.644,,2.7506,4.1791,
2,K00075,,0.5899499063255722,,,6.6795,
3,K00077,,0.6729999999999999,,,3.9299,
4,K00163,,0.6528835884339127,,,9.353200000000001,
5,K00240,,0.6509999999999999,,,7.1371,
6,K00286,,0.58,,,3.5173,
7,K00330,,0.525,,,3.3085,
8,K00334,,0.693,,,3.7644,
9,K00338,,0.532,,,6.0917,
10,K00368,0.413,,,6.4267,,
11,K00425,,0.616,,,5.4639,
12,K00426,,0.649,,,2.4595,
13,K00433,,0.6459999999999999,,,13.7627,
14,K00507,,0.513,,,5.3942,
15,K00549,,0.6629999999999999,,,9.3939,
16,K00560,,0.598,,,12.6514,
17,K00602,,0.634,,,3.56,
18,K00616,,0.539,,,4.9808,
19,K00640,,0.627,,,3.7512,
20,K00641,,0.6859999999999999,,,4.5,
21,K00662,,0.621,,,3.1007,
22,K00677,,0.6618068563731381,,,12.0582,
23,K00688,,0.625,,,27.9522,
24,K00748,,0.693,,,3.1751,
25,K00759,0.338,0.626,,3.8406,2.9413,
26,K00764,,0.5429999999999999,,,2.9364,
27,K00789,,0.5899614246190891,,,8.2724,
28,K00791,,0.616,,,1.4901,
29,K00797,,0.628,,,6.2488,
30,K00799,,0.652963517033922,,,9.72,
31,K00820,,0.636,,,5.2561,
32,K00851,,0.49700000000000016,,,3.8981,
33,K00857,,0.224,,,3.7774,
34,K00858,,0.733,,,2.981,
35,K00945,,0.5820000000000001,,,1.9778,
36,K00948,,0.578,,,4.0143,
37,K00957,,0.5710000000000001,,,4.7508,
38,K00981,,0.522,,,3.1691,
39,K00986,,0.5985235118645864,,,167.8841,
40,K01061,,0.6609999999999999,,,4.5038,
41,K01118,,0.575,,,7.082,
42,K01251,,0.608,,,6.0607,
43,K01265,,0.610479722602711,,,12.1287,
44,K01358,,0.6160664087775248,,,34.0047,
45,K01419,,0.6053716928014109,,,7.6212,
46,K01448,,,0.605,,,2.1991
47,K01455,,0.606,,,6.5752,
48,K01494,,0.614,,,23.2746,
49,K01497,,0.637,,,9.2491,
50,K01515,,0.609,,,3.0899,
51,K01523,,0.633,,,4.7543,
52,K01546,,0.6121422297000149,,,17.8312,
53,K01561,,0.5870000000000001,,,6.4667,
54,K01595,,0.597,,,2.5544,
55,K01607,,0.6667035829977452,,,8.9179,
56,K01610,,0.6409999999999999,,,7.5625,
57,K01623,,0.59,,,10.1705,
58,K01626,,0.684,,,11.4152,
59,K01638,,0.563,,,2.7511,
60,K01689,,0.6611587475043089,,,17.3019,
61,K01719,,0.609,,,2.7035,
62,K01724,0.343,,,3.1527,,
63,K01725,,0.6171721400281193,,,17.250300000000003,
64,K01733,,0.669,,,5.422,
65,K01772,,0.66,,,3.4976,
66,K01804,,0.585,,,3.0468,
67,K01807,,0.529,,,2.2395,
68,K01810,,0.6247326649215112,,,40.1623,
69,K01867,,0.627,,,1.6556,
70,K01868,,0.54,,,2.8126,
71,K01872,,0.643,,,7.2745,
72,K01881,,0.602,,,8.5463,
73,K01915,,0.639338725091899,,,30.5403,
74,K01920,,0.518,,,3.6181,
75,K01923,,0.5760000000000001,,,2.5714,
76,K01933,,0.605,,,2.3455,
77,K01937,,0.6058618915832802,,,37.5022,
78,K01939,,0.6501719189152941,,,11.9608,
79,K01940,,0.716,,,3.8793,
80,K01951,,0.653411129384273,,,25.5423,
81,K01953,,0.645,0.662,,4.4822,2.7687
82,K01972,,0.667,,,2.2998,
83,K01992,,0.638,,,6.1938,
84,K02004,,0.6924071095536,,,7.5360000000000005,
85,K02019,,0.7099999999999999,,,3.5154,
86,K02029,,0.672,,,3.0767,
87,K02033,,0.685,,,11.4867,
88,K02034,,0.7025149944818281,,,11.364799999999999,
89,K02042,,0.5870000000000001,,,1.4876,
90,K02050,,0.6559366042518705,,,7.5318000000000005,
91,K02066,,0.6476990430654158,,,12.296199999999999,
92,K02078,,0.6414061418130674,,,5.5815,
93,K02172,,0.6651756976404596,,,4.7102,
94,K02194,,0.653,,,2.1518,
95,K02197,,0.667,,,1.9877,
96,K02221,,0.669,,,2.0157,
97,K02224,0.373,,,3.5394,,
98,K02242,,0.6809999999999999,,,3.8851,
99,K02276,,0.527,,,3.3527,
100,K02313,,0.653,,,4.3978,
101,K02314,,0.63,,,5.1755,
102,K02316,,0.505,,,4.0955,
103,K02456,,0.526,,,3.493,
104,K02492,0.368,,,4.076,,
105,K02518,,0.646932530299601,,,10.0789,
106,K02600,,0.63,,,5.4751,
107,K02601,,0.6369801188299816,,,8.7486,
108,K02664,,0.6563136278182511,,,9.0272,
109,K02834,,0.675,,,3.9953,
110,K02864,,0.672,,,3.3871,
111,K02867,,0.5915970149035362,,,8.567,
112,K02871,,0.634,,,3.2568,
113,K02887,,0.6359317588134292,,,15.5602,
114,K02897,,0.6590000000000001,,,4.6243,
115,K02907,,0.6579999999999999,,,2.7321,
116,K02910,0.358,,,4.0318,,
117,K02919,,,0.578,,,2.6342
118,K02935,,0.5660000000000001,,,2.4005,
119,K02945,,0.6400249483043794,,,25.3745,
120,K02946,,0.546,,,5.5353,
121,K02965,,0.743,,,14.4866,
122,K02970,,0.627,,,4.9785,
123,K02982,,0.632,,,8.2515,
124,K02986,,0.6221510100142125,,,10.2775,
125,K03040,,0.652,,,7.8722,
126,K03075,,0.674,,,2.9341,
127,K03088,,0.6304002014250514,,,16.6827,
128,K03092,,0.626,,,6.0687,
129,K03100,,0.551,,,2.6182,
