,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj Riboviria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts Riboviria,gene_countsUnclassified
0,K00003,,,0.6507607474669167,,,,,,,72.608,,,,
1,K00010,,,0.6347737451185019,,,,,,,18.2367,,,,
2,K00012,,,0.570321302440675,,,,,,,42.57480000000001,,,,
3,K00014,,,0.6347045215288413,,,,,,,41.1663,,,,
4,K00016,,,0.687,,,,,,,4.2934,,,,
5,K00020,,,0.6328682054459149,,,,,,,50.979600000000005,,,,
6,K00021,,,0.637,,,,,,,3.3361,,,,
7,K00022,,,0.6097353828491294,,,,,,,16.5824,,,,
8,K00024,,,0.6308884523074262,,,,,,,33.3094,,,,
9,K00029,,,0.636537822086518,,0.6579999999999999,,,,,68.3389,,9.2282,,
10,K00030,,,0.629,,,,,,,6.7866,,,,
11,K00031,,,0.5626612558043157,,,,,,,22.009800000000002,,,,
12,K00033,,,0.6325844406288798,,,,,,,251.65500000000003,,,,
13,K00036,,,0.6352815888716419,,,,,,,46.251,,,,
14,K00038,,,0.6729999999999999,,,,,,,5.7804,,,,
15,K00041,,,0.378,,,,,,,3.4812,,,,
16,K00052,,,0.6258914696327076,,,,,,,52.9324,,,,
17,K00053,,,0.6225102934214891,,,,,,,173.92799999999997,,,,
18,K00054,,,0.65,,,,,,,2.8514,,,,
19,K00057,,,0.6331564164372567,,,,,,,59.3194,,,,
20,K00058,,,0.6659334754008214,,,,,,,27.498599999999996,,,,
21,K00059,,,0.656981178470841,,,,,,,80.92840000000001,,,,
22,K00060,,,0.6276595887971874,,,,,,,37.4565,,,,
23,K00064,,,0.5710000000000001,,,,,,,11.1503,,,,
24,K00065,,,0.688,,,,,,,3.6326,,,,
25,K00067,0.667,,0.6344136182996494,,,,,3.9188,,134.6643,,,,
26,K00074,,,0.6097353828491294,,,,,,,16.5824,,,,
27,K00075,,,0.6300147969521709,,,,,,,130.2049,,,,
28,K00077,,,0.648247974748851,,,,,,,280.11300000000006,,,,
29,K00088,,,0.6361798317592695,,,,,,,115.35730000000001,,,,
30,K00091,,,0.6521265710582855,,,,,,,25.1386,,,,
31,K00096,,,0.650139265886196,,,,,,,5.972799999999999,,,,
32,K00097,,,0.5660000000000001,,,,,,,9.4686,,,,
33,K00099,,,0.6205623110821369,,,,,,,122.60530000000001,,,,
34,K00108,,,0.642838443081746,,,,,,,12.242999999999999,,,,
35,K00111,,,0.6369746016156287,,,,,,,172.69729999999998,,,,
36,K00112,,,0.682,,,,,,,4.3207,,,,
37,K00116,,,0.562,,,,,,,3.5977,,,,
38,K00121,,,0.613,,,,,,,8.4383,,,,
39,K00122,,,0.5831575819521552,,,,,,,13.2621,,,,
40,K00124,,,0.6392443891197425,,,,,,,96.5345,,,,
41,K00126,,,0.52,,,,,,,4.0547,,,,
42,K00127,,,0.6069590083698683,,,,,,,77.908,,,,
43,K00133,,,0.6516591487596755,,,,,,,42.9918,,,,
44,K00134,,,0.6120104551726022,,,,,,,102.66279999999999,,,,
45,K00135,,,0.6559999999999999,,,,,,,6.342,,,,
46,K00137,,,0.6829999999999999,,,,,,,10.5571,,,,
47,K00145,,,0.6423728506650179,,,,,,,150.88359999999997,,,,
48,K00147,,,0.596,,0.691,,,,,11.1812,,13.3959,,
49,K00148,,,0.5386467174216636,,,,,,,50.0723,,,,
50,K00156,,,0.619,,,,,,,9.1618,,,,
51,K00161,,,0.6358531201182733,,,,,,,19.9347,,,,
52,K00163,,,0.6188420339568693,,,,,,,592.4857000000002,,,,
53,K00169,,,0.648959001517727,,,,,,,30.435000000000002,,,,
54,K00170,,,0.595,,,,,,,12.425,,,,
55,K00172,,,0.6433964065638647,,,,,,,37.1413,,,,
56,K00174,,,0.648715237787534,,,,,,,149.03,,,,
57,K00175,,,0.6367406251154317,,,,,,,144.3057,,,,
58,K00176,,,0.6096529121869552,,,,,,,65.6287,,,,
59,K00177,,,0.6276933400763354,,,,,,,46.813,,,,
60,K00180,,,0.6611210375218335,,,,,,,26.2086,,,,
61,K00208,,,0.5991656219537941,,,,,,,54.3144,,,,
62,K00209,,,0.615,,,,,,,4.2222,,,,
63,K00215,,,0.645169383352856,,,,,,,135.7606,,,,
64,K00221,,,0.649,,,,,,,5.3297,,,,
65,K00226,,,0.6019730640976492,,,,,,,20.0501,,,,
66,K00228,,,0.6076812375484117,,,,,,,102.8327,,,,
67,K00230,,,0.6927815989449313,,,,0.6515496990781546,,,14.0546,,,,15.909300000000002
68,K00231,,,0.7038048316844211,,,,0.693,,,42.181400000000004,,,,8.4408
69,K00240,,,0.629389446773487,,,,,,,216.85130000000004,,,,
70,K00241,,,0.5956513145907913,,,,,,,143.0228,,,,
71,K00242,,,0.581896160712589,,,,,,,57.22,,,,
72,K00243,,,0.589,,,,,,,4.6881,,,,
73,K00245,,,0.6136895217819739,,,,,,,28.566799999999997,,,,
74,K00247,,,0.6086310879570273,,,,,,,25.8571,,,,
75,K00249,,,0.6635524505927322,,,,,,,127.98389999999998,,,,
76,K00252,,,0.6271382855178371,,,,,,,22.549100000000003,,,,
77,K00254,,,0.6303044858789338,,,,,,,54.496399999999994,,,,
78,K00259,,,0.6333032760610763,,,,,,,39.9987,,,,
79,K00263,,,0.616,,,,,,,7.4522,,,,
80,K00266,,,0.5870000000000001,,,,,,,15.7224,,,,
81,K00271,,,0.72,,,,,,,4.3929,,,,
82,K00273,,,0.6940000000000001,,,,,,,2.5982,,,,
83,K00275,,,0.6156694013251605,,0.6940000000000001,,0.433,,,103.33579999999999,,4.2879,,2.6906
84,K00278,,,0.564,,,,,,,12.9934,,,,
