,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.727,,,,,,,9.8283,,,,
1,K00029,,,0.6223645834431133,,,,,,,24.160700000000002,,,,
2,K00031,,,0.6080767294896163,,,,,,,63.1001,,,,
3,K00033,,,0.6532603220259414,,,,,,,39.4542,,,,
4,K00036,,,0.679,,,,,,,8.9876,,,,
5,K00038,,,0.6509971056454124,,,,,,,18.4095,,,,
6,K00039,,,0.613,,,,,,,7.5298,,,,
7,K00053,,,0.6826662283895504,,,,,,,12.553899999999999,,,,
8,K00057,,,0.5589999999999999,,,,,,,2.7343,,,,
9,K00064,,,0.643,,,,,,,3.7182,,,,
10,K00067,,,0.721,,,,,,,3.6088,,,,
11,K00075,,,0.6520171901478783,,,,,,,30.1627,,,,
12,K00077,,,0.6240768805696041,,,,,,,167.49980000000005,,,,
13,K00088,,,0.687,,,,,,,29.5434,,,,
14,K00096,,,0.741,,,,,,,4.5598,,,,
15,K00099,,,0.637394444471384,,,,,,,36.0432,,,,
16,K00111,,,0.7135338234860328,,,,,,,37.070299999999996,,,,
17,K00116,,,0.6005936606408947,,,,,,,43.2392,,,,
18,K00122,,,0.6084136016061731,,,,,,,10.9332,,,,
19,K00124,,,0.6307176964648438,,,,,,,24.673,,,,
20,K00127,,,0.5913207739778004,,,,,,,22.000300000000003,,,,
21,K00133,,,0.5942407856753533,,,,,,,44.07119999999999,,,,
22,K00134,,,0.6409999999999999,,,,,,,5.3556,,,,
23,K00140,,,0.601,,,,,,,5.2022,,,,
24,K00145,,,0.6563562131523775,,,,,,,12.375999999999998,,,,
25,K00161,,,0.699,,,,,,,6.7573,,,,
26,K00163,,,0.6508467497822714,,,,,,,219.14629999999997,,,,
27,K00172,,0.705,,,,,,,3.7311,,,,,
28,K00174,,,0.645,,,,,,,22.7279,,,,
29,K00175,,,0.6137818846977844,,,,,,,47.728899999999996,,,,
30,K00202,,,0.625,,,,,,,2.1102,,,,
31,K00208,,,0.6176191278247074,,,,,,,25.842499999999998,,,,
32,K00215,,,0.6969057521860431,,,,,,,24.862000000000002,,,,
33,K00228,,,0.6475265706439228,,,,,,,49.4611,,,,
34,K00240,,,0.6190054471442717,,,,,,,108.16250000000002,,,,
35,K00241,,,0.6011442517825999,,,,,,,55.27689999999999,,,,
36,K00242,,,0.6211808599914947,,,,,,,16.5916,,,,
37,K00247,,,0.629,,,,,,,2.9617,,,,
38,K00249,,,0.5811168702675016,,,,,,,13.8318,,,,
39,K00254,,,0.6947718525646985,,,,,,,26.9971,,,,
40,K00273,,,0.706,,,,,,,5.7396,,,,
41,K00275,,,0.6448743109550277,,,,,,,46.7423,,,,
42,K00286,,,0.6783861469405152,,,,,,,14.0217,,,,
43,K00287,,,0.5217832974803622,,,,,,,3.7541,,,,
44,K00297,,,0.643696561922627,,,,,,,17.494500000000002,,,,
45,K00299,,,0.631,,,,,,,3.6163,,,,
46,K00311,,,0.6360356721141799,,,,,,,20.3093,,,,
47,K00330,,,0.5884642141506217,,,,,,,37.1541,,,,
48,K00331,,,0.6278490259596604,,,,,,,48.1078,,,,
49,K00332,,,0.5920000000000001,,,,,,,12.6894,,,,
50,K00334,,,0.6373931343884647,,,,,,,18.9251,,,,
51,K00338,,,0.6725917952807552,,,,,,,71.5658,,,,
52,K00339,,,0.6104799570252416,,,,,,,34.9533,,,,
53,K00340,,,0.581140763462276,,,,,,,29.936600000000002,,,,
54,K00344,,,0.5929407869053264,,,,,,,32.3414,,,,
55,K00363,,,0.6049544765366758,,,,,,,10.6187,,,,
56,K00365,,,0.691,,,,,,,5.5723,,,,
57,K00368,,,0.612,,,,,,,3.613,,,,
58,K00371,,,0.631,,,,,,,2.5264,,,,
59,K00389,,,0.63120222991143,,,,,,,23.7106,,,,
60,K00390,,,0.6198726685975608,,,,,,,19.003999999999998,,,,
61,K00406,,,0.608,,,,,,,4.4457,,,,
62,K00411,,,0.655,,,,,,,3.5393,,,,
63,K00412,,,0.544,,,,,,,3.4472,,,,
64,K00413,,,0.6293899441900692,,,,,,,51.68879999999999,,,,
65,K00425,,,0.5927125542460316,,,,,,,210.06829999999988,,,,
66,K00426,,,0.6346118977175869,,,,,,,114.84710000000001,,,,
67,K00428,,,0.6038129925175436,,,,,,,43.523199999999996,,,,
68,K00432,,,0.6423440457492385,,,,,,,19.0306,,,,
69,K00433,,,0.6193599154824905,,,,,,,99.97760000000001,,,,
70,K00446,,,0.6541487531695487,,,,,,,20.2319,,,,
71,K00449,,,0.656728420865568,,,,,,,61.8959,,,,
72,K00450,,,0.6372218063671464,,,,,,,32.4019,,,,
73,K00451,,,0.6459477505927739,,,,,,,102.3038,,,,
74,K00453,,,0.6005469226087767,,,,,,,25.439,,,,
75,K00456,,,0.5429999999999999,,,,,,,2.5087,,,,
76,K00457,,,0.610885938640173,,,,0.647,,,59.549899999999994,,,,2.4306
77,K00459,,,0.6659613505288537,,,,,,,136.049,,,,
78,K00481,,,0.58,,,,,,,6.2723,,,,
79,K00496,,,0.642,,,,,,,6.4499,,,,
80,K00507,,,0.5827404621489453,,,,,,,28.1317,,,,
81,K00525,,,0.633510454467771,,,,,,,41.312,,,,
82,K00526,,,0.6102353325047147,,,,,,,27.1869,,,,
83,K00528,,,0.6237863018750643,,,,,,,29.6542,,,,
84,K00537,,,0.5,,,,,,,2.3348,,,,
85,K00540,,,0.6069693779644324,,,,,,,51.24399999999999,,,,
86,K00548,,,0.6415839496013486,,,,,,,79.374,,,,
87,K00549,,,0.6399841126875981,,,,,,,363.7211,,,,
88,K00554,,,0.6717669266629938,,,,,,,21.4675,,,,
89,K00560,,,0.6253608005690553,,,,,,,82.8856,,,,
90,K00567,,,0.59,,,,,,,3.4556,,,,
91,K00570,,,0.6479396049557412,,,,,,,23.6332,,,,
92,K00573,,,0.6065858543623518,,,,,,,79.2972,,,,
93,K00574,,,0.6292578919956419,,,,,,,48.877900000000004,,,,
94,K00588,,,0.6409999999999999,,,,,,,4.0284,,,,
95,K00598,,,0.6842815044303519,,,,,,,6.9122,,,,
96,K00600,,,0.6637943737948013,,,,,,,95.48080000000002,,,,
97,K00602,,,0.6253868702155838,,,,,,,69.31,,,,
98,K00606,,,0.6524158388476278,,,,,,,50.407300000000006,,,,
99,K00609,,,0.6538729556333679,,,,,,,39.6674,,,,
100,K00611,,,0.653,,,,,,,22.9913,,,,
101,K00613,,,0.5653580979332533,,,,,,,10.7539,,,,
102,K00615,,,0.6449092770636221,,,,,,,35.3602,,,,
103,K00616,,,0.5687445334077252,,,,,,,12.2421,,,,
104,K00620,,,0.6809999999999999,,,,,,,7.1628,,,,
105,K00626,,,0.6632177011931597,,,,,,,109.9703,,,,
106,K00635,,,0.6246922715198348,,,,0.6377229855163172,,,187.5833,,,,6.0358
107,K00640,,,0.6381600386453415,,,,,,,40.549699999999994,,,,
108,K00641,,,0.6339984565226938,,,,,,,196.02329999999998,,,,
109,K00643,,,0.6278608522363051,,,,,,,38.052,,,,
110,K00648,,,0.628,,,,,,,7.2672,,,,
111,K00655,,,0.7103993300148836,,,,,,,7.4749,,,,
112,K00657,,,0.64,,,,,,,4.448,,,,
113,K00662,,,0.635,,,,,,,2.3747,,,,
114,K00663,,,0.6559999999999999,,,,,,,3.554,,,,
115,K00674,,,0.6232304154487242,,,,,,,4.8365,,,,
116,K00677,,,0.6565318165899104,,,,,,,27.499200000000002,,,,
117,K00682,,,0.5660000000000001,,,,,,,3.2348,,,,
118,K00684,,,0.657770359634806,,,,,,,27.4516,,,,
119,K00688,0.627,,0.6101494801699254,,,,,1.9055,,187.172,,,,
120,K00700,,,0.6291775209549606,,,,,,,60.4987,,,,
121,K00703,,,0.6744758131107299,,,,,,,20.2477,,,,
122,K00720,,,0.6141980379526852,,,,,,,4.0313,,,,
123,K00728,,,0.7047787850562098,,,,,,,11.6068,,,,
124,K00759,,,0.6528374678565549,,,,,,,14.141000000000002,,,,
125,K00760,,,0.6758245825099892,,,,,,,8.5493,,,,
126,K00762,,,0.6425518966070952,,,,,,,26.136,,,,
127,K00763,,,0.6750299174259861,,,,,,,6.7077,,,,
128,K00764,,,0.6435134921163002,,,,,,,89.98080000000002,,,,
129,K00766,,,0.6752613536905737,,,,,,,20.6954,,,,
130,K00768,,,0.6824641452552168,,,,,,,26.8677,,,,
131,K00769,,,0.6639999999999999,,,,,,,16.8919,,,,
132,K00773,,,0.6427557746518915,,,,,,,17.6644,,,,
133,K00782,,,0.6509999999999999,,,,,,,1.9599,,,,
134,K00783,,,0.6142526929609379,,,,,,,5.1438,,,,
135,K00788,,,0.767,,,,,,,5.6242,,,,
136,K00789,,,0.658513719929958,,,,,,,193.6907,,,,
137,K00790,,,0.6513202345621466,,,,,,,36.7759,,,,
138,K00791,,,0.7029999999999998,,,,,,,4.2857,,,,
139,K00793,,,0.6351564990207847,,,,,,,24.404400000000003,,,,
140,K00794,,,0.629583746850883,,,,,,,32.8013,,,,
141,K00797,,,0.5778445220129607,,,,,,,5.7887,,,,
142,K00798,,,0.6416505537556904,,,,,,,30.068799999999996,,,,
