,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.651880479515932,,,,,,,40.1863,,,,
1,K00010,,,0.5679048093340239,,,,,,,19.7772,,,,
2,K00012,,,0.5825210690537581,,,,,,,40.440999999999995,,,,
3,K00013,,,0.605,,,,,,,8.3038,,,,
4,K00014,,,0.6094405569978727,,,,,,,32.4687,,,,
5,K00020,,,0.5801787718751169,,,,,,,50.760299999999994,,,,
6,K00021,,,0.551,,,,,,,1.8163,,,,
7,K00022,,,0.59,,,,,,,6.9583,,,,
8,K00023,,,0.603,,,,,,,6.9214,,,,
9,K00024,,,0.5626055480227287,,,,,,,25.4872,,,,
10,K00029,,,0.588,,,,,,,5.6727,,,,
11,K00030,,,0.5866323322064408,,,,,,,20.8647,,,,
12,K00031,,,0.6035241098373809,,,,,,,68.14269999999999,,,,
13,K00033,,,0.5968714097643846,,,,,,,164.55990000000003,,,,
14,K00034,,,0.5920000000000001,,,,,,,8.3914,,,,
15,K00036,,,0.5688411532538106,,,,,,,111.7606,,,,
16,K00038,,,0.6618828666374713,,,,,,,23.1826,,,,
17,K00039,,,0.601,,,,,,,4.7973,,,,
18,K00042,,,0.652,,,,,,,6.9552,,,,
19,K00052,,,0.6259619772427154,,,,,,,9.0348,,,,
20,K00053,,,0.6335253845724822,,,,,,,114.24429999999998,,,,
21,K00057,,,0.6161796150837048,,,,,,,32.4306,,,,
22,K00058,,,0.6016195249489112,,,,,,,31.729999999999997,,,,
23,K00059,,,0.594806302025559,,,,,,,127.47950000000002,,,,
24,K00060,,,0.5965448060563788,,,,,,,21.877499999999998,,,,
25,K00066,,,0.5920000000000001,,,,,,,7.878,,,,
26,K00067,,0.5589999999999999,0.5674959824538227,,,,,,6.0483,60.797399999999996,,,,
27,K00073,,,0.575,,,,,,,5.8269,,,,
28,K00074,,,0.5822498462371981,,,,,,,14.2238,,,,
29,K00075,,,0.6038940829084839,,,,,,,91.43919999999999,,,,
30,K00077,,,0.6153465029646267,,,,0.6809999999999998,,,342.9572,,,,4.3883
31,K00088,,,0.6124719675297328,,,,,,,37.427600000000005,,,,
32,K00091,,,0.5945880266782486,,,,,,,15.503599999999999,,,,
33,K00096,,,0.6057335898904443,,,,,,,4.3141,,,,
34,K00099,,,0.6082403891347008,,,,,,,97.8916,,,,
35,K00104,,,0.594,,,,,,,8.165,,,,
36,K00108,,,0.593,,,,,,,4.4805,,,,
37,K00111,,,0.651389933947209,,,,,,,94.65830000000001,,,,
38,K00114,,,0.586,,,,,,,6.5193,,,,
39,K00116,,,0.5919017849994584,,,,,,,23.144,,,,
40,K00122,,,0.5923941860981143,,,,,,,14.6376,,,,
41,K00124,,,0.618197469785672,,,,,,,65.5635,,,,
42,K00127,,,0.5753376593441415,,,,0.557,,,74.65889999999999,,,,2.0156
43,K00128,,,0.5743618710272829,,,,,,,32.3461,,,,
44,K00130,,,0.5792356746971683,,,,,,,15.5807,,,,
45,K00133,,,0.5842508287945831,,,,,,,23.2328,,,,
46,K00134,,,0.5873613626188752,,,,,,,69.15520000000001,,,,
47,K00135,,,0.5537629515991601,,,,,,,14.5386,,,,
48,K00140,,,0.5787783993326464,,,,,,,13.7853,,,,
49,K00145,,,0.6244701236639251,,,,,,,48.142199999999995,,,,
50,K00146,,,0.557,,,,,,,6.3415,,,,
51,K00153,,,0.7290000000000001,,,,,,,9.1409,,,,
52,K00156,,,0.5574336950799762,,,,,,,14.3971,,,,
53,K00161,,,0.6081292908599006,,,,,,,34.054100000000005,,,,
54,K00162,,,0.5717180895762249,,,,,,,17.967599999999997,,,,
55,K00163,,,0.6171692975796267,,,,,,,413.78160000000014,,,,
56,K00169,,,0.5879999999999999,,,,,,,7.2779,,,,
57,K00174,,,0.6110913770064329,,,,,,,95.9077,,,,
58,K00175,,,0.5997888230817059,,,,,,,77.55520000000001,,,,
59,K00180,,,0.6593655506376883,,,,,,,6.1651,,,,
60,K00202,,,0.621,,,,,,,2.4976,,,,
61,K00208,,,0.604642402652731,,,,,,,55.80040000000001,,,,
62,K00209,,,0.606,,,,,,,2.807,,,,
63,K00215,,,0.6095378418654166,,,,,,,61.705999999999996,,,,
64,K00217,,,0.5919240192749481,,,,,,,10.4302,,,,
65,K00228,,,0.6208912383523583,,,,,,,33.931400000000004,,,,
66,K00231,,,0.5936630917810102,,,,,,,54.3581,,,,
67,K00240,,,0.5932149280289101,,,,,,,156.40770000000003,,,,
68,K00241,,,0.5626642053553796,,,,,,,83.23649999999999,,,,
69,K00242,,,0.6216196430387214,,,,,,,7.020899999999999,,,,
70,K00245,,,0.58,,,,,,,2.3838,,,,
71,K00248,,,0.5875186642922271,,,,,,,28.265900000000002,,,,
72,K00249,,,0.6001718727473355,,,,,,,94.42410000000001,,,,
73,K00252,,,0.6759999999999999,,,,,,,7.1229,,,,
74,K00254,,,0.6472920482727875,,,,,,,28.9589,,,,
75,K00259,,,0.6919808105047566,,,,,,,11.274,,,,
